f837963713c014e67df752648c961b6ff70c265d6b40fa0eb506dae3bd80f1a7,894253dbc108a7ec9d866b4541deb0724613fa3076ca89ccc1f11d19ac470a24,70905a03ed9ef944d773eefa47077e0670399be5a600f86ce07b6123514247c9,06cf242adb05008b23e366137d7c4ea5318c06d50c546786847a40aed5337c7c,d1bb9cc1e15933f46ddfcaff5e054e48817678d2891c31f62b62a13de1469517,57643dae1b3c2bf9b640bcff767bc9b4042c6ea03df55ddf0b87a4eeed5a854b,f0cf5a5e972aaedf318fd0b8487723659a22c1ed153fcbac3e45cae38f090519,bf64745ca6c5aa01c3becdaa4e12ad5b997d78f0cd24071a84e9c0b202ecb568,ccc970c9224d5733bac804de1538ff9f980a88198f47a625c6571c615f502412
"1101001","600","0","0","0","0","0","21","1101002"
"1101002","2400","0","0","0","0","600","22","1101003"
"1101003","1","0","0","50","0","-1500","20","1"
"1101011","900","0","0","0","0","0","21","1101012"
"1101012","2100","0","0","0","0","700","22","1101013"
"1101013","1","0","0","200","0","-1500","20","1"
"1101021","400","0","0","0","0","0","21","1101022"
"1101022","2000","0","0","0","0","500","22","1101023"
"1101023","1","0","0","350","0","-1500","20","1"
"1101031","1000","0","0","0","0","0","21","1101032"
"1101032","1800","0","0","0","0","900","22","1101033"
"1101033","1","0","0","500","0","-1500","20","1"
"1101041","500","0","0","0","0","0","21","1101042"
"1101042","1600","0","0","0","0","800","22","1101043"
"1101043","1","0","0","750","0","-1500","20","1"
"1101101","1","0","0","2","2","2","1","25"
"1102001","1","0","0","-100","0","-2000","20","1"
"1102101","1","0","0","10","2","2","1","20"
"1102102","2","0","0","0","2","0","10","200000"
"1103001","500","0","0","0","0","0","21","1103002"
"1103002","0","0","0","0","2","0","3","1000"
"1202001","3","0","0","0","2","3000","2","-15"
"1204001","3","0","0","0","1","30000","2","15"
"1205001","3","0","0","0","1","30000","2","10"
"1206001","3","0","0","0","1","30000","2","10"
"1207001","3","0","0","0","1","30000","2","10"
