9fd4ec1c6fdbfb7160195d7f8c2a821971dc19de5e51c6360c01f70c6c503800,90ccfc44544b7497736d690f4966dbfb8a34280f4566869ccf5036b5e597912b,6305d81c102072a9ef13b2bfb6e4d9f15c07c3721f6c7676da6d53c5cd6c9fc7,c9135edf1b02b0ce6466199f8c1bc348178c84c279a2aaac691c6a5fd40e8105,ceda6d86d8f7ddfde038f01464532e8e8c77831188ca1ccf09f2f3dc17b4f837,255bfbb222f784112823ab8ea66d3e999f84f5b9ef4bac842587b0aa0c61844d,cdd99a84effa95caa8542a2a1fd1f7fd2fec67f789f9df873a0003af6a298aae,6ac7c4d85053078030fd9b35502adbc9b4ba0809fa03804364ec666693b0bf13,56f517fdb9d84227b8af946f609db7b84efd474b11bd1e8f1c84c0f8c854bd35,34f49ea186fb89f12e142a734841dca4f9446ce10ece81a3910c14741094e957,b3de000d39c1f0f984d2fb0610f6d37b856ec8dc40522abe013a335a0bb0bc37,722fd2505f3d78afb965b40c05405129d5b70ad3382af6625d782f310cf44240,7dfa4fbdf46abfc001790577b49195e3d09315e9c00a123c668b54a83b9d1945
"","","","31001_01","29","1","","","3100101","","","",""
"","","","31001_03","59","30","","","3100101","","","",""
"","","","31001_05","-1","60","","","3100101","","","",""
"","","","31001_01","29","1","","","3100102","","","","31001_01"
"","","","31001_03","59","30","","","3100102","","","","31001_03"
"","","","31001_05","-1","60","","","3100102","","","","31001_05"
"","","","31001_01","29","1","31001_01","","3100103","","","","31001_01"
"","","","31001_03","59","30","31001_03","","3100103","","","","31001_03"
"","","","31001_05","-1","60","31001_05","","3100103","","","","31001_05"
"","","","31001_01","29","1","31001_01","","3100104","","31001_01","","31001_01"
"","","","31001_03","59","30","31001_03","","3100104","","31001_03","","31001_03"
"","","","31001_05","-1","60","31001_05","","3100104","","31001_05","","31001_05"
"","","","61003_01","29","1","","","3100201","","","","61003_02"
"","","","61003_03","49","30","","","3100201","","","","61003_04"
"","","","61003_05","79","50","","","3100201","","","","61003_06"
"","","","61003_07","99","80","","","3100201","","","","61003_08"
"","","","61003_09","109","100","","","3100201","","","","61003_10"
"","","","61003_11","119","110","","","3100201","","","","61003_12"
"","","","61003_13","129","120","","","3100201","","","","61003_14"
"","","","61003_15","139","130","","","3100201","","","","61003_16"
"","","","61003_17","149","140","","","3100201","","","","61003_18"
"","","","61003_19","159","150","","","3100201","","","","61003_20"
"","","","61003_21","169","160","","","3100201","","","","61003_22"
"","","","61003_23","179","170","","","3100201","","","","61003_24"
"","","","61003_25","189","180","","","3100201","","","","61003_26"
"","","","61003_27","199","190","","","3100201","","","","61003_28"
"","","","61003_29","209","200","","","3100201","","","","61003_30"
"","","","61003_31","219","210","","","3100201","","","","61003_32"
"","","","61003_33","229","220","","","3100201","","","","61003_34"
"","","","61003_35","239","230","","","3100201","","","","61003_36"
"","","","61003_37","249","240","","","3100201","","","","61003_38"
"","","","61003_39","259","250","","","3100201","","","","61003_40"
"","","","61003_41","269","260","","","3100201","","","","61003_42"
"","","","61003_43","279","270","","","3100201","","","","61003_44"
"","","","61003_45","289","280","","","3100201","","","","61003_46"
"","","","61003_47","299","290","","","3100201","","","","61003_48"
"","","","61003_49","309","300","","","3100201","","","","61003_50"
"","","","61003_51","319","310","","","3100201","","","","61003_52"
"","","","61003_53","329","320","","","3100201","","","","61003_54"
"","","","61003_55","339","330","","","3100201","","","","61003_56"
"","","","61003_57","-1","340","","","3100201","","","","61003_58"
