998968f336b1fd716bb1e3d521d63cbe891fa9e351af02d718ca6c56510fa392,df62c5c26c667e41263de7ae27b058b31ef1df3f7aba74d564ae1f470a576c6d,c661bb6c016c1e1113dfa59a5fc7a4e949952df3771ce4ff518ed795fcc8c7d6,fe4482955d7473ea36c0f85a00a324499c5ba7e02157e1163cf04e116a4e537a
"1","スロウ","1","8"
"2","ヘイスト","2","8"
"3","麻痺","3","8"
"4","凍結","4","8"
"5","束縛","5","8"
"6","睡眠","6","8"
"7","スタン","7","8"
"8","石化","8","8"
"9","拘留","9","8"
"10","拘留(ダメージ)","0","9"
"11","毒","1","9"
"12","火傷","2","9"
"13","呪い","3","9"
"14","魅了","0","11"
"15","暗闇","-1","12"
"16","沈黙","-1","13"
"17","即死","-1","30"
"18","ノックバック","-1","3"
"19","混乱","1","11"
"20","猛毒","4","9"
"21","千里眼","-1","56"
"22","回復阻害","-1","59"
"23","恐慌","-1","61"
"24","刻印付与","-1","60"
"25","畏怖","-1","62"
"26","トナカイ化","-1","69"
"27","気絶","10","8"
"28","呪詛","5","9"
"29","ＨＰ変化","-1","70"
"30","時間停止","11","8"
"31","ＨＰ回復量減少","-1","76"
"32","弱体被ダメージ上昇","-1","78"
"33","行動時毒ダメージ","1","79"
"34","スタン（別枠）","14","8"
"35","毒（別枠）","7","9"
"36","呪い（別枠）","8","9"
"37","混乱（別枠）","2","11"
"38","結晶化","13","8"
"39","スロウ(加算可能)","1","83"
"40","ヘイスト(加算可能)","2","83"
"41","バフ消去","3","49"
"42","バリア消去","10","49"
"43","黒炎","9","9"
"44","ヘイストフィールド","2","99"
"45","スロウフィールド","1","99"
"46","バフ消去（指定）","20","49"
"47","殴り刻印（攻撃ヒット）","5","101"
"48","行動時界雷ダメージ","10","79"
"49","状態異常時間延長","9","112"
"50","執着状態","1","116"
"51","アラクネ拘束","15","117"
"52","操糸","3","11"
