bc5c28fa278183de163be1202abb6d2e3365d489302215d436a6b23c56e067f9,dad8675d7972ff36ff020f778f241166ed28f02afa6026131bb846c4e5ba8e8d,d41ecb7f0a7f55da945e2ca238bcf7ddab4ab2e9ce7e650c74edde434b59769c,81d97a6b52013fd7117f72689a0d8f5eda4523479118f0f90f375093aa1a8d1b,9187765281985a9ead95dc6df00dba95b0fadbdcf8f703b91ba3f9985512608e,1e8fbc064627fe39b51085cc63f4591b44538b6d237c60635984947be71be528
"1","10011001","4","101011","6","60000001"
"1","10011001","4","101071","6","60000002"
"1","10011001","4","101101","6","60000003"
"1","10011001","4","101131","7","60000004"
"1","10011001","4","101161","6","60000005"
"1","10011001","4","101191","6","60000006"
"1","10011001","4","101251","7","60000007"
"1","10011001","4","101281","7","60000008"
"1","10011001","4","101371","7","60000009"
"1","10011001","4","101401","7","60000010"
"1","10011001","4","101431","7","60000011"
"1","10011001","4","101521","7","60000012"
"1","10011001","4","101551","7","60000013"
"1","10011001","4","101581","7","60000014"
"1","10011001","4","101611","7","60000015"
"1","10011002","4","102011","2","60000016"
"1","10011002","4","102013","2","60000017"
"1","10011002","4","102014","2","60000018"
"1","10011002","4","102041","2","60000019"
"1","10011002","4","102071","2","60000020"
"1","10011002","4","102101","2","60000021"
"1","10011002","4","102131","2","60000022"
"1","10011002","4","102162","2","60000023"
"1","10011002","4","102163","2","60000024"
"1","10011002","4","102191","2","60000025"
"1","10011002","4","102192","2","60000026"
"1","10011002","4","102221","2","60000027"
"1","10011002","4","102222","2","60000028"
"1","10011002","4","102251","2","60000029"
"1","10011002","4","102252","3","60000030"
"1","10011002","4","102281","3","60000031"
"1","10011002","4","102461","3","60000032"
"1","10011002","4","102551","3","60000033"
"1","10011002","4","102552","3","60000034"
"1","10011002","4","102581","3","60000035"
"1","10011002","4","102582","3","60000036"
"1","10011002","4","102611","3","60000037"
"1","10011002","4","102612","3","60000038"
"1","10011002","4","122282","3","60000039"
"1","10011002","4","122311","3","60000040"
"1","10011002","4","122312","3","60000041"
"1","10011002","4","122341","3","60000042"
"1","10011002","4","122342","3","60000043"
"1","10011002","4","122371","3","60000044"
"1","10011002","4","122372","3","60000045"
"1","10011002","4","122401","3","60000046"
"1","10011002","4","122431","3","60000047"
"1","10011002","4","122432","3","60000048"
"1","10011002","4","122491","3","60000049"
"1","10011002","4","122493","3","60000050"
"1","10011002","4","122521","3","60000051"
"1","10011002","4","122613","3","60000052"
"1","10011002","4","122614","3","60000053"
"1","10011003","4","113011","2","60000054"
"1","10011003","4","113012","2","60000055"
"1","10011003","4","113013","2","60000056"
"1","10011003","4","113071","2","60000057"
"1","10011003","4","113101","2","60000058"
"1","10011003","4","113131","2","60000059"
"1","10011003","4","113162","2","60000060"
"1","10011003","4","113191","2","60000061"
"1","10011003","4","113221","2","60000062"
"1","10011003","4","113222","2","60000063"
"1","10011003","4","113252","2","60000064"
"1","10011003","4","113283","3","60000065"
"1","10011003","4","113342","3","60000066"
"1","10011003","4","113372","3","60000067"
"1","10011003","4","113401","3","60000068"
"1","10011003","4","113431","3","60000069"
"1","10011003","4","113521","3","60000070"
"1","10011003","4","113522","3","60000071"
"1","10011003","4","113551","3","60000072"
"1","10011003","4","113552","3","60000073"
"1","10011003","4","113553","3","60000074"
"1","10011003","4","113581","3","60000075"
"1","10011003","4","113611","3","60000076"
"1","10011003","4","113614","3","60000077"
"1","10011003","4","123041","2","60000078"
"1","10011003","4","123042","2","60000079"
"1","10011003","4","123072","2","60000080"
"1","10011003","4","123132","2","60000081"
"1","10011003","4","123161","2","60000082"
"1","10011003","4","123192","2","60000083"
"1","10011003","4","123193","2","60000084"
"1","10011003","4","123251","2","60000085"
"1","10011003","4","123281","3","60000086"
"1","10011003","4","123282","3","60000087"
"1","10011003","4","123311","3","60000088"
"1","10011003","4","123341","3","60000089"
"1","10011003","4","123343","3","60000090"
"1","10011003","4","123371","3","60000091"
"1","10011003","4","123432","3","60000092"
"1","10011003","4","123461","3","60000093"
"1","10011003","4","123491","3","60000094"
"1","10011003","4","123582","3","60000095"
"1","10011003","4","123583","3","60000096"
"1","10011003","4","123612","3","60000097"
"1","10011004","4","114011","2","60000098"
"1","10011004","4","114012","2","60000099"
"1","10011004","4","114041","2","60000100"
"1","10011004","4","114072","2","60000101"
"1","10011004","4","114102","2","60000102"
"1","10011004","4","114132","2","60000103"
"1","10011004","4","114162","2","60000104"
"1","10011004","4","114191","2","60000105"
"1","10011004","4","114221","2","60000106"
"1","10011004","4","114222","2","60000107"
"1","10011004","4","114252","2","60000108"
"1","10011004","4","114281","3","60000109"
"1","10011004","4","114282","3","60000110"
"1","10011004","4","114312","3","60000111"
"1","10011004","4","114341","3","60000112"
"1","10011004","4","114371","3","60000113"
"1","10011004","4","114372","3","60000114"
"1","10011004","4","114432","3","60000115"
"1","10011004","4","114461","3","60000116"
"1","10011004","4","114522","3","60000117"
"1","10011004","4","114551","3","60000118"
"1","10011004","4","114581","3","60000119"
"1","10011004","4","114611","2","60000120"
"1","10011004","4","124042","2","60000121"
"1","10011004","4","124071","2","60000122"
"1","10011004","4","124101","2","60000123"
"1","10011004","4","124131","2","60000124"
"1","10011004","4","124161","2","60000125"
