6598ae61e910b7a5758dc4f770603712d8fc8229f5937e81dd2c6de10a7246b1,56a0a6a0a452e512d8c3c6ccea22a4737c820a3aecbac93e2f9a48d973d1a0ec,c425d8434229367fcba7c06d4b60c194a8e84da2bddcee8fd7479ed527feae06,049cae8710dd3acc68468e597b7b839a57765d2fb25ba31f0acea399b7274705,d6376f4ce9acb84be6ed0294bd9a46aea2039b8be9098c352251d73b88efbfd4,dc9f70ea9ae021f8888a80f75a119c958802635f3395922e11d611ca9a406fab,aba7f6e81d146c5d0219ee7e0729969a22f831d544a4981fd1eb0139bd45c83a,59c2e3cde7a5f84143410f44248a44f83bd49c240b3a54b3092f7d519be434c1,5058f5d275647804c08c518bf9f1aae8e52204a820253f0b1abb1f7de18895cc,1660bd0a0bca8cd91d31e131edad3d06d45c955ce135462dcced03bb29886147,47f937326a0dde0f3212ae2716eb001829f849d488be420cd1739ee0cb61c070
"1001","10011","0","1","10011105","2","0","0","1","0","pt"
"1002","10015","0","1","10015103","2","1","0","2","0","m"
"1003","10021","5021700","1","10021108","2","0","0","3","0","pt"
"1004","10027","5027700","1","5027007","3","0","0","4","0","pt"
"1005","10040","5040700","1","10040105","2","0","0","5","0","pt"
"1006","10046","0","1","5046006","1","0","1","6","5046006","pt"
"1007","10072","0","1","5072006","3","0","3","7","5072006","pt"
"1008","10080","5080700","0","5080007","3","0","3","8","5080000","pt"
"1009","0","9004201","0","0","0","0","0","9","0","pt"
"1010","10096","5096700","1","5096007","1","0","3","10","5096007","pt"
"1012","10126","0","1","10126107","2","0","3","11","5126000","pt"
"1013","10142","5142700","1","5142007","3","0","1","12","5142000","pt"
"1014","10156","5156700","1","5156007","3","0","1","13","5156000","pt"
