9ed3703013ab2957ddba7ca5db282ec54e0880d91b321a933b796de872a9f88e,7b50a6a8b70c28a02661f986906e4b221267de23bd27951740a1ad558c1ce0db,3dbed1f08989978d2649c4281ced7a943b88bfc8101b738b4c1df18fa9588276,77259ebf0f093e38bba022926b0cd470684e051790466262995b9b0b5dc21471,024220a7ea7a0e57439844d6ad0c97634a55c3b1478f4c8ed0724d1b50417234
"1","0","0","0","0"
"2","0","0","0","0"
"3","0","0","0","0"
"4","0","0","0","2"
"5","0","0","0","2"
"6","0","0","0","2"
"7","0","0","0","3"
"8","0","0","0","3"
"9","0","0","0","3"
"10","0","0","0","4"
"11","0","0","0","4"
"12","0","0","0","4"
"13","0","0","0","0"
"14","0","0","0","0"
"15","0","0","0","0"
"16","0","2","0","0"
"17","0","2","0","0"
"18","0","2","0","0"
"19","0","3","0","0"
"20","0","3","0","0"
"21","0","3","0","0"
"22","0","0","0","3"
"23","0","0","0","3"
"24","0","0","0","2"
"25","0","0","0","2"
"26","0","2","0","0"
"27","0","2","0","0"
"28","3","0","0","2"
"29","3","0","0","2"
"30","0","2","0","3"
"31","0","2","0","3"
"32","0","3","0","3"
"33","0","3","0","0"
"34","4","0","0","3"
"35","0","0","0","0"
"36","0","2","0","2"
"37","0","2","0","2"
"38","0","3","0","4"
