9f9f49e705c3fcc496ee1b4e6135a72b8fba87d4c49290147a5a94eb27874b11,2ffdcc8052c51cf1ff8f79299a10c2c81b6dd47447f19bd58cf288d0ed50d717,da3ad098f74cc761edd1562f357a8c6caffcfa2f0b73f065bb257dee91626438,f1d165169ab67ced06cfe3a20bba40d1a700787cad44e8a3cb3e570140e8c82a,37cc0c487ef9796cc1fa2c8c811dcdb3e973fc1e68a57a07857b768aec397e9f,f7e3dc43b912783fddbd6cf36cc3086e0e6316a58c3ca3e57115c96b3d62201e,c2eeb55a39b91fbfee210fa7478641998e3477779fcbe4271be8482ff3f0d798,ca674059e30a05dd9af5b65d894f7bec041188d5e5ef81e796b13f0924233b6d,7b41b4b735ae8b46b9798692696511c615b007e238f893b40abf69f4dab1c1bc,c97a025b7b405105b57add34ac3642027cf030dcae755fdae3e98f475f97305d
"10001","0","2018/01/01 15:00:00","0","0","0","2019/02/15 14:59:59","0","0","0"
"10002","1001","2019/02/15 15:00:00","0","1","1","2019/02/28 11:59:59","0","1001","1001"
"10003","1001","2019/02/28 12:00:00","0","1","1","2020/02/15 14:59:59","0","0","0"
"10004","1001","2020/02/15 15:00:00","0","1","1","2020/02/29 11:59:59","1002","1002","1002"
"10005","1002","2020/02/15 15:00:00","2015009","2","2","2020/02/29 11:59:59","1002","1002","1002"
"10006","1001","2020/02/29 12:00:00","0","1","1","2020/08/15 14:59:59","0","0","0"
"10007","1002","2020/02/29 12:00:00","2015009","2","2","2020/08/15 14:59:59","0","0","0"
"10008","1001","2020/08/15 15:00:00","0","1","1","2020/08/31 11:59:59","1003","0","0"
"10009","1002","2020/08/15 15:00:00","2015009","2","2","2020/08/31 11:59:59","1003","0","0"
"10010","1001","2020/08/31 12:00:00","0","1","1","2021/02/15 14:59:59","0","0","0"
"10011","1002","2020/08/31 12:00:00","2015009","2","2","2021/02/15 14:59:59","0","0","0"
"10012","1001","2021/02/15 15:00:00","0","1","1","2021/02/28 11:59:59","1004","1003","1003"
"10013","1002","2021/02/15 15:00:00","2015009","2","2","2021/02/28 11:59:59","1004","1003","1003"
"10014","1001","2021/02/28 12:00:00","0","1","1","2021/08/15 14:59:59","0","0","0"
"10015","1002","2021/02/28 12:00:00","2015009","2","2","2021/08/15 14:59:59","0","0","0"
"10016","1001","2021/08/15 15:00:00","0","1","1","2021/08/31 11:59:59","1005","0","0"
"10017","1002","2021/08/15 15:00:00","2015009","2","2","2021/08/31 11:59:59","1005","0","0"
"10018","1001","2021/08/31 12:00:00","0","1","1","2030/02/15 14:59:59","0","0","0"
"10019","1002","2021/08/31 12:00:00","2015009","2","2","2030/02/15 14:59:59","0","0","0"
"10020","1001","2022/02/15 15:00:00","0","1","1","2022/02/28 11:59:59","1006","1004","1004"
"10021","1002","2022/02/15 15:00:00","2015009","2","2","2022/02/28 11:59:59","1006","1004","1004"
"10022","1001","2022/02/28 12:00:00","0","1","1","2022/08/15 14:59:59","0","0","0"
"10023","1002","2022/02/28 12:00:00","2015009","2","2","2022/08/15 14:59:59","0","0","0"
"10024","1001","2022/08/15 15:00:00","0","1","1","2022/08/31 11:59:59","1007","0","0"
"10025","1002","2022/08/15 15:00:00","2015009","2","2","2022/08/31 11:59:59","1007","0","0"
"10026","1001","2022/08/31 12:00:00","0","1","1","2023/02/15 14:59:59","0","0","0"
"10027","1002","2022/08/31 12:00:00","2015009","2","2","2023/02/15 14:59:59","0","0","0"
"10028","1001","2023/02/15 15:00:00","0","1","1","2023/02/28 11:59:59","1008","1005","1005"
"10029","1002","2023/02/15 15:00:00","2015009","2","2","2023/02/28 11:59:59","1008","1005","1005"
"10030","1001","2023/02/28 12:00:00","0","1","1","2023/08/15 14:59:59","0","0","0"
"10031","1002","2023/02/28 12:00:00","2015009","2","2","2023/08/15 14:59:59","0","0","0"
"10032","1003","2023/03/15 12:00:00","2201005","2","3","2023/08/15 14:59:59","0","0","0"
"10033","1001","2023/08/15 15:00:00","0","1","1","2023/08/31 11:59:59","1009","0","0"
"10034","1002","2023/08/15 15:00:00","2015009","2","2","2023/08/31 11:59:59","1009","0","0"
"10035","1001","2023/08/31 12:00:00","0","1","1","2024/02/14 23:59:59","0","0","0"
"10036","1002","2023/08/31 12:00:00","2015009","2","2","2024/02/14 23:59:59","0","0","0"
"10037","1003","2023/08/15 15:00:00","2201005","2","3","2023/08/31 11:59:59","1009","0","0"
"10038","1003","2023/08/31 12:00:00","2201005","3","3","2024/02/14 23:59:59","0","0","0"
"10039","1001","2024/02/15","0","1","1","2024/02/29 11:59:59","1010","1006","1006"
"10040","1002","2024/02/15","2015009","2","2","2024/02/29 11:59:59","1010","1006","1006"
"10041","1001","2024/02/29 12:00:00","0","1","1","2024/08/15 14:59:59","0","0","0"
"10042","1002","2024/02/29 12:00:00","2015009","2","2","2024/08/15 14:59:59","0","0","0"
"10043","1003","2024/02/15","2201005","3","3","2024/02/29 11:59:59","1010","1006","1006"
"10044","1003","2024/02/29 12:00:00","2201005","3","3","2024/08/15 14:59:59","0","0","0"
"10045","1001","2024/08/15 15:00:00","0","1","1","2024/08/16 11:59:59","1011","0","0"
"10046","1002","2024/08/15 15:00:00","2015009","2","2","2024/08/16 11:59:59","1011","0","0"
"10047","1003","2024/08/15 15:00:00","2201005","3","3","2024/08/16 11:59:59","1011","0","0"
"10048","1004","2024/08/16 12:00:00","0","1","1","2024/08/21 11:59:59","1011","0","0"
"10049","1004","2024/08/16 12:00:00","2015009","2","2","2024/08/21 11:59:59","1011","0","0"
"10050","1004","2024/08/16 12:00:00","2201005","3","3","2024/08/21 11:59:59","1011","0","0"
"10051","1001","2024/08/21 12:00:00","0","1","1","2024/08/31 11:59:59","1011","0","0"
"10052","1002","2024/08/21 12:00:00","2015009","2","2","2024/08/31 11:59:59","1011","0","0"
"10053","1001","2024/08/31 12:00:00","0","1","1","2025/02/14 23:59:59","0","0","0"
"10054","1002","2024/08/31 12:00:00","2015009","2","2","2025/02/14 23:59:59","0","0","0"
"10055","1003","2024/08/21 12:00:00","2201005","3","3","2024/08/31 11:59:59","1011","0","0"
"10056","1003","2024/08/31 12:00:00","2201005","3","3","2025/02/14 23:59:59","0","0","0"
"10057","1005","2025/01/31 12:00:00","0","1","1","2025/02/15 14:59:59","0","0","0"
"10058","1005","2025/01/31 12:00:00","2015009","2","2","2025/02/15 14:59:59","0","0","0"
