c054acf1dfee2e66111fd46ddf4b699253cad5c723a248230867a7a42c53c387,e29b4e800c86b7d7286586dc3c8b183fd177833e6fbe74ee5c4867386c508395,99265818db6489561430da52991477d9265b0186fbe088511c3601f899433c49,2656a4d45326ac012d5086d168f067eff67b1d840b7486be3991deba7dd15ac2,af91e122820e8838f8e618af0a55885b2988685c6f05c3516a4289455f1e3c3f,0ed1643f1dd0b24754737f9f4886cd33e3e6bc014bddd4712fad3dc1cba158a6
"1","211","802100290","1005","212","2114001"
"1","211","802100290","1006","212","2114002"
"1","211","802100290","1007","212","2114003"
"1","211","802100290","1008","212","2114004"
"0","104","802100266","100501","100","2113061"
"0","104","802100266","100502","100","2113062"
"0","105","802100266","100503","102","2113063"
"0","106","802100266","100504","103","2113064"
"0","104","802100266","100505","100","2113065"
"0","104","802100266","100506","100","2113066"
"0","105","802100266","100507","102","2113067"
"0","106","802100266","100508","103","2113068"
"0","104","802100266","100509","100","2113069"
"0","104","802100266","100510","100","2113070"
"0","104","802100267","100511","100","2113071"
"0","104","802100267","100512","100","2113072"
"0","105","802100267","100513","102","2113073"
"0","106","802100267","100514","103","2113074"
"0","104","802100267","100515","100","2113075"
"0","104","802100267","100516","100","2113076"
"0","105","802100267","100517","102","2113077"
"0","106","802100267","100518","103","2113078"
"0","104","802100267","100519","100","2113079"
"0","104","802100267","100520","100","2113080"
"0","104","802100268","100521","100","2113081"
"0","104","802100268","100522","100","2113082"
"0","105","802100268","100523","102","2113083"
"0","106","802100268","100524","103","2113084"
"0","104","802100268","100525","100","2113085"
"1","208","802100268","100526","112","2113086"
"1","201","802100268","100527","110","2113087"
"0","104","802100268","100528","100","2113088"
"0","105","802100268","100529","102","2113089"
"0","106","802100268","100530","103","2113090"
"1","203","802100263","100601","114","2113031"
"1","202","802100263","100602","113","2113032"
"0","105","802100263","100603","102","2113033"
"0","106","802100263","100604","103","2113034"
"1","203","802100263","100605","114","2113035"
"1","202","802100263","100606","113","2113036"
"1","204","802100263","100607","111","2113037"
"1","202","802100263","100608","113","2113038"
"1","202","802100263","100609","113","2113039"
"0","106","802100263","100610","103","2113040"
"1","203","802100264","100611","114","2113041"
"1","202","802100264","100612","113","2113042"
"0","105","802100264","100613","102","2113043"
"0","106","802100264","100614","103","2113044"
"1","203","802100264","100615","114","2113045"
"1","202","802100264","100616","113","2113046"
"1","204","802100264","100617","111","2113047"
"1","202","802100264","100618","113","2113048"
"1","202","802100264","100619","113","2113049"
"0","106","802100264","100620","103","2113050"
"0","105","802100265","100621","102","2113051"
"1","203","802100265","100622","114","2113052"
"1","202","802100265","100623","113","2113053"
"1","204","802100265","100624","111","2113054"
"0","106","802100265","100625","103","2113055"
"1","208","802100265","100626","112","2113056"
"1","201","802100265","100627","110","2113057"
"1","203","802100265","100628","114","2113058"
"1","202","802100265","100629","113","2113059"
"0","106","802100265","100630","103","2113060"
"1","205","802100269","100701","112","2113091"
"1","206","802100269","100702","112","2113092"
"0","102","802100269","100703","117","2113093"
"0","105","802100269","100704","102","2113094"
"0","105","802100269","100705","102","2113095"
"1","202","802100269","100706","113","2113096"
"1","203","802100269","100707","114","2113097"
"0","102","802100269","100708","117","2113098"
"0","105","802100269","100709","102","2113099"
"1","202","802100269","100710","113","2113100"
"1","205","802100270","100711","112","2115001"
"0","102","802100270","100712","117","2115002"
"0","105","802100270","100713","102","2115003"
"0","106","802100270","100714","103","2115004"
"1","203","802100270","100715","114","2115005"
"1","202","802100270","100716","113","2115006"
"1","207","802100270","100717","112","2115007"
"0","105","802100270","100718","102","2115008"
"0","106","802100270","100719","103","2115009"
"1","202","802100270","100720","113","2115010"
"1","205","802100271","100721","112","2115011"
"1","208","802100271","100722","112","2115012"
"0","102","802100271","100723","117","2115013"
"0","105","802100271","100724","102","2115014"
"0","106","802100271","100725","103","2115015"
"1","208","802100271","100726","112","2115016"
"1","201","802100271","100727","110","2115017"
"0","102","802100271","100728","117","2115018"
"0","105","802100271","100729","102","2115019"
"0","106","802100271","100730","103","2115020"
"0","103","802100260","100801","104","2113001"
"0","104","802100260","100802","100","2113002"
"0","104","802100260","100803","100","2113003"
"0","105","802100260","100804","102","2113004"
"0","105","802100260","100805","102","2113005"
"0","104","802100260","100806","100","2113006"
"0","104","802100260","100807","100","2113007"
"0","105","802100260","100808","102","2113008"
"0","105","802100260","100809","102","2113009"
"0","107","802100260","100810","101","2113010"
"0","103","802100261","100811","104","2113011"
"0","104","802100261","100812","100","2113012"
"0","104","802100261","100813","100","2113013"
"0","105","802100261","100814","102","2113014"
"0","106","802100261","100815","103","2113015"
"0","104","802100261","100816","100","2113016"
"0","104","802100261","100817","100","2113017"
"0","105","802100261","100818","102","2113018"
"0","106","802100261","100819","103","2113019"
"0","104","802100261","100820","100","2113020"
"0","103","802100262","100821","104","2113021"
"0","104","802100262","100822","100","2113022"
"0","104","802100262","100823","100","2113023"
"0","105","802100262","100824","102","2113024"
"0","105","802100262","100825","102","2113025"
"1","208","802100262","100826","112","2113026"
"1","201","802100262","100827","110","2113027"
"0","105","802100262","100828","102","2113028"
"0","106","802100262","100829","103","2113029"
"0","103","802100262","100830","104","2113030"
