cb64a0f5b3ed8bb6b8f187d477d1a2a1f9f76d0b2db971064b02fc31c9e1a2f3,4dda1517154305cb4a0c5f0d873312c3e6a02c799a6ce9d540e260b816f5cd1b,94a39f42ec735bbca6a9578b57ca4e0f8e9662f38f98a889397625a15cb67c51
"1","2","1"
"2","1","2"
"3","3","3"
"4","2","4"
"5","2","5"
"6","2","6"
"7","2","7"
"8","2","8"
"9","2","9"
"10","2","10"
"11","2","11"
"12","2","12"
"13","1","13"
"14","1","14"
"15","1","15"
"16","1","16"
"17","1","17"
"18","1","18"
"19","2","19"
"20","4","20"
"21","2","21"
"22","2","22"
"23","5","23"
"24","5","24"
"25","5","25"
"26","6","26"
"27","6","27"
"28","6","28"
"29","7","29"
"30","8","30"
"31","8","31"
"32","9","32"
"33","9","33"
"34","10","34"
"35","10","35"
"36","11","36"
"37","11","37"
"38","12","38"
"39","12","39"
