4ff42b600af4c7180960d6e3e73010e5242175ac17ec4ec1226364ad6f11d64f,ba16dfa1214565f162871f3c3b3573601392a149adb5c4e1de6a0e2389da61be,e8d43fa33a8505339decbd0d29dcffbca68911400537b127cc13e11490ca9c1c,5d69ae3a33df351b90cae683fd8035b4b6d32eab54ea495ab7faaa0e6446941a,89481b74272b1e5b049b85a64264cac3e82043e8f4f584abe7ef01fc401622b8,74a0a74fa53938ac4e43b9c4383f40fad595f802e38f5e765d5c8b10abe98b9c,8263e2b38ddb18bb3e8ea6e9f63b6f921b4af881282793bb80b8f8a8b552c586,67eef002f96f61fda1412ac4fc8b0b17cff1101e51e1435f3b1a589b9d64ea27,9a0afd77fa6a83893ea9ef3b873911dd4f8425dc45ed34af0a651c2be568f855,973b589ab3c412228bce41533ce339115986c59dbd45ff03b3b4aea92034c8b6,f47378d227322e325ea6d6492c9892114bc434a4217dcacbd95d0d1fa1fbd867
"1","1000","1","1","0","1","1","5","10011","0","0"
"2","2000","2","2","1","2","0","2","10012","0","0"
"3","2000","3","2","1","3","0","5","10013","0","0"
"4","2000","4","2","1","4","0","8","10014","0","0"
"5","3000","5","3","2","5","0","2","10015","0","0"
"6","3000","6","3","3","6","0","5","10016","0","0"
"7","3000","7","3","4","7","0","8","10017","0","0"
"8","4000","8","4","5","8","0","2","10018","0","0"
"9","4000","9","4","6","9","0","5","10019","0","0"
"10","4000","10","4","7","10","0","8","10020","0","0"
"11","10000","11","5","8","11","1","5","10021","10","9"
"12","8000","12","6","11","12","0","2","10022","0","0"
"13","8000","13","6","11","13","0","5","10023","0","0"
"14","8000","14","6","11","14","0","8","10024","0","0"
"15","10000","15","7","12","15","0","2","10025","0","0"
"16","10000","16","7","13","16","0","5","10026","0","0"
"17","10000","17","7","14","17","0","8","10027","0","0"
"18","12000","18","8","15","18","0","2","10028","0","0"
"19","12000","19","8","16","19","0","5","10029","0","0"
"20","12000","20","8","17","20","0","8","10028","0","0"
"21","20000","21","9","18","21","1","5","10030","20","19"
"22","10000","22","10","21","22","0","2","10012","0","0"
"23","10000","23","10","21","23","0","5","10013","0","0"
"24","10000","24","10","21","24","0","8","10014","0","0"
"25","12000","25","11","22","25","0","2","10015","0","0"
"26","12000","26","11","23","26","0","5","10016","0","0"
"27","12000","27","11","24","27","0","8","10017","0","0"
"28","14000","28","12","25","28","0","2","10018","0","0"
"29","14000","29","12","26","29","0","5","10019","0","0"
"30","14000","30","12","27","30","0","8","10020","0","0"
"31","20000","31","13","28","31","1","5","10032","30","29"
"32","12000","32","14","31","32","0","2","10022","0","0"
"33","12000","33","14","31","33","0","5","10023","0","0"
"34","12000","34","14","31","34","0","8","10024","0","0"
"35","14000","35","15","32","35","0","2","10025","0","0"
"36","14000","36","15","33","36","0","5","10026","0","0"
"37","14000","37","15","34","37","0","8","10027","0","0"
"38","16000","38","16","35","38","0","2","10028","0","0"
"39","16000","39","16","36","39","0","5","10029","0","0"
"40","16000","40","16","37","40","0","8","10028","0","0"
"41","30000","41","17","38","41","1","5","10033","40","39"
