567257d991162c1134b7270192ddefe9f2fecfd79cb471a57b6a0460e4e7e5bd,3fc0b2857b5fb74b2172a2a3a9eeac0fd01b0ea2241b5967d080bb87d4201a33,6cd92dda5326dd2eba7ec147f4a6ed7b89732a89d93939311d92c445400f7582,be951f48a2083f045ad2f898bb460c83f0ef04f197f8e10bcdc808382010d7da,9ed921589a907b5bc2243846ec87751783f95b96d66d76d9d9262e00de5547fb,7c20b4517e702bdbfa859f7800f2f4fc3a7057d017b704896aac99f6838b9bbe,260bd0b24f322b389f5e8022c5d6d85fe29210dad6a88b66814f4ef34c19a995,c0d640abe36360e09a3272064e1251292e34370646d41246f3b39b0cf16a2365,79c385cc7916de8c6ab3db1f15c2318b25899f586c84b8bc4bc374db5d2f43e1,9bbf7ccfa02d0191debffa7ee0c49e6aafb9b5fce89b7d4b77f596aac926cbc9,d004cdbe8d69a70b07cbeec869c5d7bd898b144e2f337cebeec6f29140535aa7,3a14afbe02f6fafbf170c574838d82fcce37235b71a6de94c6a7a1571785712c
"0","0.8","1","0","0","5154062","4","515406201","0","0","1","0"
"0","0","2","vo_abd","0","5154062","2","515406202","0","0","0","vo_abd_0101"
"300","0","3","0","0","5154062","1","515406203","2","1","0","0"
"0","2.1","4","0","0","5154062","4","515406204","0","0","1","0"
"0","0","5","vo_abd","0","5154062","2","515406205","0","0","0","vo_abd_0102"
"400","0","6","0","0","5154062","1","515406206","2.05","2","0","0"
"0","3.2","7","0","0","5154062","4","515406207","0","0","1","0"
"0","0","8","vo_abd","0","5154062","2","515406208","0","0","0","vo_abd_0103"
"60","0","9","0","0","5154062","1","515406209","1","3","0","0"
"0","1.4","10","0","0","5154062","4","515406210","0","0","1","0"
"430","0","11","0","60","5154062","1","515406211","2.5","3","0","0"
"0","3.3","12","0","0","5154062","4","515406212","0","0","1","0"
"0","0","13","vo_abd","0","5154062","2","515406213","0","0","0","vo_abd_0104"
"27","0","14","0","0","5154062","1","515406214","0.2","4","0","0"
"0","0.5","15","0","0","5154062","4","515406215","0","0","1","0"
"60","0","16","0","27","5154062","1","515406216","0.2","4","0","0"
"0","0.6","17","0","0","5154062","4","515406217","0","0","1","0"
"145","0","18","0","60","5154062","1","515406218","0.8","4","0","0"
"0","1.2","19","0","0","5154062","4","515406219","0","0","1","0"
"400","0","20","0","145","5154062","1","515406220","1.8","4","0","0"
"0","2.2","21","0","0","5154062","4","515406221","0","0","1","0"
"0","0","22","vo_abd","0","5154062","2","515406222","0","0","0","vo_abd_0105"
"95","0","23","0","0","5154062","1","515406223","0.6","5","0","0"
"0","1","24","0","0","5154062","4","515406224","0","0","1","0"
"195","0","25","0","95","5154062","1","515406225","0.7","5","0","0"
"0","1.5","26","0","0","5154062","4","515406226","0","0","1","0"
"315","0","27","0","195","5154062","1","515406227","0.8","5","0","0"
"0","1","28","0","0","5154062","4","515406228","0","0","1","0"
"415","0","29","0","315","5154062","1","515406229","0.7","5","0","0"
"0","2","30","0","0","5154062","4","515406230","0","0","1","0"
"0","0","31","vo_abd","0","5154062","2","515406231","0","0","0","vo_abd_0106"
"160","0","32","0","0","5154062","1","515406232","1","6","0","0"
"0","1.3","33","0","0","5154062","4","515406233","0","0","1","0"
"415","0","34","0","160","5154062","1","515406234","1","6","0","0"
"0","2.3","35","0","0","5154062","4","515406235","0","0","1","0"
"0","0","36","vo_abd","0","5154062","2","515406236","0","0","0","vo_abd_0107"
"85","0","37","0","0","5154062","1","515406237","0.7","7","0","0"
"0","0.8","38","0","0","5154062","4","515406238","0","0","1","0"
"360","0","39","0","85","5154062","1","515406239","0.8","7","0","0"
"0","2","40","0","0","5154062","4","515406240","0","0","1","0"
"0","0","41","vo_abd","0","5154062","2","515406241","0","0","0","vo_abd_0108"
"415","0","42","0","0","5154062","1","515406242","2.63","8","0","0"
"0","2.63","43","0","0","5154062","4","515406243","0","0","1","0"
"0","0","44","vo_abd","0","5154062","2","515406244","0","0","0","vo_abd_0109"
"200","0","45","0","0","5154062","1","515406245","1","9","0","0"
"0","2","46","0","0","5154062","4","515406246","0","0","1","0"
"245","0","47","0","200","5154062","1","515406247","0.5","9","0","0"
"0","1.2","48","0","0","5154062","4","515406248","0","0","1","0"
