bf36bf87dcbdc3272b602e131a4a9667ea49e235c9659fa8eb0ab717f8861764,d06afb3ca67a29ef84901955953dcdb8d4375e2f825e7774342e7acf187ed0cb,acd4b5301ea89b793b7e2aabd99e1f4dced087974a29c4e2a32da98cb7f7fe8a,7182ed0e152a9d99340a6d6a584f5687c5f9c0f1f42af6cc201b93606d62cb9f,c48761f498a50e93798b77f2c7bb948619f6e4fef3b657c071bb1b7eacf5ee63,887b56b8976be18b9825c579941c9cf2b65a4023b8274e157b90e4bf633e55e8,137f8ef18fe238e2d7787bc2d5dee2bf2a48b82fc581edd8f08f1d288ddfb794
"150","100","200","1004","1","50","250"
"240","160","320","1004","2","80","400"
"150","100","200","1004","3","50","250"
"150","100","200","1004","5","50","250"
"240","160","320","1004","6","80","400"
"1","1","2","1004","12","1","3"
"150","100","200","1005","1","50","250"
"150","100","200","1005","3","50","250"
"240","160","320","1005","4","80","400"
"150","100","200","1005","5","50","250"
"240","160","320","1005","7","80","400"
"1","1","2","1005","13","1","3"
