ce90854ad835f4cd639b25df6a36811253cce9cbbe06c11123f352c7a8ad74d7,b8fb1a2a957e4c23494af2ab9620cf6edcc2e2fea0cade7313ada47aab984569,e2a6a3644f0b9d1244fdcf0ef7d14338fc130e6c3d2252929ce77eb3c0641939,74d89c5106906ea4e76b9131b393b4ccfa6a79ebf55802efa5f1accd3c6b8567,a62e73d835c323e0b0315e5b5affbec9e66b436241b5d5627db6db03680509ef
"#D23232","90009","101","片手剣","red"
"#D23232","90009","102","両手剣","red"
"#D23232","90009","103","短剣","red"
"#D23232","90009","104","槍","red"
"#D23232","90009","105","斧","red"
"#D23232","90009","106","弓","red"
"#D23232","90009","107","拳","red"
"#D23232","90009","108","盾","red"
"#D23232","90009","109","杖","red"
"#D23232","90009","110","本","red"
"#476FD8","90010","201","服","blue"
"#476FD8","90010","202","鎧","blue"
"#476FD8","90010","203","白ローブ","blue"
"#476FD8","90010","204","黒ローブ","blue"
"#E5681E","90011","301","指輪","yellow"
"#E5681E","90011","302","腕輪","yellow"
"#E5681E","90011","303","ネックレス","yellow"
"#E5681E","90011","304","宝珠","yellow"
"#E5681E","90011","305","イヤリング","yellow"
