003726fbd2d4319d3eb0592e14bd33958b20885fdebf53ff0ace29811becccd5,79eddc2d3a8c82c7d9300255c2c22582c894930c7a69e5371511f2c874d92b33,78e00e6083d562a7bd94696d47eae069b4281b9bfe7041a8ae0a3a3020306045,0870e82eb0da22076807f051ae84b48d9748c48d195d1cb18ffff6cf71d07fa8,72b832c25f69b10868ccc71401aa3f032bf894ccb4a372485d1698f750ffd80c,5adf0d846f7ff35ceed217c7c37ef504fabf546cc6c93c5b2afa5ee0b8f63ee1,24591f4598e95d0b01f2c98f9287299264dcad2c3c6db71b167fde6f8bfd2dd8,57af4ef19f7421bd6f8c77e2e97700e22c5882fa5ce94bd457215867d00b220e,a1b9b59610cecae85b596a455413d3d9e3bfbd413a48b419f025f2d72b0604fd,8dad42598858683c6cdeabddb8055dab710934e2568105f9d7b04ad479b2a437,42e140681ba8afa5dc15504f31b610e7ea034e6f8b04d13e255073a559a18870
"10","2","8","91002","1","2","8","284001001","25014","25021","31"
"10","2","8","91002","2","2","8","284001002","25014","25021","31"
"10","2","8","91002","3","2","8","284001003","25014","25021","32"
"10","2","8","91002","4","2","8","284001004","25014","25021","32"
"10","2","8","91002","5","2","8","284001005","25014","25021","33"
"10","2","9","91002","6","2","8","284001006","25014","25021","33"
"10","2","9","91002","7","2","8","284001007","25014","25021","34"
"10","2","9","91002","8","2","8","284001008","25014","25021","35"
"10","2","9","91002","9","2","8","284001009","25014","25021","35"
"30","2","10","91002","10","2","8","284001010","25014","25021","37"
"10","2","10","91002","11","2","8","284001011","25014","25021","41"
"10","2","11","91002","12","2","8","284001012","25014","25021","43"
"10","2","11","91002","13","2","8","284001013","25014","25021","46"
"10","2","12","91002","14","2","8","284001014","25014","25021","48"
"10","2","12","91002","15","2","8","284001015","25014","25021","50"
"10","2","13","91002","16","2","8","284001016","25014","25021","53"
"10","2","14","91002","17","2","8","284001017","25014","25021","55"
"10","2","14","91002","18","2","8","284001018","25014","25021","58"
"10","2","15","91002","19","2","8","284001019","25014","25021","60"
"30","2","15","91002","20","2","8","284001020","25014","25021","62"
"10","2","16","91002","21","2","8","284001021","25014","25021","68"
"10","2","16","91002","22","2","8","284001022","25014","25021","70"
"10","2","16","91002","23","2","8","284001023","25014","25021","72"
"10","2","17","91002","24","2","8","284001024","25014","25021","75"
"10","2","18","91002","25","2","8","284001025","25014","25021","77"
"10","2","18","91002","26","2","8","284001026","25014","25021","79"
"10","2","19","91002","27","2","8","284001027","25014","25021","82"
"10","2","19","91002","28","2","8","284001028","25014","25021","84"
"10","2","19","91002","29","2","8","284001029","25014","25021","86"
"30","2","20","91002","30","2","8","284001030","25014","25021","89"
"10","2","20","91002","31","2","8","284001031","25014","25021","94"
"10","2","21","91002","32","2","8","284001032","25014","25021","96"
"10","2","21","91002","33","2","8","284001033","25014","25021","99"
"10","2","22","91002","34","2","8","284001034","25014","25021","101"
"10","2","22","91002","35","2","8","284001035","25014","25021","103"
"10","2","23","91002","36","2","8","284001036","25014","25021","106"
"10","2","23","91002","37","2","8","284001037","25014","25021","108"
"10","2","24","91002","38","2","8","284001038","25014","25021","111"
"10","2","25","91002","39","2","8","284001039","25014","25021","113"
"30","2","25","91002","40","2","8","284001040","25014","25021","115"
"10","2","26","91002","41","2","8","284001041","25014","25021","121"
"10","2","27","91002","42","2","8","284001042","25014","25021","123"
"10","2","28","91002","43","2","8","284001043","25014","25021","125"
"10","2","28","91002","44","2","8","284001044","25014","25021","128"
"10","2","29","91002","45","2","8","284001045","25014","25021","130"
"10","2","30","91002","46","2","8","284001046","25014","25021","132"
"10","2","30","91002","47","2","8","284001047","25014","25021","135"
"10","2","31","91002","48","2","8","284001048","25014","25021","137"
"10","2","31","91002","49","2","8","284001049","25014","25021","139"
"30","2","31","91002","50","2","8","284001050","25014","25021","142"
"10","2","32","91002","51","2","8","284001051","25014","25021","144"
"10","2","32","91002","52","2","8","284001052","25014","25021","146"
"10","2","32","91002","53","2","8","284001053","25014","25021","149"
"10","2","33","91002","54","2","8","284001054","25014","25021","152"
"10","2","33","91002","55","2","8","284001055","25014","25021","155"
"10","2","33","91002","56","2","8","284001056","25014","25021","157"
"10","2","34","91002","57","2","8","284001057","25014","25021","160"
"10","2","34","91002","58","2","8","284001058","25014","25021","163"
"10","2","34","91002","59","2","8","284001059","25014","25021","166"
"30","2","35","91002","60","2","8","284001060","25014","25021","169"
"10","2","35","91002","61","2","8","284001061","25014","25021","171"
"10","2","35","91002","62","2","8","284001062","25014","25021","174"
"10","2","36","91002","63","2","8","284001063","25014","25021","177"
"10","2","36","91002","64","2","8","284001064","25014","25021","180"
"10","2","36","91002","65","2","8","284001065","25014","25021","182"
"10","2","37","91002","66","2","8","284001066","25014","25021","185"
"10","2","37","91002","67","2","8","284001067","25014","25021","187"
"10","2","37","91002","68","2","8","284001068","25014","25021","190"
"10","2","38","91002","69","2","8","284001069","25014","25021","193"
"30","2","38","91002","70","2","8","284001070","25014","25021","196"
"10","2","39","91002","71","2","8","284001071","25014","25021","200"
"10","2","39","91002","72","2","8","284001072","25014","25021","204"
"10","2","40","91002","73","2","8","284001073","25014","25021","208"
"10","2","40","91002","74","2","8","284001074","25014","25021","212"
"10","2","41","91002","75","2","8","284001075","25014","25021","216"
"10","2","41","91002","76","2","8","284001076","25014","25021","220"
