c4dbb6669ab72df063730e9a359a5fb4ff65cfc8b4b77bf3ef69d4aa301eb5f2,8ecfdc76946e66a1448afd870ae04606878e7a1dcabda8acbf3030c7fb8c538c,e1108846990b89a2d4a51fbe613861d9391c07b3c6df1a86feaf99ce52d84312,95219aa6b47c7a982dc2bfe4ed7c45cc35d87ae43fe04d1cffc4a984307051a3,8d252b31448a321aa1be6442490e0c60e7e9ae52c8946d7ec5033f855d24a155,756de77812d5b52ee20c0dbb9c3609546995aab48c5b7a789d85604e54117774,c3f5d01c9de6ef8cf8802f82990ab0c7ccdcbc51fd46e15e8f47cb89e1f42aa7,babd6dfefc61bdfa6a9f4476c017c750953f2ad10dfbbd8f32d2aa36342b6537,2dd6bac4a9ff5f64823efef898cdf6db7911551a4e7ace960c211b3a286541a5,70d339efdd1af0e6f137f05e2d9c3f81de3350e25888b31b01cda623dbacf9e1,8de4f63c6395a1caa858007fdb76006e6696c2d221d6ad0d20e158636508cef7,379e522ae4f60a5ad033918a2d2dda4b9237e63fac2b205391e3bcfc684b6c4d
"0","2","1","vo_10020900","0","1","0","0","0","1010001","vo_10020900_0001","0"
"0","1","2","0","180","1","0","0","0.818181818181818","1010002","0","1"
"1","4","3","0","0","1","0","0.818181818181818","0","1010003","0","1"
"0","1","4","0","148","1","0","0","0.634285714285714","1010004","0","2"
"1","4","5","0","0","1","0","1.03428571428571","0","1010005","0","2"
"0","1","6","0","460","1","148","0","1.33714285714286","1010006","0","2"
"1","4","7","0","0","1","0","2.13714285714286","0","1010007","0","2"
"0","2","8","vo_10020900","0","1","0","0","0","1010008","vo_10020900_0002","0"
"0","1","9","0","223","1","0","0","1.12948051948052","1010009","0","3"
"1","4","10","0","0","1","0","2.12948051948052","0","1010010","0","3"
"0","2","11","vo_10020900","0","1","0","0","0","1010011","vo_10020900_0003","0"
"0","1","12","0","343","1","223","0","0.545454545454545","1010012","0","3"
"1","4","13","0","0","1","0","1.04545454545455","0","1010013","0","3"
"0","1","14","0","700","1","343","0","1.71545454545455","1010014","0","3"
"1","4","15","0","0","1","0","2.71545454545455","0","1010015","0","3"
"0","2","16","vo_10020900","0","1","0","0","0","1010016","vo_10020900_0004","0"
"0","1","17","0","275","1","0","0","1.67857142857143","1010017","0","4"
"1","4","18","0","0","1","0","2.17857142857143","0","1010018","0","4"
"0","2","19","vo_10020900","0","1","0","0","0","1010019","vo_10020900_0005","0"
"0","1","20","0","465","1","275","0","1.28311688311688","1010020","0","4"
"1","4","21","0","0","1","0","1.98311688311688","0","1010021","0","4"
"0","1","22","0","715","1","465","0","1.2987012987013","1010022","0","4"
"1","4","23","0","0","1","0","1.9987012987013","0","1010023","0","4"
"0","1","24","0","400","1","0","0","2.07792207792208","1010024","0","5"
"1","4","25","0","0","1","0","3.07792207792208","0","1010025","0","5"
"0","2","26","vo_10020900","0","1","0","0","0","1010026","vo_10020900_0006","0"
"0","1","27","0","182","1","0","0","1.06363636363636","1010027","0","6"
"1","4","28","0","0","1","0","1.56363636363636","0","1010028","0","6"
"0","1","29","0","700","1","182","0","2.96","1010029","0","6"
"1","4","30","0","0","1","0","3.96","0","1010030","0","6"
"0","2","31","vo_10020900","0","1","0","0","0","1010031","vo_10020900_0007","0"
"0","1","32","0","85","1","0","0","0.386363636363636","1010032","0","7"
"1","4","33","0","0","1","0","0.886363636363636","0","1010033","0","7"
"0","1","34","0","750","1","85","0","3.54090909090909","1010034","0","7"
"1","4","35","0","0","1","0","4.54090909090909","0","1010035","0","7"
"0","2","36","vo_10020900","0","1","0","0","0","1010036","vo_10020900_0008","0"
"0","1","37","0","95","1","0","0","0.431818181818182","1010037","0","8"
"1","4","38","0","0","1","0","1.03181818181818","0","1010038","0","8"
"0","2","39","vo_10020900","0","1","0","0","0","1010039","vo_10020900_0009","0"
"0","1","40","0","235","1","95","0","0.709090909090909","1010040","0","8"
"1","4","41","0","0","1","0","1.30909090909091","0","1010041","0","8"
"0","2","42","vo_10020900","0","1","0","0","0","1010042","vo_10020900_0010","0"
"0","1","43","0","750","1","235","0","3.07662337662338","1010043","0","8"
"1","4","44","0","0","1","0","4.07662337662338","0","1010044","0","8"
"0","2","45","vo_10020900","0","1","0","0","0","1010045","vo_10020900_0011","0"
"0","1","46","0","170","1","0","0","1.43506493506493","1010046","0","9"
"1","4","47","0","0","1","0","2.43506493506493","0","1010047","0","9"
"0","2","48","vo_10020900","0","1","0","0","0","1010048","vo_10020900_0012","0"
"0","1","49","0","720","1","170","0","2.75","1010049","0","9"
"1","4","50","0","0","1","0","3.95","0","1010050","0","9"
"0","2","51","vo_10020900","0","1","0","0","0","1010051","vo_10020900_0013","0"
"0","1","52","0","585","1","170","0","1.67792207792208","1010052","0","10"
"1","4","53","0","0","1","0","2.27792207792208","0","1010053","0","10"
"0","1","54","0","750","1","585","0","0.9","1010054","0","10"
