dcc7497ce6d2683e4e8749641918988c66ac725ea85881529e3ec469ef8426ee,345c45db9a81c06cccaf747bcd2fec36c3cde5b9ec0d54e51cf7b2cfc9fa9e22,ff10e4734b3ca3cf65e2c96bb8408a42a52e141d94be0b1face3755abc028896
"1","6101321","61013201"
"2","6101322","61013201"
"3","6101323","61013201"
"4","6101324","61013201"
"5","6101325","61013201"
"6","6101326","61013201"
"7","6101327","61013201"
"8","6101341","61013401"
"9","6101342","61013401"
"10","6101343","61013401"
"11","6101344","61013401"
"12","6101345","61013401"
"13","6101361","61013601"
"14","6101362","61013601"
"15","6101363","61013601"
"16","6101364","61013601"
"17","6101365","61013601"
"18","6101366","61013601"
"19","6101367","61013601"
"20","6101368","61013601"
"21","6101401","61014001"
"22","6101402","61014001"
"23","6101403","61014001"
"24","6101404","61014001"
"25","6101405","61014001"
"26","6101421","61014201"
"27","6101422","61014201"
"28","6101423","61014201"
"29","6101424","61014201"
"30","6101441","61014401"
"31","6101442","61014401"
"32","6101443","61014401"
"33","6101444","61014401"
"34","6101461","61014601"
"35","6101462","61014601"
"36","6101463","61014601"
"37","6101464","61014601"
"38","6101465","61014601"
"39","6101466","61014601"
"40","6101467","61014601"
"41","6101468","61014601"
"42","6101469","61014601"
"43","6101481","61014801"
"44","6101482","61014801"
"45","6101483","61014801"
"46","6101484","61014801"
"47","6101485","61014801"
"48","6101501","61015001"
"49","6101502","61015001"
"50","6101503","61015001"
"51","6101504","61015001"
"52","6101505","61015001"
"53","6101520","61015201"
"54","6101521","61015201"
"55","6101522","61015201"
"56","6101523","61015201"
"57","6101524","61015201"
"58","6101525","61015201"
"59","6101526","61015201"
"60","6101527","61015201"
"61","6101528","61015201"
"62","6101529","61015201"
