47227ae2924844e058631f4b06abe9553642bd1145ee0e74250b4fdcac83bf24,ffa15e9dc0d31ca63507a376c06905aab92aefb65ace84bcbd8f0dd87eb14572,bbe5f8a13ad1fe990d06439a779ef733eb820d5b124f94826c79c899e95faf78,2a6144ad51369b8e91427ea9e30e672497e7b0eb535600eba01d8b3bdcd21e93,60f9045c126a3ad3959fd7d674e93cf46c3cc80fd2214663743db70e898d86f5,9f015d642e881d243e155ba4ac4713139416f438c1489d6d83cc896ac9024d43,38e6c557a98519e762a823a783c060af4e1ac4ead598737912ee1d23c05d07a4
"10101","101","アニメ プリンセスコネクト！Re:Dive 1 封入特典","2020-08-04 12:00:00","2023/12/31 23:59:59","1","0"
"10102","101","アニメ プリンセスコネクト！Re:Dive 2 封入特典","2020-09-03 19:00:00","2023/12/31 23:59:59","1","0"
"10103","101","アニメ プリンセスコネクト！Re:Dive 3 封入特典","2020-10-01 17:00:00","2023/12/31 23:59:59","1","0"
"10104","101","アニメ プリンセスコネクト！Re:Dive 4 封入特典","2020-11-05 12:00:00","2023/12/31 23:59:59","1","0"
"10201","102","アニメ プリコネ！Re:Dive Season2 1巻 購入特典","2022-03-21 00:00:00","2026/12/31 23:59:59","1","0"
"10202","102","アニメ プリコネ！Re:Dive Season2 2巻 購入特典","2022-04-18 00:00:00","2026/12/31 23:59:59","1","0"
"10203","102","アニメ プリコネ！Re:Dive Season2 3巻 購入特典","2022-05-16 00:00:00","2026/12/31 23:59:59","1","0"
"20101","201","週刊ファミ通6月3日号（5月20日発売） 封入特典","2021-05-19 00:00:00","2022/05/19 23:59:59","1","0"
"20201","202","公式アートワークス Vol.3 発売記念アイテム","2021-07-30 00:00:00","2030/07/30 23:59:59","1","0"
"20301","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20302","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20303","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20304","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20305","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20306","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20307","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20308","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20309","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20310","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20311","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20312","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20313","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20314","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20315","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20316","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20317","203","プリコネフェス2023　リアルガチャ","2023-01-15 15:00:00","2024/01/31 23:59:59","3","1"
"20401","204","キャラクターソングアルバムVol.5 購入特典","2024-02-14 00:00:00","2025/02/13 23:59:59","1","0"
"20501","205","サウンドトラックVol.6 購入特典","2024-02-14 00:00:00","2025/02/13 23:59:59","1","0"
