d2ab613b5099901daa80eba2038c6e9897215e5344099b929706f0fde4fd6b04,e9f234b120e30b230535a829d20abbd6ff327e04da7da056f8ccad70c82aa0a6,8f4e7ae2b100b2dccfce4c91b738553b064553c0ac3f6780ae0d58df6b00bb87,4dbbf83842b02a6a67d56514a65817f071f331c7fa4aae59d04e6beb9a915233,b37563308d468dae1ba92f7b52a35dff9c32175d5a6d773a3e1ce4df7a983ec2,396ad63f906dfd7ca5e57d4150a79a97a8847a670f4230baa7ac10c407587f76,5af05ea520537a20b350f9d8f6e486e086391c72e8b2301d1c00a0aca0f0676d,e2521a230793261d5b31e0e94cc557eca7b1eebacbac43da6124ddd11b9b40f3,b90caa0e2fa5c9622c5e653a3c89167c762dd9a60af2360ea68072a450d40bef,92d7040c0bd301cffca9665c32f206f9e3e163e1b1f66158870d34faa27c803c,c0395558c8654e9ee1b21fe0d9c89a65e1afa914eff5d1d19590e08c8642f924,d4b6ac55ebf7ceac62b0a3a8e890cb0e0806ce684c47c26e8a595de06cf88d73,17bf12296c173b366724df440ac588683b4920998b9a64f767727c1d1cb2e9fe,b22d39ad7bdcf317514cab38a4c4047f2521eb8ac3ee73526cecfc621ca671c0,b89baf13bc79cd8bf58f208dd4439b8f21506d9c7cb73f07c7490354edeabde4,37bf977de1c5a5861ece932dae92d47365b476bc3d9ac69dcc16e9a50e4ff1ef,b558b211b2c4b2e76462c51e9d5035d27511c45c1c2f963814a88938eb2a5e8c,e9805e0f83852d8cdca04cea4615777b6ce1a50d9ce487e55ce1231d03b972bb,cf5ab7be6fa5245259596d1a1395ea8272a6047c5634e8c8f5be045e777e0e6b,f63db09ea8c3f5893df3187ccd2242dce084fce3446e588c95172acceb90bb54,5e55f84ff5c32495c2cae70164114ec6ceca95d3047a95d987b801b7cb604334
"0","1000","0","600","AccelBoardA","NONE","0","0","JumpOverTrap","1800","3100","NONE","0","1000","2500","NONE","NONE","NONE","SpeedTerritoryA","EnemyA","EnemyD"
"0","800","0","500","AccelBoardA","NONE","0","0","AccelBoardA","1300","3000","NONE","0","1001","2000","NONE","NONE","NONE","WholeCake","EnemyC","SpeedTerritoryA"
"0","1000","0","400","EnemyA_NoColl","NONE","0","0","TrapA_NoCall","1300","2000","NONE","0","1002","1600","NONE","NONE","NONE","EnemyB_NoColl","Balloon","SpeedTerritoryA_NoColl"
"0","1500","0","700","AccelBoardA","NONE","0","0","AccelBoardA","2300","3300","NONE","0","1003","3000","NONE","NONE","NONE","JumpOverTrap","JumpOverTrap","EnemyB"
"0","1300","0","800","EnemyA","NONE","0","0","NONE","1900","0","NONE","0","1004","2700","NONE","NONE","NONE","SpeedTerritoryA","JumpOverTrap","JumpOverTrap"
"0","1500","0","300","JumpOverEnemyC","NONE","0","0","EnemyC","2000","3300","NONE","0","1005","2600","NONE","NONE","NONE","AccelBoardA","JumpBoard","SpeedTerritoryA"
"3700","1300","0","700","TrapA","NONE","0","0","AccelBoardA","1800","3000","NONE","0","1006","2500","TrapA","NONE","NONE","JumpOverTrap","EnemyA","TrapA"
"0","1300","0","500","EnemyC","NONE","0","0","JumpOverTrap","1800","3100","NONE","0","1007","2400","NONE","NONE","NONE","EnemyC","AccelBoardA","JumpOverTrap"
"3700","1100","0","500","JumpBoard","NONE","0","0","JumpOverTrap","2300","3400","NONE","0","1008","2700","EnemyC","NONE","NONE","AccelBoardA","AccelBoardA","EnemyC"
"3700","1000","0","400","TrapA_NoCall","NONE","0","0","JumpOverTrap","2000","3300","NONE","0","1009","2900","SpeedTerritoryA","NONE","NONE","JumpOverTrap","Balloon","EnemyA_NoColl"
"0","1400","0","400","SpeedTerritoryA","NONE","0","0","JumpOverTrap","2200","3500","NONE","0","1010","3000","NONE","NONE","NONE","EnemyB","JumpOverTrap","JumpOverTrap"
"3300","900","0","400","SpeedTerritoryA","NONE","0","0","EnemyA","1500","2800","NONE","0","1011","2400","AccelBoardA","NONE","NONE","JumpOverTrap","EnemyH","JumpBoard"
