ce8bfc586e5f2fc41f6ed93537c8cdb56454e1a29338788e2fc9309e9af1bf5a,e74d5e8dc6a549d016a2d21b1a337aceebca826506867135b099a1756b0896f0,585fb630b6a9184042a2660f0d17d71bb8650ca24bb92b9d1786fa6bc570eff0,5b8edb8b452e6fcc05c0661deba79d0f7c2032d43c8548be84399285703e98b1,1fb269b346618f15510f6dd9a133d6e4f14cd8246b28bd3cddbfa4c55aa7ea30,c7d3df272cbdea966b5d4f2992b4c2ba9f60d3bc7ee9eba0b25fba6920787b26,eab78ba654bc9b77b25f322d6ce1581b86bca3f586299f1c0fac912e4529343c,b8c0e84bd8d59df91aa3f0834dfe26f54408331bd36d88e7e0f2fdd2357dfec0,ae78739034459620529bb3ff7b70f67ba5a181ac37b02e27cc44f83a539286c2,f557220fe8f16c34e10a43d005e8eb4481bfabec3f99aa38ff8eadeba6165d60,5fdc033fac91537037ecc14cc7e55c2ff178a8356cf6cc301281c34715629161,6b85db3be5e7a5768aa3e7a30a33b1d1ef10f0e03a0052fb27f95ab4a76915db,aa3a4657fe3a26585faa28a8b951abf896a7790f7b9f2c2c64ff1de0724c5ac7,643deb4f24f0f744e41e6161ff456cc15b8909fc49c7ac616f2eb0fb87093040,5149c01c05b69c0b505100506c44c3903d0e489e55ad47dfcebe4353ccb6c64f,9e431ca73c8339300b8c49d269521efe767f094b26af77c85f9fee11b4a9ddb4
"2","215","455","201","3","980","101","1","401","70","1008201","-110","501","1","301","2"
"2","215","230","202","3","515","102","1","402","70","1008202","-110","502","2","302","2"
"2","215","230","203","3","515","103","1","403","70","1008203","-110","503","3","303","1"
"2","215","230","204","3","515","104","1","404","70","1008204","-110","504","4","304","1"
"2","233","355","205","3","787","105","1","405","78","1008205","-110","505","5","305","2"
"2","233","355","206","3","787","106","1","406","78","1008206","-110","506","6","306","3"
"2","233","345","207","3","777","107","1","407","88","1008207","-110","507","7","307","3"
"2","233","345","208","3","777","108","1","408","88","1008208","-110","508","8","308","1"
"2","233","345","209","3","777","109","1","409","88","1008209","-110","509","9","309","1"
"2","233","355","210","3","810","110","1","410","88","1008210","-110","510","10","310","3"
"2","233","345","211","3","777","111","1","411","88","1008211","-110","511","11","311","2"
"2","215","230","212","3","515","112","1","412","70","1008212","-110","512","12","312","2"
"2","233","355","213","3","810","113","1","413","78","1008213","-110","513","13","313","1"
"2","215","230","214","3","515","114","1","414","70","1008214","-110","514","14","314","1"
"2","215","230","215","3","515","115","1","415","70","1008215","-110","515","15","315","3"
"2","215","275","216","3","655","116","1","416","70","1008216","-110","516","16","316","2"
"2","215","230","217","3","515","117","1","417","70","1008217","-110","517","17","317","3"
"2","233","345","218","3","777","118","1","418","88","1008218","-110","518","18","318","3"
