ea069271bded81bb23882974d802c8733a921a2d83ac250c1052964b012d9b9a,17be9396cae335d8e02c0f77516324291ff06fed15dfe5057142e86a0f7d1eba,19a7c76789381c2bb726f9fcb9ac8fea3f9e7f64b881c5ebe956ab8f67e48335,9bcf9682afa50f15a142ad3a5eb59a05f946eb3690c428845befb71aeeb1898a,a45b449db50daa56274046d41508ece9de777e916437feb2891a7d842e5d68b8,203eed00ab76c5a62f72b28421ae96efa7a71c62ee279f11ce632b2c52be2f4a,6f3eadbf991d00d04b21533e1f740122a9b0b692532cda7d7d3ddc7479d4bfc8,7e87f2d4527ce851baba01b4ad4b8622d8e523d9b0338921e1507982f6fa3740,c6fe7d9584e3ff35c5cf8baa680b9a73aec5d92dfb87a41b08a61c610abfdf20,ab9640ccff85c6dbc0930e3b3955fc8550cd94c38684d062fbabf3e0d48520a0,b39a770573a6124f1597e4bbcdb66b7e2142fdbb14e0b14bb9d6b136bcc3d837,05c9cbe702c87475c93c0922695bfb97c8733beb86547221bfc27cf1316deddb,c1c751d8ff93fc1be8c97c66550ee8696bb22579c8eed5e1fc78e590809a1045,b05cb24be632fdacb3d6a8cb9a8d65824e294cb214889c0d8a270df175a5e317,2f874ca22dac7f00778009c847b281031b82b3eee170b9bc2429266432f138ff
"10010001","96001","bgm_MC043","2023/09/15 14:59:59","2023/06/30 12:00:00","100","1","-1","2023/09/22 14:59:59","-1","-1","16","1","8","bgm_MC043"
"10020001","96002","bgm_MC043","2023/12/15 14:59:59","2023/09/15 15:00:00","100","1","-1","2023/12/22 14:59:59","-1","-1","16","2","8","bgm_MC043"
"10030001","96003","bgm_MC103","2024/03/15 14:59:59","2023/12/15 15:00:00","100","2","-1","2024/03/22 14:59:59","-1","-1","16","3","8","bgm_MC103"
"10040363","96004","bgm_MC103","2024/06/15 14:59:59","2024/03/15 15:00:00","100","2","-1","2024/06/22 14:59:59","-1","-1","16","4","8","bgm_MC103"
"10050001","96005","bgm_MC103","2024/09/15 14:59:59","2024/06/15 15:00:00","500","2","-1","2024/09/22 14:59:59","-1","-1","16","5","10","bgm_MC103"
"10060001","96006","bgm_MC103","2024/12/15 14:59:59","2024/09/15 15:00:00","500","2","-1","2024/12/22 14:59:59","-1","-1","16","6","10","bgm_MC103"
"10070363","96007","bgm_MC211","2025/03/15 14:59:59","2024/12/15 15:00:00","1000","3","5","2025/03/22 14:59:59","15","15","16","7","10","bgm_MC211"
"10080001","96008","bgm_MC211","2025/06/16 14:59:59","2025/03/15 15:00:00","1000","3","5","2025/06/23 14:59:59","15","15","16","8","10","bgm_MC211"
"10090001","96009","bgm_MC211","2025/09/16 14:59:59","2025/06/16 15:00:00","1000","3","5","2025/09/23 14:59:59","15","15","16","9","10","bgm_MC211"
"10100363","96010","bgm_MC043","2025/12/15 14:59:59","2025/09/16 15:00:00","1000","1","5","2025/12/22 14:59:59","15","15","16","10","10","bgm_MC043"
"10110001","96011","bgm_MC043","2026/03/16 11:59:59","2025/12/15 15:00:00","1000","1","5","2026/03/23 11:59:59","15","15","16","11","10","bgm_MC043"
