c904ac46046777f866a45a32fecc3b3fb89cfc1f62617444caa495a13198b476,303067bf90203098cdf69e8d5b662ed1da3509f936d4633c4cdc231b77b12121,7e8487e4a463d9b6897cb4ac18bb116b2bd74fc01da71d7a2c8af3855b321a34,9a064ed6b425bcd1c184eeba27e20463e0fd7168e7a7fb18b012d65986bb4025,b0239ee04bd13865064a71e0aa5334c8958a9aad90a2a180e2a9e4fa1074adec,30da3eeee26764645739e49a0b5d53a47bfd564c725abac1e4a2482afa45d598,3bf726de6ae7f004eb1cc63099d260c2257575b06055b10f848a6844b5d66b65,f89051f4b73af19f66c9c81c4ec0700443e9033d0225d5be33f8297906dbc73b,6025b5bb697da7c9157febf5663febbc709e717b3c9c119b2f2e8bd84833fff4,a09e2d9a96acf1944bc08f0a56be2e6d5a49c99e05a702c2438cd9b85423def1,2558eee6f11d6cbd15c0cae58f7c65ced4ec505aeea6df71fd7a451fdea20b89
"-120","102611","1010001","1","850","ttk_idle_def","1","1","1","100","5"
"1","2","1010002","1","0","","2","1","","0","31"
"1","1","1010003","1","-80","","1","1","","-120","31"
"","","1010004","","","","1","1","","","93"
"","vo_minigame_1005_top_000","1010005","","0","","vo_minigame_1005","1","","0","21"
"1","ttk_doya","1010006","0.3","0","","102611","1","0.3","ttk_idle_doya","3"
"","任された仕事は\nきちんとやるよ","1010007","0","8","","102611","1","0","","11"
"","","1010008","","","","0","1","","","91"
"-120","102611","1020001","1","850","ttk_idle_def","1","2","1","100","5"
"1","2","1020002","1","0","","2","2","","0","31"
"1","1","1020003","1","-80","","1","2","","-120","31"
"","","1020004","","","","1","2","","","93"
"","vo_minigame_1005_top_001","1020005","","0","","vo_minigame_1005","2","","0","21"
"1","ttk_idle_smile","1020006","0.3","0","","102611","2","0.3","ttk_idle_def","3"
"","あたしの前に\n現れたこと\n後悔させてあげる","1020007","0","8","","102611","2","0","","11"
"","","1020008","","","","0","2","","","91"
"-120","102611","1030001","1","850","ttk_idle_def","1","3","1","100","5"
"1","2","1030002","1","0","","2","3","","0","31"
"1","1","1030003","1","-80","","1","3","","-120","31"
"","","1030004","","","","1","3","","","93"
"","vo_minigame_1005_top_002","1030005","","0","","vo_minigame_1005","3","","0","21"
"1","ttk_joy","1030006","0.1","0","","102611","3","0.3","ttk_idle_joy","3"
"","コツをつかめば\n結構楽しいかも\nいや、労働は労働か…","1030007","0","8","","102611","3","0","","11"
"","","1030008","","","","2.2","3","","","93"
"","ttk_talk_sad","1030009","0.3","1","","102611","3","0.3","","3"
"","","1030010","","","","3","3","","","93"
"","ttk_idle_def","1030011","0.3","1","","102611","3","0.3","","3"
"","","1030012","","","","0","3","","","91"
"-120","102611","1040001","1","850","ttk_idle_def","1","4","1","100","5"
"1","2","1040002","1","0","","2","4","","0","31"
"1","1","1040003","1","-80","","1","4","","-120","31"
"","","1040004","","","","1","4","","","93"
"","vo_minigame_1005_top_003","1040005","","0","","vo_minigame_1005","4","","0","21"
"1","ttk_shock","1040006","0.3","0","","102611","4","0.3","ttk_idle_shock","3"
"","ねずみのことなんか\n知りたくないよ\nはぁ…めんどくさい","1040007","0","8","","102611","4","0","","11"
"","","1040008","","","","5","4","","","93"
"","ttk_idle_def","1040009","0.3","1","","102611","4","0.3","","3"
"","","1040010","","","","0.7","4","","","93"
"-120","102611","1050001","1","850","ttk_idle_def","1","5","1","100","5"
"1","2","1050002","1","0","","2","5","","0","31"
"1","1","1050003","1","-80","","1","5","","-120","31"
"","","1050004","","","","1","5","","","93"
"","vo_minigame_1005_top_004","1050005","","0","","vo_minigame_1005","5","","0","21"
"","ttk_surprise","1050006","0.3","0","","102611","5","0.3","","3"
"","うわっ！？\nこっちこないでよ！\nはぁ…チマチマ\n追い払うのは大変だ…","1050007","0","8","","102611","5","0","","11"
"","","1050008","","","","0.9","5","","","93"
"","ttk_talk_anger","1050009","0.3","1","","102611","5","0.3","","3"
"","","1050010","","","","0.8","5","","","93"
"1","ttk_sad","1050011","0.3","0","","102611","5","0.3","ttk_talk_sad","3"
"","","1050012","","","","5","5","","","93"
"","ttk_idle_def","1050013","0.3","1","","102611","5","0.3","","3"
"","","1050014","","","","0","5","","","91"
"-120","102611","1060001","1","850","ttk_idle_def","1","6","1","100","5"
"1","2","1060002","1","0","","2","6","","0","31"
"1","1","1060003","1","-80","","1","6","","-120","31"
"","","1060004","","","","1","6","","","93"
"","vo_minigame_1005_top_005","1060005","","0","","vo_minigame_1005","6","","0","21"
"","ttk_idle_worry","1060006","0.3","1","","102611","6","0.3","","3"
"","こんなことに\n慣れたくないよ…\nでも牧場のためには\nやるしかないか","1060007","0","8","","102611","6","0","","11"
"","","1060008","","","","7","6","","","93"
"1","ttk_amz","1060009","0.3","0","","102611","6","0.3","ttk_idle_def","3"
"","","1060010","","","","0","6","","","91"
