f925d9b60c8fc0ec4e5e17ef3cf6774c39b3ee6cde5df943bb56f269a82a3e39,80f04c8c43b91cd805cd9f33fa25c98a1844a6bde0e993832d57ae18d4b79f62,bd8f44bc4cc5c62f79416941d484a5f1f178ee6babacedaf97023f0ddea8a986,8ab521e5f2771b3c50a4614ce4b740ca46dcf65470e79d5a279fbfdf3e7d0a94,074f12c1769d14c216be9121a33f5d664b29ed947b59ff17399b0d6c5c1a5cfb,fc4363faced9a6ad5037ff294e973d064863198cbf6e9caab418bc3e1a213d85,b34bbbde8bfb184685bca1ee99b2aa8add916f008b377830932ea01f443e4988,404f707c7d9aa21ea7232dc34df385dba2103eabdfe2541e23e9f7202230ee91,f87db3e47a946ac2736121f0b3b9d118c5b0caaa27cc63a9b48f2f365264b386,501843acef37766701663407888da86c03429f18be06414e861d57b632b7c44c
"訓練はまだ\nここからですわ","1","2","2","調子が上がって\nきたなっ","3000","vo_minigame_1013_icon_1_002_001","2","vo_minigame_1013_icon_2_002_001","1000"
"クスクス、悪くない\n流れですわね","2","2","2","ほらほら、\nまだいけるだろ？","3000","vo_minigame_1013_icon_1_003_001","2","vo_minigame_1013_icon_2_003_001","5000"
"すばらしい\n記録ですわ","3","3","2","へへっ、おまえら\nやるじゃねえか！","3000","vo_minigame_1013_icon_1_004_001","2","vo_minigame_1013_icon_2_004_001","10000"
"乗りに乗って\nいますわね","4","3","3","あたしたちはまだ\n止まらねえぜ！","3000","vo_minigame_1013_icon_1_005_001","2","vo_minigame_1013_icon_2_005_001","10000"
"まだまだ行きます\nついてきなさい","5","3","3","見てろよ！\nマコト班の快進撃だ！","3000","vo_minigame_1013_icon_1_005_002","2","vo_minigame_1013_icon_2_005_002","10000"
"エリコ班の\n本領発揮ですわ！","6","3","3","うおぉぉっ！\n絶好調だぜ！","3000","vo_minigame_1013_icon_1_005_003","2","vo_minigame_1013_icon_2_005_003","10000"
"ここからは\n前人未到の領域です！","7","3","4","どこまで行けるか\n楽しみだなっ！","3000","vo_minigame_1013_icon_1_006_001","2","vo_minigame_1013_icon_2_006_001","0"
"厄介でしたわ…","8","4","5","まだ諦めんなよっ","1000","vo_minigame_1013_icon_1_007_001","3","vo_minigame_1013_icon_2_007_001","1"
"油断大敵です","9","4","5","冷やっとしたぜ…！","1000","vo_minigame_1013_icon_1_007_002","3","vo_minigame_1013_icon_2_007_002","1"
"忌々しいっ…","10","4","5","弱音を吐くなっ","1000","vo_minigame_1013_icon_1_007_003","3","vo_minigame_1013_icon_2_007_003","1"
"大所帯ですわね","11","3","6","マコト班集合！","1500","vo_minigame_1013_icon_1_008_001","4","vo_minigame_1013_icon_2_008_001","99"
"エリコ班へようこそ","12","3","6","連携してくぞ！","1500","vo_minigame_1013_icon_1_008_002","4","vo_minigame_1013_icon_2_008_002","99"
"ナナカちゃんに\nお任せあれ","13","6","8","みんなに力を！","3000","vo_minigame_1013_icon_1_020_001","1","vo_minigame_1013_icon_2_020_001","0"
"はっはっは！\n任せろ！","14","7","9","任せてくれたまえ","3000","vo_minigame_1013_icon_1_022_001","1","vo_minigame_1013_icon_2_022_001","0"
"どんどんいくわよ","15","8","10","ほな、いきまひょか","3000","vo_minigame_1013_icon_1_023_001","1","vo_minigame_1013_icon_2_023_001","0"
