d5f4ee9327e4b63c3e6826788053cffd0abacd34af349134173f23a7626a8344,64ea53dd93ae56b28743e61c6f65bc6e69fa1a7517663bd1741562fa587ee467,0b26a858af1a8d932b5df407bb8b2aff5a373717d78e2bbe6208d1930819cb4f,8eb8d8b9454fa1ba4e132c8b1d71567609eb9397ce2960645a3fe0e282d41e06,98ce52d55bcb8fee13767c7aeb68b76930849d1e205a5b84f0328b8476430a0d,aa4eff108d3235e822cb6a512bec17e99b29b23b843c0a38a071ae1b30fb5445,b87a897a5c9bbab15f289ef4e36d0a89892b574b7213b72aade5b28e9b4c64c7,7dbeb6593003ae1e684a77fc09aaf1c4c2391626a9505deab76d4d67ec507deb,98272c31c6ce75533906254f9495af3d16afca1575b6dfc5f5d89cd13558c4c2,362580db00bb751abd03b47f92700edbebad7a6b95c015fbc0e2eb3d57e08958,444bfc163faad7a65aecc77c567e00ac0171296e1aedd4a3088878f4788225d3,2e40c26f1e4fabd35e12e0162951357c6c73f29c106a4a78a0313eb66c26e87e,f3d15af0f37833fcf84aa1573265fc4ecb46b745bd977b6a01b2233dcfbde252,1291acc1bbc7934f04de1d841417efef96d9f9c53611fc2aa9c70c9b0a14bf6e,b8d44fb6c27228a3a4c8a76736854d3aa06e89e7af6477928a392d070bac15d2
"2816","0","0","11","1","540","2022/02/15 5:00:00","111","112","1","0","100","0","0","113"
"2816","0","0","21","1","493","2022/02/16 5:00:00","211","212","2","0","100","0","0","213"
"2816","0","0","31","1","458","2022/02/17 5:00:00","311","312","3","0","100","0","0","313"
"2816","0","0","41","1","420","2022/02/18 5:00:00","411","412","4","0","100","0","0","413"
"2816","0","0","51","1","380","2022/02/19 5:00:00","511","512","5","0","100","0","0","513"
"2816","0","0","61","1","340","2022/02/20 5:00:00","611","612","6","0","100","0","0","613"
"2816","0","0","71","1","430","2022/02/21 5:00:00","711","712","7","1","100","0","0","713"
"2816","0","0","81","1","402","2022/02/22 5:00:00","811","812","8","1","100","0","0","813"
"2816","0","0","91","1","302","2022/02/23 5:00:00","911","912","9","1","100","0","0","913"
"2816","0","0","101","1","264","2022/02/24 5:00:00","1011","1012","10","1","100","0","0","1013"
"2816","0","0","111","1","225","2022/02/25 5:00:00","1111","1112","11","1","100","0","0","1113"
"2816","0","0","121","1","328","2022/02/26 5:00:00","1211","1212","12","1","100","0","0","1213"
"2816","0","0","131","1","280","2022/02/27 5:00:00","1311","1312","13","1","100","0","0","1313"
"2816","0","0","141","1","269","2022/02/28 5:00:00","1411","1412","14","1","100","0","0","1413"
