eb8a0de8c03856046623a5d26e2794b433dd3c552d673d0b590097e3a9820e74,f790832f32b377926b80a0e8a0ed4d1b9e95370f56994a2bab5645403315167e,a67878c977a5423c4c006e4bb87e8ba0b4e474c585f8426dac2ef0b5e5e3e53f,6374cef681754ef9766399f10f95487fe9a0306684c5187df41284af273ac7b6,351a1b0022298edd3298843460bbff7c889a8a026bd4d7e4aca7a4b8eda577e3,adee5104b64167e34bc9d8112abf942d6a9f3469a9c46f38f357065c8637fa73,97dc6488219bb83585d61cbc620d3d2284afe080404d1e8f1321ff07851e136e
"1","101","アニメ プリンセスコネクト！Re:Dive 1 封入特典","2023/12/31 23:59:59","2020-08-04 12:00:00","0","10101"
"1","101","アニメ プリンセスコネクト！Re:Dive 2 封入特典","2023/12/31 23:59:59","2020-09-03 19:00:00","0","10102"
"1","101","アニメ プリンセスコネクト！Re:Dive 3 封入特典","2023/12/31 23:59:59","2020-10-01 17:00:00","0","10103"
"1","101","アニメ プリンセスコネクト！Re:Dive 4 封入特典","2023/12/31 23:59:59","2020-11-05 12:00:00","0","10104"
"1","102","アニメ プリコネ！Re:Dive Season2 1巻 購入特典","2026/12/31 23:59:59","2022-03-21 00:00:00","0","10201"
"1","102","アニメ プリコネ！Re:Dive Season2 2巻 購入特典","2026/12/31 23:59:59","2022-04-18 00:00:00","0","10202"
"1","102","アニメ プリコネ！Re:Dive Season2 3巻 購入特典","2026/12/31 23:59:59","2022-05-16 00:00:00","0","10203"
"1","201","週刊ファミ通6月3日号（5月20日発売） 封入特典","2022/05/19 23:59:59","2021-05-19 00:00:00","0","20101"
"1","202","公式アートワークス Vol.3 発売記念アイテム","2030/07/30 23:59:59","2021-07-30 00:00:00","0","20201"
"3","203","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","2023-01-15 15:00:00","1","20301"
"3","203","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","2023-01-15 15:00:00","1","20302"
"3","203","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","2023-01-15 15:00:00","1","20303"
"3","203","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","2023-01-15 15:00:00","1","20304"
"3","203","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","2023-01-15 15:00:00","1","20305"
"3","203","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","2023-01-15 15:00:00","1","20306"
"3","203","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","2023-01-15 15:00:00","1","20307"
"3","203","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","2023-01-15 15:00:00","1","20308"
"3","203","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","2023-01-15 15:00:00","1","20309"
"3","203","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","2023-01-15 15:00:00","1","20310"
"3","203","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","2023-01-15 15:00:00","1","20311"
"3","203","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","2023-01-15 15:00:00","1","20312"
"3","203","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","2023-01-15 15:00:00","1","20313"
"3","203","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","2023-01-15 15:00:00","1","20314"
"3","203","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","2023-01-15 15:00:00","1","20315"
"3","203","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","2023-01-15 15:00:00","1","20316"
"3","203","プリコネフェス2023　リアルガチャ","2024/01/31 23:59:59","2023-01-15 15:00:00","1","20317"
"1","204","キャラクターソングアルバムVol.5 購入特典","2025/02/13 23:59:59","2024-02-14 00:00:00","0","20401"
"1","205","サウンドトラックVol.6 購入特典","2025/02/13 23:59:59","2024-02-14 00:00:00","0","20501"
"0","206","佐賀市ふるさと納税返礼品","2030/12/31 23:59:59","2024-11-29 12:00:00","0","20601"
"0","206","佐賀市ふるさと納税返礼品","2030/12/31 23:59:59","2024-11-29 12:00:00","0","20602"
"0","206","佐賀市ふるさと納税返礼品","2030/12/31 23:59:59","2024-11-29 12:00:00","0","20603"
"1","207","キャラクターソングアルバムVol.6 購入特典","2026/02/11 23:59:59","2025-02-10 12:00:00","0","20701"
"0","208","佐賀市ふるさと納税返礼品 第2弾","2030/12/31 23:59:59","2025-08-12 12:00:00","0","20801"
"0","208","佐賀市ふるさと納税返礼品 第2弾","2030/12/31 23:59:59","2025-08-12 12:00:00","0","20802"
"0","208","佐賀市ふるさと納税返礼品 第2弾","2030/12/31 23:59:59","2025-08-12 12:00:00","0","20803"
"1","209","Shadowverse EVOLVE 特典シリアルコードA","2030/12/31 23:59:59","2026-01-29 12:00:00","0","20901"
"1","209","Shadowverse EVOLVE 特典シリアルコードB","2030/12/31 23:59:59","2026-01-29 12:00:00","0","20902"
"1","209","Shadowverse EVOLVE 特典シリアルコードC","2030/12/31 23:59:59","2026-01-29 12:00:00","0","20903"
"1","210","キャラクターソングアルバムVol.7 購入特典","2027/04/28 23:59:59","2026-04-28 12:00:00","0","21001"
"1","301","プリコネフェス2026 シリアルコード①","2026/03/13 18:59:59","2026/02/13 12:00:00","0","30101"
"1","301","プリコネフェス2026 シリアルコード②","2026/03/13 18:59:59","2026/02/13 12:00:00","0","30102"
"1","301","プリコネフェス2026 シリアルコード③","2026/03/13 18:59:59","2026/02/13 12:00:00","0","30103"
"1","301","プリコネフェス2026 シリアルコード④","2026/03/13 18:59:59","2026/02/13 12:00:00","0","30104"
