df68553b687e92c8c85ff042bd052912b309a75b2c53b3e9b764c0783470fc67,1f0d0a0f89cbbb0caf821125d003f0333485c3e64618573a5c09d9fc7eddb627,91ce661e0309f52918946f06035de30407d943ca935ed6cc20c723a9c855d235,f37f630693c38bf3ce0918ccbd444846e293912ca96b8b8f39bf9e31fc70901a,988ad4dbfa886ae5bfed0b6463d77bdb85a6488919a4beccb526a7d375f9df9e,da70873d4b97c30255df818a1d28e3aafa34a0d5979547fccd82efd08336b3d3,fc21d01a536915f64849e1d5fe8e5ab164b0980bed86288182ebe2bd20c42b44,ac46358f39ad74dd1f3ce2cdabcede993255fb1b76e71a818e7d13e80a5ba80b
"平凡な\n未鑑定トレジャー","200","1","100","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","53001","平凡な未鑑定トレジャー","1"
"貴重な\n未鑑定トレジャー","400","1","200","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","53002","貴重な未鑑定トレジャー","2"
"至高の\n未鑑定トレジャー","800","1","400","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。","53003","至高の未鑑定トレジャー","3"
"平凡なジェムストーン","200","0","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","53004","平凡なジェムストーン","1"
"貴重なジェムストーン","400","0","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","53005","貴重なジェムストーン","2"
"至高のジェムストーン","800","0","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","53006","至高のジェムストーン","3"
"平凡なインゴット","200","0","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","53007","平凡なインゴット","1"
"貴重なインゴット","400","0","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","53008","貴重なインゴット","2"
"至高のインゴット","800","0","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","53009","至高のインゴット","3"
"平凡なスクロール","200","0","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","53010","平凡なスクロール","1"
"貴重なスクロール","400","0","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","53011","貴重なスクロール","2"
"至高のスクロール","800","0","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","53012","至高のスクロール","3"
"平凡なティアラ","200","0","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","53013","平凡なティアラ","1"
"貴重なティアラ","400","0","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","53014","貴重なティアラ","2"
"至高のティアラ","800","0","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","53015","至高のティアラ","3"
"平凡なルーン","200","0","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","53016","平凡なルーン","1"
"貴重なルーン","400","0","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","53017","貴重なルーン","2"
"至高のルーン","800","0","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","53018","至高のルーン","3"
"平凡なクラウン","200","0","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","53019","平凡なクラウン","1"
"貴重なクラウン","400","0","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","53020","貴重なクラウン","2"
"至高のクラウン","800","0","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","53021","至高のクラウン","3"
"平凡なアーティファクト","200","0","100","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","53022","平凡なアーティファクト","1"
"貴重なアーティファクト","400","0","200","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","53023","貴重なアーティファクト","2"
"至高のアーティファクト","800","0","400","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","53024","至高のアーティファクト","3"
