190e190395d916aa225dfb7830e369c2e996b524e3ee005b8512f4c738668731,e68f394facb90f9ce5717a440b2fe057e6cf991873424ad0b0a268d908142be1,4f4b928f5c30f67797a6f266d3db327246f6cef67e73a269ae3fee88b7f220ca,53713e728b16a83f6eae77803f45e793cb07a232e93d23007a5cef95cf5b6373,53147403c9390aa61e8d254ce851e21c51a40d7c07ae49c09414b8906e859af2,f0cbeab554a43db216d63b7b14f3c2063cd5115e331b8fec5d2942520676cade,e6b55b42d8074bd1d580a1a914c3ba33126428c5f3bae2061e1095d7bd4a05e5,fa7e611d579eb9067e15d2a40ca723f4858930cbcde8b3dbbf611adb34321217,0abb1889bc970c85d2e75d56470a88f4e45bae595327fe8233b09b8b66966fea,52c769a9c4fe1165c733ed75fe661a667ca4ef31e126b3dddf926d3fa5673ae9,d6ef1d04407779239fe40899a3c98bd38055b82af6a3eb86ef34226969457974
"se_travel_start_1pt","0","","","111","","se_travel","23","","","101110001"
"10010","0","","1","111","0","10010","31","1","","101110002"
"10011","0","","1","111","0","10011","31","1","","101110003"
"10020","0","","0","111","0","10020","31","1","","101110004"
"1001001","62","<weapon>_idle","0.68","111","-150","2","1","-150","0","101110005"
"1001002","61","<weapon>_idle","0.68","111","-250","2","1","-75","0","101110006"
"1001003","63","<weapon>_idle","0.68","111","-350","2","1","-180","0","101110007"
"1001004","61","<weapon>_idle","0.68","111","-450","2","1","-75","0","101110008"
"1001005","62","<weapon>_idle","0.68","111","-550","2","1","-150","0","101110009"
"1001001","-150","","1","111","-150","10012","31","0.68","0","101110010"
"1001002","-250","","1","111","-75","10012","31","0.68","0","101110011"
"1001003","-350","","1","111","-180","10012","31","0.68","0","101110012"
"1001004","-450","","1","111","-75","10012","31","0.68","0","101110013"
"1001005","-550","","1","111","-150","10012","31","0.68","0","101110014"
"10030","0","","0","111","0","10030","31","1","","101110015"
"10031","0","","0","111","0","10031","31","1","","101110016"
"0","","","","111","","","91","","","101110017"
"1","","","","111","","10030","32","","","101110018"
"0","","","","111","","0","91","","","101110019"
"<weapon>_run","1","","0","111","","1001001","3","0","","101110020"
"<weapon>_run","1","","0","111","","1001002","3","0","","101110021"
"<weapon>_run","1","","0","111","","1001003","3","0","","101110022"
"<weapon>_run","1","","0","111","","1001004","3","0","","101110023"
"<weapon>_run","1","","0","111","","1001005","3","0","","101110024"
"800","-150","","","111","3","1001001","2","0","","101110025"
"700","-75","","","111","3","1001002","2","0","","101110026"
"600","-180","","","111","3","1001003","2","0","","101110027"
"500","-75","","","111","3","1001004","2","0","","101110028"
"400","-150","","","111","3","1001005","2","0","","101110029"
"800","-150","","","111","3","1001001","33","0","","101110030"
"700","-75","","","111","3","1001002","33","0","","101110031"
"600","-180","","","111","3","1001003","33","0","","101110032"
"500","-75","","","111","3","1001004","33","0","","101110033"
"400","-150","","","111","3","1001005","33","0","","101110034"
"1","","","","111","","10020","32","","","101110035"
"0","","","","111","","2.5","93","","","101110036"
"1","","","","111","","10031","32","","","101110037"
"0","","","","111","","0.4","93","","","101110038"
"0","","","","111","","0","91","","","101110039"
"se_travel_start_2pt","0","","","211","","se_travel","23","","","102110001"
"10010","0","","1","211","0","10010","31","1","","102110002"
"10011","0","","1","211","0","10011","31","1","","102110003"
"10020","0","","0","211","0","10020","31","1","","102110004"
"1001001","62","<weapon>_idle","0.68","211","-100","2","1","-90","0","102110005"
"1001002","61","<weapon>_idle","0.68","211","-170","2","1","-15","0","102110006"
"1001003","63","<weapon>_idle","0.68","211","-240","2","1","-105","0","102110007"
"1001004","61","<weapon>_idle","0.68","211","-310","2","1","-15","0","102110008"
"1001005","62","<weapon>_idle","0.68","211","-380","2","1","-90","0","102110009"
"1001001","-100","","1","211","-90","10012","31","0.68","0","102110010"
"1001002","-170","","1","211","-15","10012","31","0.68","0","102110011"
"1001003","-240","","1","211","-105","10012","31","0.68","0","102110012"
"1001004","-310","","1","211","-15","10012","31","0.68","0","102110013"
"1001005","-380","","1","211","-90","10012","31","0.68","0","102110014"
"1002001","52","<weapon>_idle","0.68","211","-500","2","1","-240","0","102110015"
"1002002","51","<weapon>_idle","0.68","211","-570","2","1","-165","0","102110016"
"1002003","53","<weapon>_idle","0.68","211","-640","2","1","-255","0","102110017"
"1002004","51","<weapon>_idle","0.68","211","-710","2","1","-165","0","102110018"
"1002005","52","<weapon>_idle","0.68","211","-780","2","1","-240","0","102110019"
"1002001","-500","","1","211","-240","10012","31","0.68","0","102110020"
