583ff7e20f969b1ce2dc1de78de626142b3d6dd1bca66fc6bbaa592a0e8b98de,90494b2e34cd0f6fb7c47853afc74959ae42f6cccf6883510a0f1202f3e8b627,283ee31f3400600f4aa6376e0d122c76e3b49ababdcd66860ee91baf44f5e86d,9c58773d1fcc80493a5a26638b821ad6ce0a5ff88e4a6bb36ad6e354c5380fd5,258c69b9e131123dabfd9dbb57de0dbb838c3af13246262b21ca59ca3f4c951f,62a12fd7dd52244eda2132a8df1b3a50aacdf09f7fec93ac57d17f117a4bf025,dbb7b91a98015056cd5e4665e425483ed3a6b70c3b584ee621c8e0654af7669c,05abaae74c853a4d03b3968a5eb46d902384df4c57a67e72342119d6d630ecd0,316a60819121b5fabd1d3babd79bd3c4f8cb680cdf7ea95917b5b8375baaf27d,c890d7512b403bd70c5547e3f0ef5d4180d00207e09651f0741ad8567311e076,6d44a9f0576db7904c656ee15bd85c90e5870078ad2e0c03eff8d9c6faa1f4ce,f63dfce80c2c6ff0fdbde5592ae22d755eecfece383464f5c03ad1587208dae3
"0","99999999","1","0","0","1","11000000","0","0","全対象のキャラから1人選んで仲間にできる。","0","全対象のセレクトサイン"
"0","3600","1","0","999","1","11000999","0","0","プリンセスフェスのキャラから1人選んで仲間にできる。","0","プリンセスフェスのセレクトサイン"
"0","2800","1","0","0","1","11001000","1","0","アタッカーロールのキャラから1人選んで仲間にできる。","0","アタッカーロールのセレクトサイン"
"0","2800","1","0","0","1","11002000","2","0","ブレイカーロールのキャラから1人選んで仲間にできる。","0","ブレイカーロールのセレクトサイン"
"0","2800","1","0","0","1","11003000","3","0","バッファーロールのキャラから1人選んで仲間にできる。","0","バッファーロールのセレクトサイン"
"0","2800","1","0","0","1","11004000","4","0","デバッファーロールのキャラから1人選んで仲間にできる。","0","デバッファーロールのセレクトサイン"
"0","2800","1","0","0","1","11005000","5","0","ブースターロールのキャラから1人選んで仲間にできる。","0","ブースターロールのセレクトサイン"
"0","2800","1","0","0","1","11006000","6","0","ヒーラーロールのキャラから1人選んで仲間にできる。","0","ヒーラーロールのセレクトサイン"
"0","2800","1","0","0","1","11007000","7","0","タンクロールのキャラから1人選んで仲間にできる。","0","タンクロールのセレクトサイン"
"0","2800","1","0","0","1","11008000","8","0","ジャマーロールのキャラから1人選んで仲間にできる。","0","ジャマーロールのセレクトサイン"
"1","99999999","1","0","0","3","13000001","0","0","【美食殿】のキャラから3人選んで仲間にできる。","1","【美食殿】のセレクトサイン"
