089102589afd2272997bbbf6ae48b18e4af929a3bc2fed94f39aeadf6eb4ba3b,9ab0deb23895a9f10bf5fb0757c711cf3ae62973bb65c25465c1dff8bf471e48,960559cf6e6d70b88c988ee06d24655f3d95b75edd520dc5ebf79c46c4d41aa6,659d25d189f6ac8ec1593f1da03fa6c74066fbed8da56c89b847e1fb02e47206,d67028eafc23bea364ae6a6e777ed83f4a825595fd1b6350d4ea9bf7bcf374fe,12a82f15c7674305a89954e95c452420e9faf6d00d10bf94a199009056f177c4,17c9ad5b9e667215f4cea8e326d65713b2acdde9d8232ea8ec1242d2552e6706,aee8ae30b42414f26e87639a5b3708681b4a27568fc0b868be49f090df1e1731,c04bb44f5ae47ab54f50bb30b660a3601249396d99db1040e537c96b0a949ba9,56d05251c485011f7d288cf21b8f0e4927d4edf020a5d58f16e6cbeb227252eb,865f4e96d8ac03fc2368419c7aa9038224ff660523926ba236aaa342acbd26a8
"100","-175","1.65","1","64","1","1","pkb_idle_normal","1010001","1","113511"
"1","","0.2","3","","","1","","1010002","113511","pkb_talk_wish"
"0","","","21","0","","1","","1010003","vo_minigame_1006","vo_minigame_1006_top_101"
"8","0","0","11","0","0","1","0","1010004","113511","今日も先生と一緒に\n頑張りましょうね～"
"","","","91","","","1","","1010005","0",""
"1","","0.2","3","","","1","","1010006","113511","pkb_idle_normal"
"100","-175","1.65","1","64","1","2","pkb_idle_normal","1020001","1","113511"
"1","","0.2","3","","","2","","1020002","113511","pkb_talk_wish"
"0","","","21","0","","2","","1020003","vo_minigame_1006","vo_minigame_1006_top_102"
"6","0","0","11","0","0","2","0.5","1020004","113511","みんなの力、先生は\n信じてますからね～！\nファイトですよ～♪"
"","","","93","","","2","","1020005","6",""
"0","1","0.2","3","pkb_idle_normal","","2","","1020006","113511","pkb_talk_fun"
"","","","91","","","2","","1020007","1020004",""
"1","","0.2","3","","","2","","1020008","113511","pkb_idle_normal"
"100","-175","1.65","1","64","1","3","pkb_idle_normal","1030001","1","113511"
"0","1","0.2","3","pkb_idle_normal","0.2","3","","1030002","113511","pkb_smile"
"0","","","21","0","","3","","1030003","vo_minigame_1006","vo_minigame_1006_top_103"
"6","0","0","11","0","0","3","0","1030004","113511","ケガには気を付けてね\n無理は禁物ですよ～♪"
"","","","93","","","3","","1030005","2",""
"1","","0.2","3","","","3","","1030006","113511","pkb_talk_wish"
"","","","91","","","3","","1030007","1030004",""
"1","","0.2","3","","","3","","1030008","113511","pkb_idle_normal"
"100","-155","57","5","64","1","4","pkb_idle_normal_l","1040001","3","3"
"0","1","0.2","3","pkb_idle_arm_crossed_l","0.2","4","","1040002","3","pkb_talk_arm_crossed_l"
"0","","","21","0","","4","","1040003","vo_minigame_1006","vo_minigame_1006_top_601"
"8","0","0","11","0","","4","0","1040004","3","今日の練習も\n手加減しねえ！\nしっかりついてこい！"
"","","","91","","","4","","1040005","0",""
"1","","0.2","3","","","4","","1040006","3","pkb_idle_normal_l"
"100","-155","57","5","64","1","5","pkb_idle_normal_l","1050001","3","3"
"0","1","0.2","3","pkb_idle_arm_crossed_l","0.2","5","","1050002","3","pkb_talk_arm_crossed_l"
"0","","","21","0","","5","","1050003","vo_minigame_1006","vo_minigame_1006_top_602"
"8","0","0","11","0","","5","0","1050004","3","おーし！\n気合いいれて\n練習すんぞー！"
"","","","93","","","5","","1050005","2",""
"0","1","0.2","3","pkb_idle_normal_l","0.2","5","","1050006","3","pkb_talk_handsup_l"
"","","","91","","","5","","1050007","1050004",""
"1","","0.2","3","","","5","","1050008","3","pkb_idle_normal_l"
"100","-155","57","5","64","1","6","pkb_idle_normal_l","1060001","3","3"
"0","1","0.2","3","pkb_idle_arm_crossed_l","0.2","6","","1060002","3","pkb_talk_arm_crossed_l"
"0","","","21","0","","6","","1060003","vo_minigame_1006","vo_minigame_1006_top_603"
"8","0","0","11","0","","6","0","1060004","3","練習だからって\nだらしねえとこ\n見せるんじゃねえぞ？"
"","","","93","","","6","","1060005","3",""
"0","1","0.2","3","pkb_idle_guts_l","","6","","1060006","3","pkb_talk_guts_l"
"","","","91","","","6","","1060007","1060004",""
"1","","0.2","3","","","6","","1060008","3","pkb_idle_normal_l"
"100","-175","1.65","1","64","1","7","pkb_idle_normal","1070001","1","113411"
"0","1","0.2","3","pkb_talk_joy1","0.2","7","","1070002","113411","pkb_talk_fun"
"0","","","21","0","","7","","1070003","vo_minigame_1006","vo_minigame_1006_top_201"
"8","0","0","11","0","0","7","0","1070004","113411","フレーフレー！\n今日もファイトだよ！\n張り切っていこー！"
"","","","93","","","7","","1070005","3.4",""
"0","1","0.2","3","pkb_idle_normal","0.2","7","","1070006","113411","pkb_talk_handsup"
"","","","91","","","7","","1070007","1070004",""
"1","","0.2","3","","","7","","1070008","113411","pkb_idle_normal"
"100","-175","1.65","1","64","1","8","pkb_idle_normal","1080001","1","113411"
"1","","0.2","3","","","8","","1080002","113411","pkb_talk_joy2"
"0","","","21","0","","8","","1080003","vo_minigame_1006","vo_minigame_1006_top_202"
"8","0","0","11","0","0","8","-1","1080004","113411","ハツネちゃんも\n練習のお手伝いを\nしちゃうのだ～！\nきらーん☆"
"","","","93","","","8","","1080005","3.6",""
"0","","0.2","3","","","8","","1080006","113411","pkb_hatsune_kiran"
"","","","91","","","8","","1080007","1080004",""
"1","","0.2","3","","","8","","1080008","113411","pkb_idle_normal"
"100","-175","1.65","1","64","1","9","pkb_idle_normal","1090001","1","113411"
"1","","0.2","3","","","9","","1090002","113411","pkb_talk_joy2"
"0","","","21","0","","9","","1090003","vo_minigame_1006","vo_minigame_1006_top_203"
"6","0","0","11","0","0","9","0","1090004","113411","私も投げてみたいな！\n超能りょ…じゃなくて\n魔法で、すごい球を\n投げちゃうよ！"
"","","","93","","","9","","1090005","3",""
"0","1","0.2","3","pkb_idle_surprise1","0.2","9","","1090006","113411","pkb_surprise"
"","","","93","","","9","","1090007","1",""
