cf5e1c91391e0f3a5e1e03ef1eb9ff9c4f068076b7ae2322faaa5d12a1bd1112,36187886be89537f4328db690ead48b520b46847394693afd2e2c8837005e089,1af33e3dddb93c04e9a31f352498ed696f2658b5e29dcda5592ac0b77c4072d9,2f3c2c9bf4172cfb87597ae20f93c282112155b668768615b8e53f25c8dd21e6
"9500005","1","9501005","0"
"9500006","2","9501006","0"
"9500007","3","9501007","0"
"9500014","4","9501014","0"
"9500025","5","9501025","0"
"9500020","6","9501020","0"
"9500021","7","9501021","0"
"9500053","8","9501053","0"
"9500045","9","9501045","0"
"9500033","10","9501033","0"
"9500008","11","9501008","0"
"9500017","12","9501017","0"
"9500046","13","9501046","0"
"9500034","14","9501034","0"
"9500018","15","9501018","0"
"9500050","16","9501050","0"
"9500035","17","9501035","0"
"9500051","18","9501051","0"
"9500015","20","9501015","0"
"9500029","21","9501029","0"
"9500022","22","9501022","0"
"9500030","23","9501030","0"
"9500031","25","9501031","0"
"9500037","26","9501037","0"
"9500047","27","9501047","0"
"9500032","28","9501032","0"
"9500011","29","9501011","0"
"9500054","30","9501054","0"
"9500023","31","9501023","0"
"9500041","32","9501041","0"
"9500038","33","9501038","0"
"9500042","34","9501042","0"
"9500016","36","9501016","0"
"9500026","37","9501026","0"
"9500039","38","9501039","0"
"9500019","40","9501019","0"
"9500012","42","9501012","0"
"9500036","43","9501036","0"
"9500024","44","9501024","0"
"9500055","45","9501055","0"
"9500043","46","9501043","0"
"9500027","47","9501027","0"
"9500044","48","9501044","0"
"9500009","49","9501009","0"
"9500052","50","9501052","0"
"9500048","51","9501048","0"
"9500040","52","9501040","0"
"9500056","53","9501056","0"
"9500013","54","9501013","0"
"9500057","55","9501057","0"
"9500049","56","9501049","0"
"9500001","58","9501001","0"
"9500002","59","9501002","0"
"9500003","60","9501003","0"
"9500095","61","9501095","0"
"9500004","64","9501004","0"
"9500061","65","9501061","0"
"9500062","66","9501062","0"
"9500063","67","9501063","0"
"9500010","68","9501010","0"
"9500096","70","9501096","0"
"9500028","71","9501028","0"
"9500058","108","9501058","0"
"9500059","109","9501059","0"
"9500060","110","9501060","0"
"9500067","180","9501067","0"
"9500064","181","9501064","0"
"9500065","182","9501065","0"
"9500100","185","9501100","0"
"9500102","186","9501102","0"
"9500097","223","9501097","0"
"9500098","230","9501098","0"
"9500066","233","9501066","0"
"9500068","258","9501068","0"
"9500069","260","9501069","0"
"9500070","261","9501070","0"
"9500077","264","9501077","0"
"9500078","265","9501078","0"
"9500079","277","9501079","0"
"9500080","278","9501080","0"
"9500101","290","9501101","0"
"9500082","296","9501082","0"
"9500083","297","9501083","0"
"9500071","300","9501071","0"
"9500072","301","9501072","0"
"9500073","302","9501073","0"
"9500081","309","9501081","0"
"9500074","323","9501074","0"
"9500075","324","9501075","0"
"9500076","325","9501076","0"
"9500089","330","9501089","0"
"9500090","331","9501090","0"
"9500084","336","9501084","0"
"9500085","347","9501085","0"
"9500086","349","9501086","0"
"9500103","355","9501103","0"
"9500104","356","9501104","0"
"9500091","358","9501091","0"
"9500092","359","9501092","0"
"9500088","360","9501088","0"
"9500087","362","9501087","0"
"9500093","369","9501093","0"
"9500105","403","9501105","0"
"9500106","99999","0","0"
