478be5d4ea890dc2fa452db3070024f36c4a7644809cecf0ea10e0e192dbab44,e367285704e0eb534b5e2c2e462c9e900cf7fe72acf17e569e271a62da5fd573,1011e273950afd3ec6d9b92984539b2a2e6ea8931f4c2f1245112ada5b72a111,6df94b3d4805e8fd7a41f4e1e96f477920b1fababfc19b3c5602db613c4cb78c,aefebb242db77138500e8169a79b5e6d0b0ce5df92d5ed316f9164bef17e0198,8ec435c07aa11ed3b80ad4a97d383c36b4d556b7d2eeb87cb7ff0b59b32987ef,dc2f56ea429cd140b84798e8672a081e0928e6547cb07a1ed5f2bb5cc079cf49
"10201101","2025/01/31 12:00:00","0","5201401","10201","10201101","1"
"10201102","2025/02/06 12:00:00","0","5201402","10201","10201151","1"
"10201201","2025/01/31 12:00:00","5201010","5201411","10201","23","2"
"10201401","2025/02/06 12:00:00","0","5201601","10201","0","3"
"10202101","2025/02/28 12:00:00","0","5202401","10202","10202101","1"
"10202201","2025/02/28 12:00:00","0","5202411","10202","23","2"
"10203101","2025/03/31 12:00:00","0","5203401","10203","10203101","1"
"10203201","2025/03/31 12:00:00","5203007","5203411","10203","23","2"
"10204101","2025/04/30 12:00:00","0","5204401","10204","10204101","1"
"10204201","2025/04/30 12:00:00","5204006","5204411","10204","23","2"
"10205101","2025/05/31 12:00:00","0","5205401","10205","10205101","1"
"10205201","2025/05/31 12:00:00","0","5205411","10205","23","2"
"10206101","2025/06/30 12:00:00","0","5206401","10206","10206101","1"
"10206201","2025/06/30 12:00:00","5206007","5206411","10206","23","2"
"10207101","2025/07/31 12:00:00","0","5207401","10207","10207101","1"
"10207201","2025/07/31 12:00:00","5207007","5207411","10207","23","2"
"10208101","2025/08/31 12:00:00","0","5208401","10208","10208101","1"
"10208201","2025/08/31 12:00:00","5208007","5208411","10208","23","2"
