aa137d24650f2833bbf191d3b6fca955023979b57f76f8d0f6c6be4a065e78bc,c7bd644865f53939aca53ad8ed544217fa5a1bc4c224481d743a77fe641d2a1f,5b1a5bae523b6fbb639cc4153d4b77048655c5a374e1113955d5af4133eceea2,928588d34eef7fb906e9119e4f0032829b2257253ad48b89cf15a00ab91fc49c,a049f4ae0207da4b464d925dc853bd72edf08f8d2be95502523afc2896185bae,00c11b5e999cbedc3d7889d4f35d2bfd98e52982471c84459fedf45471672f9e,825ff3ddc477f61faa4391eabcbece629ed66c2eb21c60af187b3cc3827ccb50
"50","200","1004","150","250","100","1"
"80","320","1004","240","400","160","2"
"50","200","1004","150","250","100","3"
"50","200","1004","150","250","100","5"
"80","320","1004","240","400","160","6"
"1","2","1004","1","3","1","12"
"50","200","1005","150","250","100","1"
"50","200","1005","150","250","100","3"
"80","320","1005","240","400","160","4"
"50","200","1005","150","250","100","5"
"80","320","1005","240","400","160","7"
"1","2","1005","1","3","1","13"
"25","100","1010","75","125","50","1"
"40","160","1010","120","200","80","2"
"25","100","1010","75","125","50","3"
"25","100","1010","75","125","50","5"
"40","160","1010","120","200","80","6"
"25","100","1011","75","125","50","1"
"25","100","1011","75","125","50","3"
"40","160","1011","120","200","80","4"
"25","100","1011","75","125","50","5"
"40","160","1011","120","200","80","7"
"100","400","1006","300","500","200","1"
"50","200","1006","150","250","100","2"
"100","400","1006","300","500","200","3"
"100","400","1006","300","500","200","5"
"50","200","1006","150","250","100","6"
"1","2","1006","1","3","1","12"
"100","400","1007","300","500","200","1"
"100","400","1007","300","500","200","3"
"50","200","1007","150","250","100","4"
"100","400","1007","300","500","200","5"
"50","200","1007","150","250","100","7"
"1","2","1007","1","3","1","13"
"50","200","1012","150","250","100","1"
"80","320","1012","240","400","160","2"
"50","200","1012","150","250","100","3"
"50","200","1012","150","250","100","5"
"80","320","1012","240","400","160","6"
"1","4","1012","3","5","2","12"
