39f4ef14f9b8b35f0fbbb847f66b38f70f2c7ee04b81e81b608406c04cefcdad,6a4397529ff7d8494bd7e12b107650b2f8397ba6aaf03f3f07e21d864253ccee,4136db47f1f83d9f4ad2ca03a358fc856ca98945de34a7299f1b7b590eb9b103,995975963dbae73bd6b8744cecdc5698a087b2e4223085ba6a3e8ce072b006bf
"100101","-354","938","1.6"
"100201","-499","952","1.6"
"100301","-523","1014","1.6"
"100401","-488","894","1.6"
"100601","-628","980","1.6"
"100701","-573","983","1.6"
"100801","-544","1019","1.6"
"100901","-510","985","1.6"
"101001","-660","1115","1.6"
"101101","-415","1128","1.6"
"101201","-589","1042","1.6"
"101601","-501","1050","1.6"
"101701","-598","1038","1.6"
"101801","-356","985","1.6"
"102001","-494","1114","1.6"
"102101","-392","1003","1.6"
"102201","-407","1057","1.6"
"102501","-388","997","1.6"
"102701","-490","1090","1.6"
"102801","-554","987","1.6"
"102901","-526","976","1.6"
"103001","-879","994","1.6"
"103101","-560","1056","1.6"
"103301","-453","1018","1.6"
"103401","-345","1017","1.6"
"103801","-674","961","1.6"
"104001","-499","1095","1.6"
"104201","-521","955","1.6"
"104301","-581","1079","1.6"
"104501","-538","980","1.6"
"104601","-364","954","1.6"
"104801","-777","1107","1.6"
"104901","-795","973","1.6"
"105001","-492","1122","1.6"
"105201","-607","1035","1.6"
"105301","-490","885","1.6"
