e0386b05761a2b3407ea7cbb53b8c20e930a2b86921647db15b65fb021bfae36,c08a22190b17184c569c6e23b6c67db3410565e61c5a40a55ba2ab0b76349291,71114efc0886203c870d9a9d80128cd70977fdde096fb9402b6f42358c0832e6,9a9cd80d1b5f1c83b87fce442505d698d3df78fc79a832eb6f0190329f78963e,152269f117ccd67782e7f0f148f87fe82fc749f2879d5b43e8f5dbc59db49772,30f5846dc0c4041306982b3de5c828931743123b1eddcc0c2dbd4d2f35590bdb,339bead5d990ff9b9ee6d300e8d49c4ebe886e4e3c2fb0cae35baa1caa53e928,e0281db678d2328c8b826f5a2bd1dd69a7b189f3b879caace0c41943bac4671c,cc193e9d18339094cbd21a3f3eed198ab9197363740057f33f2833cae2c89aeb,fd2ddd5e9472e99c7adcd72c417b0c75e15995a1142fdffce60a21c2cf200f3d,aab9d7bde800f891d156babd2feef3b3b0e1fb0b8895fcb48437fc4ecee866a8
"0","111","118511","202","111001","wac_215_karin_idle_normal","-345","1","2","-273","1"
"1","111","105811","205","111002","wac_215_idle_joy1","-355","1","2","170","1"
"1","111","105911","202","111003","wac_215_idle_normal_joy","-325","1","2","50","1"
"1","111","106011","203","111004","wac_215_idle_arm_crossed","-330","1","2","300","1"
"1","111","106431","204","111005","wac_215_idle_normal2","-360","1","2","450","1"
"","111","","","111006","","","131","","","1"
"","112","0","","112001","","","93","","","1"
"","112","wac_215_karin_talk_normal","1","112002","","","3","0.2","","118511"
"","112","vo_wac_220215_000","0","112003","","","21","","0","vo_wac_220215"
"0","112","【美食殿】のみなさん、\n来ていただいてありがとうございます！","10","112004","0.5","1","11","0","1","118511"
"","112","","","112005","","","91","","","112004"
"","112","wac_215_karin_idle_normal","1","112006","","","3","0.2","","118511"
"0.2","112","wac_215_peko_oissu","0","112007","","1","3","0.2","wac_215_talk_normal","105811"
"","112","vo_wac_220215_001","0","112008","","","21","","0","vo_wac_220215"
"0","112","カリンさん、オイッスー！\nどうしたんですか？\nランドソルの端っこに\n呼び出したりなんかして。","10","112009","0.5","1","11","0","1","105811"
"","112","","","112010","","","91","","","112009"
"","112","wac_215_idle_normal","1","112011","","","3","0.2","","105811"
"","112","wac_215_karin_talk_normal","1","112012","","","3","0.2","","118511"
"","112","vo_wac_220215_002","0","112013","","","21","","0","vo_wac_220215"
"0","112","今日はみなさんにお願いしたい\n重要な依頼があるんです。","10","112014","0.5","1","11","0","1","118511"
"","112","","","112015","","","91","","","112014"
"","112","wac_215_karin_idle_normal","1","112016","","","3","0.2","","118511"
"0","112","wac_215_talk_arm_crossed","0","112017","","1","3","0.2","wac_215_talk_arm_crossed_loop","106011"
"","112","vo_wac_220215_003","0","112018","","","21","","0","vo_wac_220215"
"0","112","重要な依頼？\nまた面倒くさいこと押し付けようと\nしてんじゃないでしょうね……","10","112019","0.5","1","11","0","1","106011"
"","112","","","112020","","","91","","","112019"
"","112","wac_215_idle_arm_crossed","1","112021","","","3","0.2","","106011"
"","112","wac_215_karin_talk_normal","1","112022","","","3","0.2","","118511"
"","112","vo_wac_220215_004","0","112023","","","21","","0","vo_wac_220215"
"0","112","実はこのたび景観向上事業として\nランドソルを囲む壁に\n絵を描いて、街を華やかにするという\n計画を進めることになりまして。","10","112024","0.5","1","11","0","1","118511"
"","112","","","112025","","","91","","","112024"
"","112","wac_215_karin_idle_normal","1","112026","","","3","0.2","","118511"
"0.2","112","wac_215_shefy_humu","0","112027","","1","3","0.2","wac_215_talk_normal","106431"
"","112","vo_wac_220215_005","0","112028","","","21","","0","vo_wac_220215"
"0","112","ランドソルを囲む壁に絵を？\nふぅん、楽しそうね。\nここに描けばいいのかしら？","10","112029","0.5","1","11","0","1","106431"
"","112","","","112030","","","91","","","112029"
"","112","wac_215_idle_normal2_joy","1","112031","","","3","0.2","","106431"
"","112","wac_215_karin_talk_normal","1","112032","","","3","0.2","","118511"
"","112","vo_wac_220215_006","0","112033","","","21","","0","vo_wac_220215"
"0","112","はい。ここから始めて、\nランドソルの壁をぐるっと一周\n絵でいっぱいにしたいんです。","10","112034","0.5","1","11","0","1","118511"
"","112","","","112035","","","91","","","112034"
"","112","wac_215_karin_idle_normal","1","112036","","","3","0.2","","118511"
"","112","wac_215_talk_sad","1","112037","","","3","0.2","","106431"
