4e508153254df22d1c180d72207339c38da70c135887e1510e6fb36264f147f5,818d6b13a08db8b506dadaecd9eec8137a33cf3c4a153f613b4b57af51f9736e,cb5ae3526d14109c458787750802105eb1a63e8e133ccf6bf8d7fb96fad432e9,e714425c24b59f7ab0151eb0a13615aa4f13f64ea94566d94e50510a1f6dce6d,64a3209c2bb082552df035f98fe03b40b3a50c0e9289f17f663e2f4624ada2f2,9744518b931edaedbdde20e2475c85b119536d4fad941051c70c33c0c265fc10
"1","1","vo_caravan","vo_caravan_105801_start_001","1","11101"
"1","1","vo_caravan","vo_caravan_105801_start_002","1","11102"
"1","1","vo_caravan","vo_caravan_105901_start_001","2","12101"
"1","1","vo_caravan","vo_caravan_105901_start_002","2","12102"
"1","1","vo_caravan","vo_caravan_106001_start_001","3","13101"
"1","1","vo_caravan","vo_caravan_106001_start_002","3","13102"
"1","1","vo_caravan","vo_caravan_106401_start_001","4","14101"
"1","1","vo_caravan","vo_caravan_106401_start_002","4","14102"
"2","1","vo_caravan","vo_caravan_105801_dice_001","1","21101"
"2","1","vo_caravan","vo_caravan_105801_dice_002","1","21102"
"2","1","vo_caravan","vo_caravan_105901_dice_001","2","22101"
"2","1","vo_caravan","vo_caravan_105901_dice_002","2","22102"
"2","1","vo_caravan","vo_caravan_106001_dice_001","3","23101"
"2","1","vo_caravan","vo_caravan_106001_dice_002","3","23102"
"2","1","vo_caravan","vo_caravan_106401_dice_001","4","24101"
"2","1","vo_caravan","vo_caravan_106401_dice_002","4","24102"
"3","1","vo_caravan","vo_caravan_105801_slot_001","1","31101"
"3","1","vo_caravan","vo_caravan_105901_slot_001","2","32101"
"3","1","vo_caravan","vo_caravan_106001_slot_001","3","33101"
"3","1","vo_caravan","vo_caravan_106401_slot_001","4","34101"
"4","1","vo_caravan","vo_caravan_105801_dish_001","1","41101"
"4","1","vo_caravan","vo_caravan_105801_dish_002","1","41102"
"4","1","vo_caravan","vo_caravan_105901_dish_001","2","42101"
"4","1","vo_caravan","vo_caravan_105901_dish_002","2","42102"
"4","2","se_caravan","se_caravan_food_peko","1","42201"
"4","2","se_caravan","se_caravan_food_coccoro","2","42202"
"4","2","se_caravan","se_caravan_food_kyaru","3","42203"
"4","2","se_caravan","se_caravan_food_coccoro","4","42204"
"4","2","se_caravan","se_caravan_food_onigiri","100","42205"
"4","1","vo_caravan","vo_caravan_106001_dish_001","3","43101"
"4","1","vo_caravan","vo_caravan_106001_dish_002","3","43102"
"4","1","vo_caravan","vo_caravan_106401_dish_001","4","44101"
"4","1","vo_caravan","vo_caravan_106401_dish_002","4","44102"
"4","1","vo_caravan","vo_caravan_onigiri_dish_001","100","45101"
"6","1","vo_caravan","vo_caravan_105801_goal_001","0","61101"
"61","1","vo_caravan","vo_caravan_105801_win_001","0","61201"
"62","1","vo_caravan","vo_caravan_105801_lose_001","0","61301"
"6","1","vo_caravan","vo_caravan_105901_goal_001","0","62101"
"61","1","vo_caravan","vo_caravan_105901_win_001","0","62201"
"62","1","vo_caravan","vo_caravan_105901_lose_001","0","62301"
"6","1","vo_caravan","vo_caravan_106001_goal_001","0","63101"
"61","1","vo_caravan","vo_caravan_106001_win_001","0","63201"
"62","1","vo_caravan","vo_caravan_106001_lose_001","0","63301"
"6","1","vo_caravan","vo_caravan_118501_goal_001","0","64101"
"6","1","vo_caravan","vo_caravan_106401_goal_001","0","65101"
"61","1","vo_caravan","vo_caravan_106401_win_001","0","65201"
"62","1","vo_caravan","vo_caravan_106401_lose_001","0","65301"
"7","1","vo_caravan","vo_caravan_105801_appraise_001","0","71101"
"7","1","vo_caravan","vo_caravan_105901_appraise_001","0","72101"
"7","1","vo_caravan","vo_caravan_106001_appraise_001","0","73101"
"7","1","vo_caravan","vo_caravan_106401_appraise_001","0","74101"
"8","1","vo_caravan","vo_caravan_105801_result_001","0","81101"
"8","1","vo_caravan","vo_caravan_105901_result_001","0","82101"
"8","1","vo_caravan","vo_caravan_106001_result_001","0","83101"
"8","1","vo_caravan","vo_caravan_106401_result_001","0","84101"
"2","1","vo_caravan","vo_caravan_319700_dice_001","11","211101"
"2","1","vo_caravan","vo_caravan_319700_dice_002","11","211102"
"2","1","vo_caravan","vo_caravan_319800_dice_001","12","212101"
"2","1","vo_caravan","vo_caravan_319800_dice_002","12","212102"
"2","1","vo_caravan","vo_caravan_319900_dice_001","13","213101"
"2","1","vo_caravan","vo_caravan_319900_dice_002","13","213102"
