86ece292d2d0f620dfeff38b97dbe371fa6f194c1dc9cadca323ca41a9a53c04,a630e132c61e3fd5d1c80693f158ddfb8bd240ca43bb13788bcfb7e585a755a2,9772ef805cf92dcfb417afb4ee63b9af320c192fe6ea4d80d2107815a912eb03,bb7f3536fbc827b3da06fa3d97d5d0f5bf58851588138f458835b61888fd3343,ae04335d3a4732c85835a823c7e6a24ab62319ca969e89ff8096cf32e53c7a76,6b9397211f1fc973741eb634e4cc30d25e350287201a859a2eb32b36939e787b,2b2993ef73dfb5668d10678b4a9cf7822d0b348b316923867082051648b4bc16,ee75cf91125dbc0f1ef8f4684b25848e59f9a010a55141ba526a5d4eb580d357,48f177966e689178bca2951545efdf65e4e5b8fddc819aa176ed74d1381219fd,cb58a2d71fd78fa702495d8d5d0a7776a661d26db32d8832a96d77d752b84a7e,1cb70445aeddc34de00b14c25073b277309dca62d678e18a47932982093cf669
"1","102","1009801","1009801001","0","-200","1","lsv_idle_normal","1.95","-495","122711"
"1","100","1009801","1009801002","1","100","1","lsv_idle_normal","1.95","-480","122811"
"1","101","1009801","1009801003","1","270","1","lsv_idle_normal","1.95","-510","122911"
"5","0","1009801","1009801004","0","0","1","lsv_white_loop","1","0","333"
"6","1","1009801","1009801005","0","1","333","","0","0","1"
"6","1","1009801","1009801006","0","1","122711","","0","0","1"
"6","1","1009801","1009801007","0","1","122811","","0","0","1"
"6","1","1009801","1009801008","0","1","122911","","0","0","1"
"93","","1009801","1009801009","","","1","","","","0"
"6","1","1009801","1009801010","0","1","333","","0.8","0.4","1"
"3","0","1009801","1009801011","0.2","lsv_idle_normal","122711","","0.2","1","lsv_jump1"
"3","0","1009801","1009801012","0.2","lsv_idle_normal","122811","","0.2","1","lsv_jump1"
"3","0","1009801","1009801013","0.2","lsv_idle_normal","122911","","0.2","1","lsv_jump1"
"93","","1009801","1009801014","","","0.3","","","",""
"2","-235","1009801","1009801015","","0.75","122711","","","0","-200"
"2","-220","1009801","1009801016","","0.75","122811","","","0","100"
"2","-250","1009801","1009801017","","0.75","122911","","","0","270"
"6","1","1009801","1009801018","0","1","122711","","0.4","1","1"
"6","1","1009801","1009801019","0","1","122811","","0.4","1","1"
"6","1","1009801","1009801020","0","1","122911","","0.4","1","1"
"93","","1009801","1009801021","","","2","","","","0"
"3","1","1009801","1009801022","","","122911","","0.2","","lsv_talk_joy1"
"21","0","1009801","1009801023","","0","vo_lsv","","","","vo_lsv_0121"
"11","10","1009801","1009801024","0","1","122911","0","0","1","『みゅ～ちゃん　すくすく日記』♪\nはじまりはじまり～"
"91","","1009801","1009801025","","","0","","","",""
"3","1","1009801","1009801026","","","122911","","0.2","","lsv_idle_normal_joyR"
"3","1","1009801","1009801027","","","122711","","0.2","","lsv_talk_normal"
"21","0","1009801","1009801028","","0","vo_lsv","","","","vo_lsv_0122"
"11","10","1009801","1009801029","0","1","122711","0","0","1","この日記をみんなで書いて、\nみゅ～ちゃんとの思い出を\n作っていこうね。"
"91","","1009801","1009801030","","","0","","","",""
"3","1","1009801","1009801031","","","122711","","0.2","","lsv_idle_normal"
"3","1","1009801","1009801032","","","122911","","0.2","","lsv_idle_normal"
"3","0","1009801","1009801033","0.2","lsv_talk_cool_loop","122811","","0","1","lsv_talk_cool"
"21","0","1009801","1009801034","","0","vo_lsv","","","","vo_lsv_0123"
"11","10","1009801","1009801035","0","1","122811","0","0","1","それにしても…キョウカは\n日記もまじめだねー\n先生に見せるみたい！"
"91","","1009801","1009801036","","","0","","","",""
"3","1","1009801","1009801037","","","122811","","0.2","","lsv_talk_bitter"
"21","0","1009801","1009801038","","0","vo_lsv","","","","vo_lsv_0124"
"11","10","1009801","1009801039","0","1","122811","0","0","1","ミソギたちしか読まないんだし\nもっとふざけちゃっても\nいいのに～♪"
"91","","1009801","1009801040","","","0","","","",""
"3","1","1009801","1009801041","","","122811","","0.2","","lsv_idle_joy"
"3","1","1009801","1009801042","","","122711","","0.2","","lsv_talk_anger2"
"21","0","1009801","1009801043","","0","vo_lsv","","","","vo_lsv_0125"
"11","10","1009801","1009801044","0","1","122711","0","0","1","ふ、ふざけて書くなんて…！\n私にはできないよっ。"
"91","","1009801","1009801045","","","0","","","",""
"3","1","1009801","1009801046","","","122711","","0.2","","lsv_idle_anger2"
"3","1","1009801","1009801047","","","122911","","0.2","","lsv_talk_normal"
"21","0","1009801","1009801048","","0","vo_lsv","","","","vo_lsv_0126"
"11","10","1009801","1009801049","0","1","122911","0","0","1","大丈夫だよ～\nミミは、キョウカちゃんの\n日記もいいなって思うもん♪"
"91","","1009801","1009801050","","","0","","","",""
"3","1","1009801","1009801051","","","122911","","0.2","","lsv_idle_normal_joyR"
"3","0","1009801","1009801052","0.2","lsv_talk_guts2_anger_loop","122711","","0","1","lsv_talk_guts2_anger"
"21","0","1009801","1009801053","","0","vo_lsv","","","","vo_lsv_0127"
"11","10","1009801","1009801054","0","1","122711","0","0","1","と、とにかくっ！　この日記は\nみゅ～ちゃんのことを知って\nいくためにも書くんだよ？"
"91","","1009801","1009801055","","","0","","","",""
"3","1","1009801","1009801056","","","122711","","0.2","","lsv_talk_normal_worry"
"21","0","1009801","1009801057","","0","vo_lsv","","","","vo_lsv_0128"
"11","10","1009801","1009801058","0","1","122711","0","0","1","どんな生き物かわからないと\n育てるのも大変だし…\nそのこと、忘れないようにね？"
"91","","1009801","1009801059","","","0","","","",""
"3","1","1009801","1009801060","","","122711","","0.2","","lsv_idle_normal"
"3","0","1009801","1009801061","0.2","lsv_idle_normal","122811","","0","1","lsv_hello"
"3","0","1009801","1009801062","0.2","lsv_idle_normal_joyR","122911","","0","1","lsv_hello"
"21","0","1009801","1009801063","","0","vo_lsv","","","","vo_lsv_0129"
"11","10","1009801","1009801064","0","1","122811","0","0","1","はーい！"
"11","10","1009801","1009801065","0","1","122911","0","0","1","はーい！"
"91","","1009801","1009801066","","","0","","","",""
"3","1","1009801","1009801067","","","122711","","0.2","","lsv_idle_normal"
"3","1","1009801","1009801068","","","122911","","0.2","","lsv_talk_surprise"
"21","0","1009801","1009801069","","0","vo_lsv","","","","vo_lsv_0130"
"11","10","1009801","1009801070","0","1","122911","0","0","1","みゅ～ちゃんはふしぎだよね～\nはじめて会ったときは\nびっくりしちゃった！"
"91","","1009801","1009801071","","","0","","","",""
"3","1","1009801","1009801072","","","122911","","0.2","","lsv_idle_normal_suprise1"
"3","0","1009801","1009801073","0.2","lsv_talk_cool_loop","122811","","0","1","lsv_talk_cool"
"21","0","1009801","1009801074","","0","vo_lsv","","","","vo_lsv_0131"
"11","10","1009801","1009801075","0","1","122811","0","0","1","タマゴも石みたいだったしね！\nねっ、にいちゃんは、\nどんな生き物だと思う？"
"91","","1009801","1009801076","","","0","","","",""
"3","0","1009801","1009801077","0.2","lsv_look_idle_normal","122711","","0","1","lsv_choice"
"3","0","1009801","1009801078","0.2","lsv_look_idle_normal","122811","","0","1","lsv_choice"
"3","0","1009801","1009801079","0.2","lsv_look_idle_normal","122911","","0","1","lsv_choice"
"93","","1009801","1009801080","","","0.1","","","","0"
"2","-235","1009801","1009801081","0.2","0.33","122711","","","2","-452"
"2","-220","1009801","1009801082","0.2","0.33","122811","","","2","420"
"2","-250","1009801","1009801083","0.2","0.33","122911","","","2","545"
"22","1","1009801","1009801084","","","0","","0.2","","0"
"103","0","1009801","1009801085","","","怪獣の赤ちゃん。","","","","1009801088"
"103","0","1009801","1009801086","","","おっきなナメクジ。","","","","1009801102"
"103","0","1009801","1009801087","","","毒のある生き物。","","","","1009801115"
"3","0","1009801","1009801088","0.2","lsv_idle_normal","122711","","0","1","lsv_choice"
"3","0","1009801","1009801089","0.2","lsv_idle_normal","122811","","0","1","lsv_choice"
"3","0","1009801","1009801090","0.2","lsv_idle_normal","122911","","0","1","lsv_choice"
"93","","1009801","1009801091","","","0.1","","","","0"
"2","-235","1009801","1009801092","0.2","0.33","122711","","","2","-200"
"2","-220","1009801","1009801093","0.2","0.33","122811","","","2","100"
