d82fc0c65c6321150d92498093335cdbb32fe3f64bd56315718796fef37804ee,67646674f9252efede3043df4c2cdc173aa6cfc6fcab60c6330fc1907193cd4f,35fd2867b93bcb9ecd9ca7b33c75f85205deb2d78ed618dfe7df599dd565e9f3,74d0b3435f32b0b042fc5f234093f89d29fa0f934db08ae8bb7d9ceea57c1896,5b54b21b0eb3cc678078e3da79cf5cf771364dab4b672cf80a4e62d282db1fd2
"1","ひよっこ","0","26999","1"
"1","未熟者","0","26999","2"
"1","稚魚","0","26999","3"
"3","ビギナーランナー","0","26999","4"
"1","赤ちゃん","0","26999","5"
"1","ベイビー","0","26999","6"
"1","小物","0","26999","7"
"1","へっぽこ","0","26999","8"
"1","素人","0","26999","9"
"1","小魚","27000","33999","10"
"1","初心者","27000","33999","11"
"3","エンジョイランナー","27000","33999","12"
"1","若輩者","27000","33999","13"
"1","ルーキー","27000","33999","14"
"1","ガール","27000","33999","15"
"1","注目株","27000","33999","16"
"1","原石","27000","33999","17"
"2","ニューホープ","27000","33999","18"
"1","探究者","34000","50399","19"
"1","暴れん坊","34000","50399","20"
"1","申し子","34000","50399","21"
"1","奇才","34000","50399","22"
"1","大物","34000","50399","23"
"1","麒麟児","34000","50399","24"
"1","ホープ","34000","50399","25"
"1","新星","34000","50399","26"
"1","逸材","34000","50399","27"
"1","マーメイド","50400","59999","28"
"1","先輩","50400","59999","29"
"1","中級者","50400","59999","30"
"3","ビーチフラッガー","50400","59999","31"
"1","魚","50400","59999","32"
"1","チーフ","50400","59999","33"
"1","キャプテン","50400","59999","34"
"1","一人前","50400","59999","35"
"1","セミプロ","50400","59999","36"
"1","大型新人","50400","59999","37"
"1","流れ星","60000","69999","38"
"1","先生","60000","69999","39"
"1","ドルフィン","60000","69999","40"
"1","職人","60000","69999","41"
"1","レーサー","60000","69999","42"
"1","トゥンヌス","60000","69999","43"
"1","中の中","60000","69999","44"
"2","ビッグネーム","60000","69999","45"
"1","異才","60000","69999","46"
"1","エリート","60000","69999","47"
"1","仕事人","60000","69999","48"
"1","玄人","60000","69999","49"
"1","オルカ","70000","83999","50"
"1","名人","70000","83999","51"
"1","魔術師","70000","83999","52"
"1","師匠","70000","83999","53"
"1","サブマリン","70000","83999","54"
"2","スプリンター","70000","83999","55"
"1","名手","70000","83999","56"
"2","エースランナー","70000","83999","57"
"1","プロ","70000","83999","58"
"1","看板選手","70000","83999","59"
"1","第一人者","70000","83999","60"
"1","ドン","70000","83999","61"
"2","スピードスター","84000","99999","62"
"1","豪傑","84000","99999","63"
"1","プリンセス","84000","99999","64"
"1","女神","84000","99999","65"
"1","マスター","84000","99999","66"
"2","ナンバーワン","84000","99999","67"
"1","寵児","84000","99999","68"
"3","ワイルドグリフォン","84000","99999","69"
"1","ワイバーン","84000","99999","70"
"2","エキスパート","84000","99999","71"
"2","トップランナー","84000","99999","72"
"1","韋駄天","100000","119999","73"
"1","クイーン","100000","119999","74"
"2","チャンピオン","100000","119999","75"
"2","天才ランナー","100000","119999","76"
"3","レコードホルダー","100000","119999","77"
"1","極致","100000","119999","78"
"2","ネプテリオン","100000","119999","79"
"2","シードレイク","100000","119999","80"
"1","女傑","100000","119999","81"
"1","革命家","100000","119999","82"
"2","ビッグスター","100000","119999","83"
"2","ファンタジスタ","120000","999999","84"
"2","スーパースター","120000","999999","85"
"3","ワールドチャンプ","120000","999999","86"
"1","レジェンド","120000","999999","87"
"1","超人","120000","999999","88"
"1","トルペドン","120000","999999","89"
"1","カルキノス","120000","999999","90"
"2","アクアリオス","120000","999999","91"
"1","至宝","120000","999999","92"
"3","グランドマスター","120000","999999","93"
"1","英雄","120000","999999","94"
"1","天下取り","120000","999999","95"
