b73a9542b52d3e8f573a125d45e625b26de7076fdefd834813ef797f15a6678a,6cbae1ec24c817364e7c45eede65db1c5c5eedaa28461deaa25d38965875dcbc,922fd351fee708ddd5c21f90054b3c271b90dddb2a2b707744b2afb703397b7f,d87b74a04f45a9900a4adc595e6a9abaa1f98b0cc9655afb9223aa1157a15639,d62471055bf39b2611b3f4d321e93a2adfa361f1d540b2e8079f7a7d151b2e6e,9af42c1e599b9ff6f39f780e96149a0fecef69a4a0c1e002e64c3921de560a6c
"0","770110101","770110102","0","770110103","770110101"
"0","770110201","770110202","0","770110203","770110201"
"0","770110301","770110302","0","770110303","770110301"
"0","770110401","770110402","770110404","770110403","770110401"
"0","770110501","770110502","770110604","770110503","770110501"
"0","770110601","770110602","770110504","770110603","770110601"
"0","770110701","770110702","770110704","770110703","770110701"
"0","770110801","770110802","770110804","770110803","770110801"
"0","770110901","770110902","770110904","770110903","770110901"
"0","770111001","770111002","770111004","770111003","770111001"
"0","770111101","770111102","770111104","770111103","770111101"
"0","770111201","770111202","770111204","770111203","770111201"
"770111305","770111301","770111302","770111304","770111303","770111301"
"770111405","770111401","770111402","770111404","770111403","770111401"
"770111505","770111501","770111502","770111504","770111503","770111501"
"770111605","770111601","770111602","770111604","770111603","770111601"
"770111705","770111701","770111702","770111704","770111703","770111701"
"770111805","770111801","770111802","770111804","770111803","770111801"
"770111905","770111901","770111902","770111904","770111903","770111901"
"770112005","770112001","770112002","770112004","770112003","770112001"
"770112105","770112101","770112102","770112104","770112103","770112101"
"770112205","770112201","770112202","770112204","770112203","770112201"
"770112305","770112301","770112302","770112304","770112303","770112301"
"770112405","770112401","770112402","770112404","770112403","770112401"
"770112505","770112501","770112502","770112504","770112503","770112501"
"770112605","770112601","770112602","770112604","770112603","770112601"
"770112705","770112701","770112702","770112704","770112703","770112701"
"770112805","770112801","770112802","770112804","770112803","770112801"
"770112905","770112901","770112902","770112904","770112903","770112901"
"770113005","770113001","770113002","770113004","770113003","770113001"
"770113105","770113101","770113102","770113104","770113103","770113101"
"770113205","770113201","770113202","770113204","770113203","770113201"
"770113305","770113301","770113302","770113304","770113303","770113301"
"770113405","770113401","770113402","770113404","770113403","770113401"
"770113505","770113501","770113502","770113504","770113503","770113501"
"770113605","770113601","770113602","770113604","770113603","770113601"
"0","770120101","0","0","0","770120101"
"0","770120201","0","0","0","770120201"
"0","770120301","0","0","0","770120301"
"0","770120401","0","0","0","770120401"
"0","770120501","0","0","0","770120501"
"0","770120601","0","0","0","770120601"
"770120705","770120701","770120702","770120704","770120703","770120701"
"770120805","770120801","770120802","770120804","770120803","770120801"
"770120905","770120901","770120902","770120904","770120903","770120901"
"770121005","770121001","770121002","770121004","770121003","770121001"
"770121105","770121101","770121102","770121104","770121103","770121101"
"770121205","770121201","770121202","770121204","770121203","770121201"
"0","770210101","770210102","0","770210103","770210101"
"0","770210201","770210202","0","770210203","770210201"
"0","770210301","770210302","0","770210303","770210301"
"0","770210401","770210402","770210404","770210403","770210401"
"0","770210501","770210502","770210504","770210503","770210501"
"0","770210601","770210602","770210604","770210603","770210601"
"0","770210701","770210702","770210704","770210703","770210701"
"0","770210801","770210802","770210804","770210803","770210801"
"0","770210901","770210902","770210904","770210903","770210901"
"0","770211001","770211002","770211004","770211003","770211001"
"0","770211101","770211102","770211104","770211103","770211101"
"0","770211201","770211202","770211204","770211203","770211201"
"770211305","770211301","770211302","770211304","770211303","770211301"
"770211405","770211401","770211402","770211404","770211403","770211401"
"770211505","770211501","770211502","770211504","770211503","770211501"
"770211605","770211601","770211602","770211604","770211603","770211601"
"770211705","770211701","770211702","770211704","770211703","770211701"
"770211805","770211801","770211802","770211804","770211803","770211801"
"770211905","770211901","770211902","770211904","770211903","770211901"
"770212005","770212001","770212002","770212004","770212003","770212001"
"770212105","770212101","770212102","770212104","770212103","770212101"
"770212205","770212201","770212202","770212204","770212203","770212201"
"770212305","770212301","770212302","770212304","770212303","770212301"
"770212405","770212401","770212402","770212404","770212403","770212401"
"770212505","770212501","770212502","770212504","770212503","770212501"
"770212605","770212601","770212602","770212604","770212603","770212601"
"770212705","770212701","770212702","770212704","770212703","770212701"
"770212805","770212801","770212802","770212804","770212803","770212801"
"770212905","770212901","770212902","770212904","770212903","770212901"
"770213005","770213001","770213002","770213004","770213003","770213001"
"770213105","770213101","770213102","770213104","770213103","770213101"
"770213205","770213201","770213202","770213204","770213203","770213201"
"770213305","770213301","770213302","770213304","770213303","770213301"
"770213405","770213401","770213402","770213404","770213403","770213401"
"770213505","770213501","770213502","770213504","770213503","770213501"
"770213605","770213601","770213602","770213604","770213603","770213601"
"0","770220101","0","0","0","770220101"
"0","770220201","0","0","0","770220201"
"0","770220301","0","0","0","770220301"
"0","770220401","0","0","0","770220401"
"0","770220501","0","0","0","770220501"
"0","770220601","0","0","0","770220601"
"770220705","770220701","770220702","770220704","770220703","770220701"
"770220805","770220801","770220802","770220804","770220803","770220801"
"770220905","770220901","770220902","770220904","770220903","770220901"
"770221005","770221001","770221002","770221004","770221003","770221001"
"770221105","770221101","770221102","770221104","770221103","770221101"
"770221205","770221201","770221202","770221204","770221203","770221201"
"0","770310101","770310102","0","770310103","770310101"
"0","770310201","770310202","0","770310203","770310201"
"0","770310301","770310302","0","770310303","770310301"
"0","770310401","770310402","770310404","770310403","770310401"
"0","770310501","770310502","770310504","770310503","770310501"
"0","770310601","770310602","770310604","770310603","770310601"
"0","770310701","770310702","770310704","770310703","770310701"
"0","770310801","770310802","770310804","770310803","770310801"
"0","770310901","770310902","770310904","770310903","770310901"
"0","770311001","770311002","770311004","770311003","770311001"
"0","770311101","770311102","770311104","770311103","770311101"
"0","770311201","770311202","770311204","770311203","770311201"
"770311305","770311301","770311302","770311304","770311303","770311301"
"770311405","770311401","770311402","770311404","770311403","770311401"
"770311505","770311501","770311502","770311504","770311503","770311501"
"770311605","770311601","770311602","770311604","770311603","770311601"
"770311705","770311701","770311702","770311704","770311703","770311701"
"770311805","770311801","770311802","770311804","770311803","770311801"
"770311905","770311901","770311902","770311904","770311903","770311901"
"770312005","770312001","770312002","770312004","770312003","770312001"
"770312105","770312101","770312102","770312104","770312103","770312101"
"770312205","770312201","770312202","770312204","770312203","770312201"
"770312305","770312301","770312302","770312304","770312303","770312301"
"770312405","770312401","770312402","770312404","770312403","770312401"
"770312505","770312501","770312502","770312504","770312503","770312501"
"770312605","770312601","770312602","770312604","770312603","770312601"
"770312705","770312701","770312702","770312704","770312703","770312701"
"770312805","770312801","770312802","770312804","770312803","770312801"
"770312905","770312901","770312902","770312904","770312903","770312901"
"770313005","770313001","770313002","770313004","770313003","770313001"
"770313105","770313101","770313102","770313104","770313103","770313101"
"770313205","770313201","770313202","770313204","770313203","770313201"
"770313305","770313301","770313302","770313304","770313303","770313301"
"770313405","770313401","770313402","770313404","770313403","770313401"
"770313505","770313501","770313502","770313504","770313503","770313501"
"770313605","770313601","770313602","770313604","770313603","770313601"
"0","770320101","0","0","0","770320101"
"0","770320201","0","0","0","770320201"
"0","770320301","0","0","0","770320301"
"0","770320401","0","0","0","770320401"
"0","770320501","0","0","0","770320501"
"0","770320601","0","0","0","770320601"
"770320705","770320701","770320702","770320704","770320703","770320701"
"770320805","770320801","770320802","770320804","770320803","770320801"
"770320905","770320901","770320902","770320904","770320903","770320901"
"770321005","770321001","770321002","770321004","770321003","770321001"
"770321105","770321101","770321102","770321104","770321103","770321101"
"770321205","770321201","770321202","770321204","770321203","770321201"
"0","770330101","770330103","0","770330101","770330102"
"0","770330201","770330204","770330201","770330203","770330202"
"0","770330301","770330306","770330307","770330301","770330305"
"770330403","770330401","770330405","770330401","770330404","770330402"
"770330501","770330501","770330502","770330504","770330505","770330503"
"0","770330601","770330603","0","770330601","770330602"
"0","770330701","770330704","770330701","770330703","770330702"
"0","770330801","770330806","770330807","770330801","770330805"
"770330903","770330901","770330905","770330901","770330904","770330902"
"770331001","770331001","770331002","770331004","770331005","770331003"
"0","770331101","770331103","0","770331101","770331102"
"0","770331201","770331204","770331201","770331203","770331202"
"0","770331301","770331306","770331307","770331301","770331305"
"770331403","770331401","770331405","770331401","770331404","770331402"
"770331501","770331501","770331502","770331504","770331505","770331503"
"0","770331601","770331603","0","770331601","770331602"
"0","770331701","770331704","770331701","770331703","770331702"
"0","770331801","770331806","770331807","770331801","770331805"
"770331903","770331901","770331905","770331901","770331904","770331902"
"770332001","770332001","770332002","770332004","770332005","770332003"
"0","770410101","770410102","0","770410103","770410101"
"0","770410201","770410202","0","770410203","770410201"
"0","770410301","770410302","0","770410303","770410301"
"0","770410401","770410402","770410404","770410403","770410401"
"0","770410501","770410502","770410504","770410503","770410501"
"0","770410601","770410602","770410604","770410603","770410601"
"0","770410701","770410702","770410704","770410703","770410701"
"0","770410801","770410802","770410804","770410803","770410801"
"0","770410901","770410902","770410904","770410903","770410901"
"0","770411001","770411002","770411004","770411003","770411001"
"0","770411101","770411102","770411104","770411103","770411101"
"0","770411201","770411202","770411204","770411203","770411201"
"770411305","770411301","770411302","770411304","770411303","770411301"
"770411405","770411401","770411402","770411404","770411403","770411401"
"770411505","770411501","770411502","770411504","770411503","770411501"
"770411605","770411601","770411602","770411604","770411603","770411601"
"770411705","770411701","770411702","770411704","770411703","770411701"
"770411805","770411801","770411802","770411804","770411803","770411801"
"770411905","770411901","770411902","770411904","770411903","770411901"
"770412005","770412001","770412002","770412004","770412003","770412001"
"770412105","770412101","770412102","770412104","770412103","770412101"
"770412205","770412201","770412202","770412204","770412203","770412201"
"770412305","770412301","770412302","770412304","770412303","770412301"
"770412405","770412401","770412402","770412404","770412403","770412401"
"770412505","770412501","770412502","770412504","770412503","770412501"
"770412605","770412601","770412602","770412604","770412603","770412601"
"770412705","770412701","770412702","770412704","770412703","770412701"
"770412805","770412801","770412802","770412804","770412803","770412801"
"770412905","770412901","770412902","770412904","770412903","770412901"
"770413005","770413001","770413002","770413004","770413003","770413001"
"770413105","770413101","770413102","770413104","770413103","770413101"
"770413205","770413201","770413202","770413204","770413203","770413201"
"770413305","770413301","770413302","770413304","770413303","770413301"
"770413405","770413401","770413402","770413404","770413403","770413401"
"770413505","770413501","770413502","770413504","770413503","770413501"
"770413605","770413601","770413602","770413604","770413603","770413601"
"0","770420101","0","0","0","770420101"
"0","770420201","0","0","0","770420201"
"0","770420301","0","0","0","770420301"
"0","770420401","0","0","0","770420401"
"0","770420501","0","0","0","770420501"
"0","770420601","0","0","0","770420601"
"770420705","770420701","770420702","770420704","770420703","770420701"
"770420805","770420801","770420802","770420804","770420803","770420801"
"770420905","770420901","770420902","770420904","770420903","770420901"
"770421005","770421001","770421002","770421004","770421003","770421001"
"770421105","770421101","770421102","770421104","770421103","770421101"
"770421205","770421201","770421202","770421204","770421203","770421201"
"0","770421301","770421301","0","0","770421305"
"0","770421401","770421401","0","0","770421403"
"0","770510101","770510102","0","770510103","770510101"
"0","770510201","770510202","0","770510203","770510201"
"0","770510301","770510302","0","770510303","770510301"
"0","770510401","770510402","770510404","770510403","770510401"
"0","770510501","770510502","770510504","770510503","770510501"
"0","770510601","770510602","770510604","770510603","770510601"
"0","770510701","770510702","770510704","770510703","770510701"
"0","770510801","770510802","770510804","770510803","770510801"
"0","770510901","770510902","770510904","770510903","770510901"
"0","770511001","770511002","770511004","770511003","770511001"
"0","770511101","770511102","770511104","770511103","770511101"
"0","770511201","770511202","770511204","770511203","770511201"
"770511305","770511301","770511302","770511304","770511303","770511301"
"770511405","770511401","770511402","770511404","770511403","770511401"
"770511505","770511501","770511502","770511504","770511503","770511501"
"770511605","770511601","770511602","770511604","770511603","770511601"
"770511705","770511701","770511702","770511704","770511703","770511701"
"770511805","770511801","770511802","770511804","770511803","770511801"
"770511905","770511901","770511902","770511904","770511903","770511901"
"770512005","770512001","770512002","770512004","770512003","770512001"
"770512105","770512101","770512102","770512104","770512103","770512101"
"770512205","770512201","770512202","770512204","770512203","770512201"
"770512305","770512301","770512302","770512304","770512303","770512301"
"770512405","770512401","770512402","770512404","770512403","770512401"
"770512505","770512501","770512502","770512504","770512503","770512501"
"770512605","770512601","770512602","770512604","770512603","770512601"
"770512705","770512701","770512702","770512704","770512703","770512701"
"770512805","770512801","770512802","770512804","770512803","770512801"
"770512905","770512901","770512902","770512904","770512903","770512901"
"770513005","770513001","770513002","770513004","770513003","770513001"
"770513105","770513101","770513102","770513104","770513103","770513101"
"770513205","770513201","770513202","770513204","770513203","770513201"
"770513305","770513301","770513302","770513304","770513303","770513301"
"770513405","770513401","770513402","770513404","770513403","770513401"
"770513505","770513501","770513502","770513504","770513503","770513501"
"770513605","770513601","770513602","770513604","770513603","770513601"
"0","770520101","0","0","0","770520101"
"0","770520201","0","0","0","770520201"
"0","770520301","0","0","0","770520301"
"0","770520401","0","0","0","770520401"
"0","770520501","0","0","0","770520501"
"0","770520601","0","0","0","770520601"
"770520705","770520701","770520702","770520704","770520703","770520701"
"770520805","770520801","770520802","770520804","770520803","770520801"
"770520905","770520901","770520902","770520904","770520903","770520901"
"770521005","770521001","770521002","770521004","770521003","770521001"
"770521105","770521101","770521102","770521104","770521103","770521101"
"770521205","770521201","770521202","770521204","770521203","770521201"
"0","770521301","770521301","0","0","770521305"
"0","770521401","770521401","0","0","770521403"
"0","770530101","0","0","0","770530101"
"770530201","770530201","770530203","770530205","770530204","770530202"
"0","770530301","0","0","0","770530301"
"0","770530401","0","0","0","770530401"
"0","770530501","0","0","0","770530501"
"0","770530601","0","0","0","770530601"
"770530701","770530701","770530703","770530705","770530704","770530702"
"0","770530801","0","0","0","770530801"
"0","770530901","0","0","0","770530901"
"0","770531001","0","0","0","770531001"
"0","770531101","0","0","0","770531101"
"770531201","770531201","770531203","770531205","770531204","770531202"
"0","770531301","0","0","0","770531301"
"0","770531401","0","0","0","770531401"
"0","770531501","0","0","0","770531501"
"0","770531601","0","0","0","770531601"
"770531701","770531701","770531703","770531705","770531704","770531702"
"0","770531801","0","0","0","770531801"
"0","770531901","0","0","0","770531901"
"0","770532001","0","0","0","770532001"
