a9e3511f62504dee5e17c095066ed735457d40e701c90c6a705cd2e1ee5117f9,dd8710878833c54ef52de32147f40a72fde9966ac6ebf3a9d3b976443042d67b,84954fa73d673914a832db024baaf4c94c949a99169b230c6e50edeee213732d,f4ebafbdc253259a6e7285e917532d5a461d15407e9ec737253236536359956d,feec7bf0f73f3b19487e8ab0ce44cce6fb90378fa4a34336bfc7fe3913abad23,3236534485f85938636da389f2a87ae38a2ebf9c5013c2bf506173826f3f228d,c2ad364bf9c27a74f7b6cc21f5c97f7e79a0993a1e69a39746de04d05adb7f58,75065995db9554c345fda251f9f878499380110758d2f651c6a5b23068cf5e97,a8a996b0e964f5599285c0c72306e66daa8dabefbf575cd049c4a3f9e416baa9,48842b02976dd836ddf98e93753d9a5d6d539a972674762103951f4ae4da13eb,37638b0dd756bc1d5d890b4b63900e010916015ffca07f57e30ba80a96d73adb,962ae8bfcd96564f620cba79f3ed16d3fd2c5032eaff045f9a7816495c458cbc,fd0126a29005241c0aae8e2dbcd220c54ce9ff7874a5dc59d0d1eee6350a927a,30d984d59fc169ccd5c257d1d215c1ef7a044955cbeeb136602c18061d5c8715,8ee7c4ebf9aaae6d9f55589f9d963b6bf1931a7a5a89532ca6afcf97e4de5e10,f78718f014b3a523ea023fe646e00d8d2f8fb3b7848789a8e4e3bd8125e71d34,582d17c8a7ec24a5637cef64077b1ab755dcd0fa145f88de05b28727a6ccf1f7,fc70ef54208fd7ea72f6db1974a03c69dcc492c0c3bc3b48141e9bbbb264755f,4484362d6a887bd084f50c21a03dc88516b8702ca279d6f545bd2e12f8b2e7ae,df605c30697ff8e0197b3f49fa6f475677cb7de43cf7d9d8d0c8b875f5a64a07,bb79a33e1fd441b3d1927fdc835e072f381e8707b1b38b1076b9fe70ebd8b264,604282b05044024fc41e7153d5469cbf4b636ccc37c8f243771bf7457cfb983a,e4a8de6090573b0924c9ab489ce4f1c3986e4948fe25e20039f5080f03a53524,ea90afd4c38d9e99e6841bfeae993024a181489fa8a867fdb127da810f9f4aa6,b2cda13704c0eed5be12d1b7d950da09d5dc0308ff2730012bb7c3a8d942d138,82d3075e1d845e4e531050963db386307ef134026bccde34d60c2cdf3e910b75,202f66750065a0451cf00ecba6a73db8a33f65fa5a114c15d35af18074decb94,9138ad8ea3118244df58eea1125a6886992e28fed5aa6645ba53e1ec701276fb,56cc56c413f0e4c71d2a429b6337d9f392770d18ed7ceacba106e990cbbc95a6,b1cc78011b6cca0630af1cafed3c0aa7acb9e53618a2051c0be09e668830bad7,5d4c9ce9ebbcdc1d851b68fef195174c3d2690d0d0896c6717cee718259ea165,49af9147d4d3867ec63223b8a94e1558144cbae21124425bdab92d93bb72ab73,a1993a52f46a629a8bd32e4724bff428acf78f277238d0adc8a9578619cffe63,3d1e299a517e00e7390a819d90ebb842a58dd1125c1ac591d704874960b6e80c,16f37a3fcdcd2c24362fb5d875685a908801fbc9c3c78ecbb83c72544f1e22e3,d8ae98947db1a68739dd2539d4ddc5733690325154fcb3fc41428e3cad9c6eb7,7f95212fbe9f8159bf2f6b41ea3af4bbe911e67e15b89730f084e7d6f657f291,7af151b8c6686ad5fcc267cc1df11a08a73ea4f7d8f2b17cf1c905c3719d46d8,f0474ba6dec226de152ffc40d967032f806bd70acd2477391e569d5d3a9dea6a,eafa8a46e0afdedea8281dd4d18ca5166fb9a2aff2e21c2946b63436753646ef
"1","0","10","0","1","1","200000006","1","1","1","30","1","1","4","24","0","1","3","1","1","0","10","1","1","0","0","1","0","0","200100","1","0","1","1","1","0","620010001","329","1","1"
"2","0","10","0","2","2","200000006","2","2","2","30","1","1","9","28","0","2","3","2","2","0","10","2","2","0","0","2","0","0","200100","2","0","2","2","2","0","620010002","338","2","1"
"3","0","10","0","3","3","200000006","3","3","3","30","1","1","5","32","0","3","4","3","3","0","10","3","3","0","0","3","0","0","200100","3","0","3","3","3","0","620010003","347","3","1"
"4","0","10","0","4","4","200000006","4","4","4","30","1","1","5","32","0","4","4","4","4","0","10","4","4","0","0","4","0","0","200100","4","0","4","4","4","0","620010004","347","4","1"
"5","0","10","0","5","5","200000006","5","5","5","30","1","1","5","35","0","5","4","5","5","0","10","5","5","0","0","5","0","0","200100","5","0","5","5","5","0","620010005","349","5","1"
"6","0","10","0","6","6","200000006","6","6","6","30","1","1","7","48","0","6","6","6","6","0","10","6","6","0","0","6","0","0","200100","6","0","6","6","6","0","620010006","367","6","1"
"7","0","10","0","7","7","200000006","7","7","7","30","1","1","8","55","0","7","7","7","7","0","10","7","7","0","0","7","0","0","200100","7","0","7","7","7","0","620010007","413","7","1"
"8","0","10","0","8","8","200000006","8","8","8","30","1","1","9","62","0","8","7","8","8","0","10","8","8","0","0","8","0","0","200100","8","0","8","8","8","0","620010008","459","8","1"
"9","0","10","0","9","9","200000006","9","9","9","30","1","1","9","68","0","9","8","9","9","0","10","9","9","0","0","9","0","0","200100","9","0","9","9","9","0","620010009","505","9","1"
"10","0","10","0","10","10","200000006","10","10","10","30","1","1","10","75","0","10","9","10","10","0","10","10","10","0","0","10","0","0","200100","10","0","10","10","10","0","620010010","551","10","1"
"11","0","10","0","11","11","200000006","11","11","11","30","1","1","11","82","0","11","9","11","11","0","10","11","11","0","0","11","0","0","200100","11","0","11","11","11","0","620010011","598","11","1"
"12","0","10","0","12","12","200000006","12","12","12","30","1","1","12","89","0","12","10","12","12","0","10","12","12","0","0","12","0","0","200100","12","0","12","12","12","0","620010012","644","12","1"
"13","0","10","0","13","13","200000006","13","13","13","30","1","1","12","95","0","13","11","13","13","0","10","13","13","0","0","13","0","0","200100","13","0","13","13","13","0","620010013","690","13","1"
"14","0","10","0","14","14","200000006","14","14","14","30","1","1","13","102","0","14","11","14","14","0","10","14","14","0","0","14","0","0","200100","14","0","14","14","14","0","620010014","736","14","1"
"15","0","10","0","15","15","200000006","15","15","15","30","1","1","14","109","0","15","12","15","15","0","10","15","15","0","0","15","0","0","200100","15","0","15","15","15","0","620010015","782","15","1"
"16","0","10","0","16","16","200000006","16","16","16","30","1","1","15","123","0","16","12","16","16","0","10","16","16","0","0","16","0","0","200100","16","0","16","16","16","0","620010016","851","16","1"
"17","0","10","0","17","17","200000006","17","17","17","30","1","1","15","136","0","17","12","17","17","0","10","17","17","0","0","17","0","0","200100","17","0","17","17","17","0","620010017","919","17","1"
"18","0","10","0","18","18","200000006","18","18","18","30","1","1","15","164","0","18","13","18","18","0","10","18","18","0","0","18","0","0","200100","18","0","18","18","18","0","620010018","1296","18","1"
"19","0","10","0","19","19","200000006","19","19","19","30","1","1","15","177","0","19","13","19","19","0","10","19","19","0","0","19","0","0","200100","19","0","19","19","19","0","620010019","1482","19","1"
