680f12502a9e6bc81363e10dbb816e6869f22b00522436304242ef4fe1ee8437,4284db479f01563996d460e8571735b6aff03f929ebf3b119846be980abe0bd5,538d63f564392ba0dc58b04b0f78c2e1108044ae644c62da8def32eae5c8dcb1,4e1e85013610d9feb0b248416639e43a3bb1535b51ba3addbc605191d8efaad3
"1","ＨＰ","1","10000"
"1","物理攻撃力","2","10000"
"1","物理防御力","3","10000"
"1","魔法攻撃力","4","10000"
"1","魔法防御力","5","10000"
"1","物理クリティカル","6","10000"
"1","魔法クリティカル","7","10000"
"0","回避","8","1"
"0","ＨＰ吸収","9","1"
"0","ＨＰ自動回復","10","1"
"0","ＴＰ自動回復","11","1"
"0","物理貫通ダメージ","12","1"
"0","魔法貫通ダメージ","13","1"
"0","ＴＰ上昇","14","1"
"0","回復量上昇","15","1"
"0","ＴＰ消費軽減","16","1"
"0","命中","17","1"
"1","物理クリティカルダメージ","100","100"
"1","魔法クリティカルダメージ","101","100"
"1","物理与ダメージ","102","100"
"1","魔法与ダメージ","103","100"
"1","属性ボーナス","104","10000"
