040e3efebf2d19109f609323b724ecbc5ecaf2cd32a7c0faaad4d918d13e0e85,bf87462a5540fcd4723354266fe831e74f080d01a62f842b6fc820e5f594939f,c4e7a8897951ea98452f86347a37fe8484cacdf8e74276e5006fa3c68630b38c,87547b665f5bd644215b1849418c215869f5ce8b54fed66c04a3ec805774dfeb,b175cdc1328f7ade6127c271f6549c469019a8370a6d8a91f5eb73fb5ec38af0,721da82d548d44d37daf9756098d5cbb0a3e51832c4e7bf0628a37939d71704b,47204249f1c7de2cbc6904ecb019c5eb6b6674a70ec8837ea9f24d56cca3a7e6,28dbf21227a7b3cc8b9532d633ea2ea4694530f7d552346a2e03ed6ebb2c1965,e5a6d720a4357acc507edc20339ff05b020c48809d55c699b1ffc43b480bf981,c1464878841410999c2710f43825c3eb0b7552ae7f320282b5ef7cd4efeae7c0,956a3c2b1599b4c2e80a6aabd9fa1332e56968831c1b9e890be45014f233ddd8,59f4b04b8220b601f43e7cf49a34375582b7293fee10837222707afe3f9ddf95,fa1ff84ff5040389eed3dbe44f8219eacb409758d4d123185f93289ce1565ff4,7d1c73a607b01308012f68819ea5bba299edcd78f8df7e4ee919ac4f1d213c63,5959e82712d1cf8e193eae72820d67a1ac9bb34d3c793fec8768f22c2512e06f,217b8a99fa4d24a1f64c468d64120ee93c10351fd0dddebd02808f89c738f9a8,5dd811d74807c671d655433f7ea4b86c076c03bb99cabee34072abbbe276663a,7f2c53411e9d31eb41548c4dccbf4685f74eae127e3743273cfe24318292d581
"10","8","1","1","0","0","0","0","0","0","0","0","0","91002","50","0","0","0"
"100","8","11","2","0","0","0","0","0","0","0","0","0","91002","10","0","0","0"
"200","8","101","3","0","0","0","0","0","0","0","0","0","91002","5","0","0","0"
"500","8","201","4","0","0","0","0","0","0","0","0","0","91002","3","0","0","0"
"1000","8","501","5","0","0","0","0","0","0","0","0","0","91002","2","0","0","0"
"2000","8","1001","6","0","0","0","0","0","0","0","0","0","91002","2","0","0","0"
"3999","8","2001","7","0","0","0","0","0","0","0","0","0","91002","1","0","0","0"
"4000","8","4000","8","0","0","0","0","0","0","0","0","0","91002","50","0","0","0"
"4100","8","4100","9","0","0","0","0","0","0","0","0","0","91002","50","0","0","0"
"4200","8","4200","10","0","0","0","0","0","0","0","0","0","91002","50","0","0","0"
"4300","8","4300","11","0","0","0","0","0","0","0","0","0","91002","50","0","0","0"
"4400","8","4400","12","0","0","0","0","0","0","0","0","0","91002","50","0","0","0"
"4500","8","4500","13","0","0","0","0","0","0","0","0","0","91002","50","0","0","0"
"4600","8","4600","14","0","0","0","0","0","0","0","0","0","91002","50","0","0","0"
"4700","8","4700","15","0","0","0","0","0","0","0","0","0","91002","50","0","0","0"
"4800","8","4800","16","0","0","0","0","0","0","0","0","0","91002","50","0","0","0"
"4900","8","4900","17","0","0","0","0","0","0","0","0","0","91002","50","0","0","0"
"5000","8","5000","18","0","0","0","0","0","0","0","0","0","91002","50","0","0","0"
"5100","8","5100","19","0","0","0","0","0","0","0","0","0","91002","50","0","0","0"
"5200","8","5200","20","0","0","0","0","0","0","0","0","0","91002","50","0","0","0"
"5300","8","5300","21","0","0","0","0","0","0","0","0","0","91002","50","0","0","0"
"5400","8","5400","22","0","0","0","0","0","0","0","0","0","91002","50","0","0","0"
"5500","8","5500","23","0","0","0","0","0","0","0","0","0","91002","50","0","0","0"
"5600","8","5600","24","0","0","0","0","0","0","0","0","0","91002","50","0","0","0"
