6142e21b933216b29280a4770232ad6617f8519a1b0d047b2f2afd7ebeae647d,9f5fb0adcaabb82d7f575733333ce0460fcd5c36857a4603de379d8f938572e7,4694bc6be571fc071605f23af3e8c945b90b2162648c72ee82dda168d001be13,2b7902424e033f3e3623366e8b6f094bb279dbbedcf6d3e9c73c23c3eb4b6a7a,1aa06c84934e0fdf7ebab6f29cc04c14e38b9514c894e53dab8ada62273ac531,5c04265ce6e049865c6b7a36627b6846e887ccda14b6e2de5aff06e51b04d5d7
"11","2816","1","1","-1480","-1480"
"21","2816","1","1","-1302","-1400"
"31","2816","1","1","-1263","-1302"
"41","2816","1","1","-1224","-1263"
"51","2816","1","1","-1185","-1224"
"61","2816","1","1","-1146","-1185"
"71","2816","1","1","-1146","-1146"
"81","2816","1","1","-1146","-1146"
"91","2816","1","1","-1107","-1146"
"101","2816","1","1","-1068","-1107"
"111","2816","1","1","-1029","-1068"
"121","2816","1","1","-1029","-1029"
"131","2816","1","1","-1029","-1029"
"141","2816","1","1","-1029","-1029"
"151","2816","1","1","-988","-1029"
"161","2816","1","1","-947","-988"
"171","2816","1","1","-906","-947"
"181","2816","1","1","-865","-906"
"191","2816","1","1","-865","-865"
"201","2816","1","1","-865","-865"
"211","2816","1","1","-824","-865"
"221","2816","1","1","-783","-824"
"231","2816","1","1","-742","-783"
"241","2816","1","1","-701","-742"
"251","2816","1","1","-660","-701"
"261","2816","1","1","-619","-660"
"271","2816","1","1","-619","-619"
"281","2816","1","1","-619","-619"
"291","2816","1","1","-619","-619"
"301","2816","1","1","-578","-619"
"311","2816","1","1","-537","-578"
"321","2816","1","1","-496","-537"
"331","2816","1","1","-496","-496"
"341","2816","1","1","-496","-496"
"351","2816","1","1","-496","-496"
"361","2816","1","1","-455","-496"
"371","2816","1","1","-414","-455"
"381","2816","1","1","-373","-414"
"391","2816","1","1","-332","-373"
"401","2816","1","1","-332","-332"
"411","2816","1","1","-332","-332"
"421","2816","1","1","-200","-332"
"431","2816","2","2","-1181","-1246"
"441","2816","2","2","-1152","-1181"
"451","2816","2","2","-1152","-1152"
"461","2816","2","2","-1123","-1152"
"471","2816","2","2","-1094","-1123"
"481","2816","2","2","-1094","-1094"
"491","2816","2","2","-1065","-1094"
"501","2816","2","2","-1065","-1065"
"511","2816","2","2","-1036","-1065"
"521","2816","2","2","-1036","-1036"
"531","2816","2","2","-1007","-1036"
"541","2816","2","2","-978","-1007"
"551","2816","2","2","-978","-978"
"561","2816","2","2","-949","-978"
"571","2816","2","2","-920","-949"
"581","2816","2","2","-891","-920"
"591","2816","2","2","-862","-891"
"601","2816","2","2","-862","-862"
"611","2816","2","2","-862","-862"
"621","2816","2","2","-862","-862"
"631","2816","2","2","-833","-862"
"641","2816","2","2","-804","-833"
"651","2816","2","2","-775","-804"
"661","2816","2","2","-746","-775"
"671","2816","2","2","-717","-746"
"681","2816","2","2","-688","-717"
"691","2816","2","2","-659","-688"
"701","2816","2","2","-630","-659"
"711","2816","2","2","-601","-630"
"721","2816","2","2","-572","-601"
"731","2816","2","2","-543","-572"
"741","2816","2","2","-514","-543"
"751","2816","2","2","-449","-514"
"761","2816","3","2","-1153","-1226"
"771","2816","3","2","-1115","-1153"
"781","2816","3","2","-1115","-1115"
"791","2816","3","2","-1077","-1115"
"801","2816","3","2","-1077","-1077"
"811","2816","3","2","-1039","-1077"
"821","2816","3","2","-1001","-1039"
"831","2816","3","2","-1001","-1001"
