4582ec148251dfdf854344bd0df205fd3e31c699fa0a1be12c8267447aa03843,4a47257a8cd58eef51409f8722c0e3359ea4dc9aba6f4bd6329ced1b71eb1993,ef783e21d6c23d44d546e02aab89bf3009c9f4c7dcc1494d8004acac494655d8
"4","10074","10201"
"1","91101","10211"
"2","91101","10211"
"3","91101","10211"
"2","91101","10211101"
"3","91101","10211101"
"2","91101","10211201"
"3","91101","10211201"
"2","91101","10211501"
"3","91101","10211501"
"1","91201","10212"
"2","91201","10212"
"3","91201","10212"
"2","91201","10212101"
"3","91201","10212101"
"2","91201","10212201"
"3","91201","10212201"
"2","91201","10212501"
"3","91201","10212501"
"1","10216","10216"
"2","10216","10216"
"3","10216","10216"
"2","10216","10216101"
"3","10216","10216101"
"2","10216","10216201"
"3","10216","10216201"
"2","10216","10216501"
"3","10216","10216501"
