44d7b68732034036f7605adec96f1923c92efa337b2d9695d06a457b219b8479,d28060a5e0b4aec25738b8f730d29d74b302dfc0b21c0a98ad4dca647b77f510,c584af0c1995dfb963a81de675f6ffe4f0c57dcacf5a1ee87c1c1867c90764bd,d0e0eec22dbbfd13246c1a87043ff1984d937102aa40bc6792160e63a1c01bf7,f4a02b6d16a81a1b027f70ce84c49ddffa9b1154a8b0b264636e6fa79501852e
"81000104","bgm_M125","0","1","70"
"81000104","bgm_M125","0","2","110"
"81000104","bgm_M125","0","3","130"
"81000104","bgm_M125","0","4","150"
"81000104","bgm_M125","0","5","170"
"81000104","bgm_M125","0","6","190"
"81000104","bgm_M125","0","7","210"
"81000104","bgm_M125","0","8","230"
"81000104","bgm_M125","0","9","250"
"81000104","bgm_M125","0","10","270"
"81000104","bgm_M125","0","11","290"
"81000104","bgm_M125","0","12","310"
"81000104","bgm_M125","0","13","330"
"81000104","bgm_M125","73140350","14","350"
"81000104","bgm_M125","73150360","15","360"
"81000104","bgm_M125","73160370","16","370"
"81000104","bgm_M125","73170380","17","380"
"81000104","bgm_M125","73180390","18","390"
"81000104","bgm_M125","73190400","19","400"
"81000104","bgm_M125","73200410","20","410"
"81000104","bgm_M125","73210420","21","420"
"81000104","bgm_M125","73220430","22","430"
"81000104","bgm_M125","73230440","23","440"
"81000104","bgm_M125","73240450","24","450"
"81000104","bgm_M125","73250460","25","460"
"81000104","bgm_M125","73260470","26","470"
"81000104","bgm_M125","73270480","27","480"
"81000104","bgm_M125","73280490","28","490"
"81000104","bgm_M125","73290500","29","500"
"81000104","bgm_M125","73300510","30","510"
"81000104","bgm_M125","73310520","31","520"
"81000104","bgm_M125","73320530","32","530"
"81000104","bgm_M125","73330540","33","540"
"81000104","bgm_M125","73340550","34","550"
"81000104","bgm_M125","73350560","35","560"
"81000104","bgm_M125","73360570","36","570"
"81000104","bgm_M125","73370580","37","580"
"81000104","bgm_M125","73380590","38","590"
"81000104","bgm_M125","73390600","39","600"
"81000104","bgm_M125","73400610","40","610"
"81000104","bgm_M125","73410620","41","620"
"81000104","bgm_M125","73420630","42","630"
"81000104","bgm_M125","73430640","43","640"
"81000104","bgm_M125","73440650","44","650"
"81000104","bgm_M125","73450660","45","660"
"81000104","bgm_M125","73460670","46","670"
"81000104","bgm_M125","73470680","47","680"
"81000104","bgm_M125","73480690","48","690"
"81000104","bgm_M125","73490700","49","700"
"81000104","bgm_M125","73500710","50","710"
"81000104","bgm_M125","73510720","51","720"
"81000104","bgm_M125","73520730","52","730"
"81000104","bgm_M125","73530740","53","740"
"81000104","bgm_M125","73540750","54","750"
"81000104","bgm_M125","73550760","55","760"
"81000104","bgm_M125","73560770","56","770"
"81000104","bgm_M125","0","57","780"
