21255f6b629da18d7b2bf0935dd49a7f47ae7b9a6b7777764b6f6bf461bdd591,976bc8c14acbbd57b116715c0ec8bfef225ec4d38bd2a449bf3fac5588aaaaed,59788ec5cc6da2d7742698ecfa8ab33815431408855762bc6650cacb69bf2b90,ecda7fa3dc6bee92ed5eca005eb24e51f339fef06c3d1fc11be4966a6358dd88,0779382d9fed23ced8d4516d903223acedcf2d71c06ab9219f70835fa3f52aa2,0bcc99c07c73b2397db99bcecf9ad66490ce1e6f19e58bf74d2bf60076de5e68
"#76C5FD","#3F75C7","#2B5BAA","1","1","1"
"#FEAC7B","#BA5E36","#AA552B","2","3","2"
"#B3C0DF","#616593","#64737E","3","6","4"
"#FFD200","#CC8200","#A37B10","4","10","7"
"#f374ff","#95289f","#7b318a","5","17","11"
"#ff5c77","#CE0030","#a60134","6","20","18"
"#2db075","#31635c","#2c824e","7","23","21"
"#ffae00","#cc2200","#b6401f","8","27","24"
"#6EB6C4","#027FE9","#0082E4","9","31","28"
"#ffb193","#f2523d","#ea6363","10","39","32"
"#c0d400","#606820","#8c941a","11","50","40"
