d2eb824018c48209c79266874a2328955f75d5eff95bf7ecf0a7962e67f84e1b,dc2ed1b2c4d3a0303291f1f72f32c7554430a54a1124d2bf743a7a1d6ad1e718,d17e5502b30c1289338231119d9d5da06d1ab9546924ce812975864d34d6fba9,5249527ca9e7c59d432a2b26ee7a725a7aa59c68ab639386cd00e84cc32d8600,6d07ebdfc8b5b637ada7122c9dc1365199555f008595b6d66556bdf30e113ad6,b6e2cbdf4be9ddb845bc86419889d022a1f155c9da7c3d37ae92ca6cd35225c4,6fd0d04d5ee43d88a70bd5d796ab88e11d9bfe8cb10a114a4908b9aba3cfebe9,a96c616845ac7c02d4e0939291e95472cac13198e690ef1ce0e205a41b35f936,0aeb643621551558af851c3646afb35040331e20fa089604508c6192590d6029,16d7a5586322a9ad1196c9de32053081341a217cda8fd67f6e383dfaa79a74dd
"75000001","102231","-100","0","記憶領域1層","bgm_M301","1","bgm_M301","102231","0"
"75000002","81002102","0","0","記憶領域2層","bgm_M248_02","1","bgm_M248","81002102","0"
"75000003","102241","-100","0","記憶領域3層","bgm_M301","1","bgm_M301","102241","0"
"75000004","81002502","0","0","記憶領域4層","bgm_M268","1","bgm_M268","81002502","0"
"75000005","102881","-100","0","記憶領域5層","bgm_M502","1","bgm_M502","102881","0"
"75000006","81004602","0","0","記憶領域6層","bgm_M397","1","bgm_M397","81004602","0"
"75000007","102871","-100","0","記憶領域7層","bgm_M503","1","bgm_M503","102871","0"
"75000008","81009002","0","0","記憶領域8層","bgm_M577","1","bgm_M577","81009002","0"
"75000009","102251","-100","0","記憶領域9層","bgm_M301","1","bgm_M301","102251","0"
"75000010","102861","-100","0","記憶領域10層","bgm_M505","1","bgm_M505","102861","0"
"75000011","81010002","0","0","記憶領域11層","bgm_M621","1","bgm_M621","81010002","0"
"75000012","81000605","-100","0","記憶領域12層","bgm_M504","1","bgm_M504","81000605","0"
