e5dd6d28fe41d04093a9f1966cd89552d461ac30b2b327c6fb27c3eee12c5bdb,4d71f942c59a19f73990c08cf70f06ab235f4ca248edbf0526152f13dfe6f4da,113afab25a4ca7a2e10f7e30f45f7d8d14506ad2094ef4d2be4c7cad6897fbc0,c18a8aa7f6b8b28b546c213dd79356db79b3b0ba1d1eb26404fd0496850c8119,7998b77274a4529405ddfc69b691a5629f780622c761cb18e7b350597500d372,b3d0aca1daff61815dc6723f821c8570091ba8631cf0b9cb0d7a709f390b4dc8,6229f80b7b442e1234bfef39f9f53d542982868fc94c2a3eb3936fbeaeb4f5d2,95352561292550e1977fb3f5895223005a353d7fd2f7f2d306bf6b2f4aeb18c1,6eea71abf3725c1951d44f1e21aa1ac5e1053c4cfcda0bf12b5193ac31c42350,8efa6a0fbf17ebdff1e641f69f99cc132ec8c7b8820d55075fcabad74bfe6566,ebcdd9d19fd1e0b6e2955b3fcee408b87b21e1523f4c0a7e927dec7fee493d57,a493c5eddffee0a2355f8d3e82656e31999110c44d4bd3e0202cee526aef578d,065cd4476f0cd89f2020dc51a4420ec9e9f8f01b1fe9ee3e1ccdffaf545bfbd5,624d2605b1d234623722050f28709493d6dc4e00651075ab08c8aac179fd6404,1f934fffa0ad0e3c95454d228267b639f1086a07b7ea1ba91ce933c66757d765,16e6b20ed9c65cb027932265a8a8fa84b1cf5881a2129d90bf5b5ff98cf8ea7d,0a94ddabf2107a5859152e43d407c1b643d0b7665d89d5bc0d26697fc729e96e,9f6c4ba06ab9c1936e21c61d22db82247c13dda8b061f74b8e3c49c66cb8de19
"150","5","22003","8","94002","0","12","2","5","20003","0","91002","1","20","1","0","2","150000"
"145","9","22003","8","94002","0","12","2","2","20003","0","91002","2","15","6","0","2","100000"
"140","19","22002","8","94002","0","12","2","5","20003","0","91002","3","11","10","0","2","80000"
"130","29","22002","8","94002","0","12","2","5","20003","0","91002","4","10","20","0","2","80000"
"120","39","22002","8","94002","0","12","2","4","20003","0","91002","5","9","30","0","2","70000"
"110","49","22002","8","94002","0","12","2","4","20003","0","91002","6","8","40","0","2","70000"
"100","99","22002","8","94002","0","12","2","3","20003","0","91002","7","7","50","0","2","60000"
"80","499","22002","8","94002","0","12","2","2","20003","0","91002","8","2","100","0","2","40000"
"50","999","22002","8","94002","0","12","2","1","20002","0","91002","9","7","500","0","2","20000"
"20","4999","22001","8","94002","0","12","2","3","20002","0","91002","10","4","1000","0","2","16000"
"15","9999","22001","8","94002","0","12","2","2","20002","0","91002","11","3","5000","0","2","9000"
"10","11999","22001","8","94002","0","12","2","1","20001","0","91002","12","8","10000","0","2","4000"
"5","13999","22001","8","94002","0","12","2","1","20001","0","91002","13","7","12000","0","2","3000"
"4","14999","22001","8","94002","0","12","2","1","20001","0","91002","14","6","14000","0","2","2000"
"3","30000","22001","8","94002","0","12","2","1","20001","0","91002","15","5","15000","0","2","1800"
