77764d00577c7c8e09b2291c0a891db8675d57e000433859d8f3619e7290035c,c7860c8f922e360bc1fa6265a4391b11cebf6d8525cf41c196f54746fc66156b,192e10665820666e1cb2cc1e7b65c6874e4e191fa5f136b7bdca06f97c5f8e67,9bb7138835ce42a596d86702f66ff05f051dea2aad6dbebdf3041506ac6af5a8,023d1d12a8da0eec350ce8ac27c7bc0f2d8d0ad6b60c785be7076be85b9797ba,d634aba226c12dbf3827d7b0651f6f6e302a5e3d5f91ce00bb9995a0025151db,7dde82b8e470c420bb438c08b5c5644d83b7a4f17568c4a9797a6efd5ed60376,089895d3cc3d0576c4f2ddfdacff0779f4076dbc2d9c60ad7f2401ecab419a5a,0078dc0613d7b61213d36a443e4a26a785cda9041bff78a14ffa4c8293b1878a,cea56815fa9b251786149731bf02d9ff1b3f776230db5eef3385c715ac6c8784,393f3f8468e0a9e1419695340311e1fad1f1d4c472f9f74ea8713e85febeb40a
"100","0","1007001","svd_idle_normal","2.08","113511","-300","-750","2","5","1007001001"
"100","1","1007001","svd_idle_normal","2.08","113411","-300","750","1","5","1007001002"
"0","0","1007001","svd_white_loop","1","333","0","0","3","5","1007001003"
"1","0","1007001","","0","1","0","1","333","6","1007001004"
"0","","1007001","","","2","","0","113511","7","1007001005"
"-300","","1007001","","","-750","0","0.5","113511","2","1007001006"
"1","0","1007001","","0","1","0","1","113411","6","1007001007"
"-140","","1007001","","0","11","0.8","-40","1","31","1007001008"
"0","","1007001","","","2","","0","11","34","1007001009"
"0","","1007001","","","6","","0","113411","7","1007001010"
"-300","","1007001","","","750","0","0.5","113411","2","1007001011"
"-250","","1007001","","0","14","1","-40","4","31","1007001012"
"250","","1007001","","0","15","1","-40","5","31","1007001013"
"","","1007001","","","","","","1","93","1007001014"
"1","0","1007001","","0.8","1","0.4","1","333","6","1007001015"
"0","0","1007001","","0.2","svd_idle_see_pre","1","svd_idle_see","113511","3","1007001016"
"-300","","1007001","","","640","0","1.1","113411","2","1007001017"
"-300","","1007001","","","-600","0","1.1","113511","2","1007001018"
"","","1007001","","","","","","1","93","1007001019"
"","","1007001","","","1","","","11","32","1007001020"
"","","1007001","","","","","","0","91","1007001021"
"260","","1007001","","","240","80","0","113511","94","1007001022"
"","","1007001","","","0","","","11","32","1007001023"
"1","","1007001","","0.2","svd_run","","","113511","3","1007001024"
"1.2","","1007001","","","0","","0","113511","7","1007001025"
"-300","","1007001","","","-250","0","1.2","113511","2","1007001026"
"1","","1007001","","0.2","svd_run","","","113411","3","1007001027"
"1.2","","1007001","","","0","","0","113411","7","1007001028"
"-300","","1007001","","","250","0","1.2","113411","2","1007001029"
"1","0","1007001","","0.2","1","1","1","113411","6","1007001030"
"","","1007001","","","","","","1.2","93","1007001031"
"","","1007001","","","","","","0","91","1007001032"
"0","","1007001","","0.2","svd_kime_eriko","","","113511","3","1007001033"
"0","","1007001","","0.2","svd_kime_shizuru","","","113411","3","1007001034"
"","","1007001","","","","","","1.4","93","1007001035"
"","","1007001","","","1","","","14","32","1007001036"
"","","1007001","","","1","","","15","32","1007001037"
"","","1007001","","","","","","0.6","93","1007001038"
"1","","1007001","","0.2","svd_idle_joy1","","","113411","3","1007001039"
"1","","1007001","","0.2","svd_talk_wish","","","113511","3","1007001040"
"0","","1007001","","","vo_svd_0121","","0","vo_svd","21","1007001041"
"6","0","1007001","1","0","あなた様のため…必ずや\n忘れられない最高の夏休みを\nお贈りいたしますわ…","0","0","113511","11","1007001042"
"","","1007001","","","","","","0","91","1007001043"
"1","","1007001","","0.2","svd_idle_wish","","","113511","3","1007001044"
"1","","1007001","","0.2","svd_talk_joy1","","","113411","3","1007001045"
"0","","1007001","","","vo_svd_0122","","0","vo_svd","21","1007001046"
"8","0","1007001","1","0","夏が来たら私たちのことを\n思い出しちゃうすっごい\nプロデュースをしちゃおうね！","0","0","113411","11","1007001047"
"","","1007001","","","","","","0","91","1007001048"
"1","","1007001","","0.2","svd_idle_joy1","","","113411","3","1007001049"
"1","","1007001","","0.2","svd_talk_thinking","","","113511","3","1007001050"
"0","","1007001","","","vo_svd_0123","","0","vo_svd","21","1007001051"
"6","0","1007001","1","0","はて…？　私は来年の夏も\n一緒に過ごすので思い出して\nいただく必要はないのですが…","0","0","113511","11","1007001052"
"","","1007001","","","","","","0","91","1007001053"
"1","","1007001","","0.2","svd_idle_thinking","","","113511","3","1007001054"
"0","0.2","1007001","","0.2","svd_surprise","1","svd_talk_anger","113411","3","1007001055"
"0","","1007001","","","vo_svd_0124","","0","vo_svd","21","1007001056"
"8","0","1007001","1","0","あ！　ズルいよエリコちゃん！\nお姉ちゃんだってずっとずっと\n永遠に一緒だよ！","0","0","113411","11","1007001057"
"","","1007001","","","","","","3","93","1007001058"
"0","0.4","1007001","","0.2","svd_jump","1","svd_talk_joy1","113411","3","1007001059"
"","","1007001","","","","","","1007001057","91","1007001060"
"1","","1007001","","0.2","svd_idle_joy1","","","113411","3","1007001061"
"","","1007001","","","","","","","102","1007001062"
"","","1007001","","","0","","","14","32","1007001063"
"","","1007001","","","0","","","15","32","1007001064"
"","","1007001","","","","","","1","93","1007001065"
"1","0","1007001","","0","7","","","113511","12","1007001066"
"1","","1007001","","0.2","svd_talk_normal","","","113511","3","1007001067"
"","","1007001","","","","","","3","93","1007001068"
"1","","1007001","","0.2","svd_idle_normal","","","113511","3","1007001069"
"1","0","1007001","","0","10","","","113411","12","1007001070"
"1","","1007001","","0.2","svd_talk_normal","1","","113411","3","1007001071"
"","","1007001","","","","","","3","93","1007001072"
"1","","1007001","","0.2","svd_idle_normal","1","","113411","3","1007001073"
"1","0","1007001","","0","7","","","113511","12","1007001074"
"1","","1007001","","0.2","svd_talk_memory","","","113511","3","1007001075"
"","","1007001","","","","","","3","93","1007001076"
"1","","1007001","","0.2","svd_idle_memory","","","113511","3","1007001077"
"1","0","1007001","","0","10","","","113411","12","1007001078"
"1","","1007001","","0.2","svd_talk_memory","1","","113411","3","1007001079"
"","","1007001","","","","","","3","93","1007001080"
"1","","1007001","","0.2","svd_idle_memory","1","","113411","3","1007001081"
"","","1007001","","","","","","1007001066","101","1007001082"
"1","0","1007001","","1","1","0","1","333","6","1007001083"
"","","1007001","","","1","","","113511","4","1007001084"
