d3a236a17bc8f4e01dfdbcbe0f3c9a3e54497e7cb9ecc2d071d04c8b8d4c5362,60a9764273e7380e278887cf33206553db0f640f576fda9cc68c9a1904f363f8,9fabfcad0d6af21470054484d291f84539b9b0375fde61830050030fafc92e88,4f151cd03cadd4c3bcdbaa65a4fbab88b66d9c9d61740453e9537d9f2da6dc35,d78721d6cdc5d32e2217a8c7644dbe2cb4aa55cb3db6b77601e3db189a309348
"1","bgm_M125","0","81000104","70"
"2","bgm_M125","0","81000104","110"
"3","bgm_M125","0","81000104","130"
"4","bgm_M125","0","81000104","150"
"5","bgm_M125","0","81000104","170"
"6","bgm_M125","0","81000104","190"
"7","bgm_M125","0","81000104","210"
"8","bgm_M125","0","81000104","230"
"9","bgm_M125","0","81000104","250"
"10","bgm_M125","0","81000104","270"
"11","bgm_M125","0","81000104","290"
"12","bgm_M125","0","81000104","310"
"13","bgm_M125","0","81000104","330"
"14","bgm_M125","73140350","81000104","350"
"15","bgm_M125","73150360","81000104","360"
"16","bgm_M125","73160370","81000104","370"
"17","bgm_M125","73170380","81000104","380"
"18","bgm_M125","73180390","81000104","390"
"19","bgm_M125","73190400","81000104","400"
"20","bgm_M125","73200410","81000104","410"
"21","bgm_M125","73210420","81000104","420"
"22","bgm_M125","73220430","81000104","430"
"23","bgm_M125","73230440","81000104","440"
"24","bgm_M125","73240450","81000104","450"
"25","bgm_M125","73250460","81000104","460"
"26","bgm_M125","73260470","81000104","470"
"27","bgm_M125","73270480","81000104","480"
"28","bgm_M125","73280490","81000104","490"
"29","bgm_M125","73290500","81000104","500"
"30","bgm_M125","73300510","81000104","510"
"31","bgm_M125","73310520","81000104","520"
"32","bgm_M125","73320530","81000104","530"
"33","bgm_M125","73330540","81000104","540"
"34","bgm_M125","73340550","81000104","550"
"35","bgm_M125","73350560","81000104","560"
"36","bgm_M125","73360570","81000104","570"
"37","bgm_M125","73370580","81000104","580"
"38","bgm_M125","73380590","81000104","590"
"39","bgm_M125","73390600","81000104","600"
"40","bgm_M125","73400610","81000104","610"
"41","bgm_M125","73410620","81000104","620"
"42","bgm_M125","73420630","81000104","630"
"43","bgm_M125","73430640","81000104","640"
"44","bgm_M125","73440650","81000104","650"
"45","bgm_M125","73450660","81000104","660"
"46","bgm_M125","73460670","81000104","670"
"47","bgm_M125","73470680","81000104","680"
"48","bgm_M125","73480690","81000104","690"
"49","bgm_M125","73490700","81000104","700"
"50","bgm_M125","73500710","81000104","710"
"51","bgm_M125","73510720","81000104","720"
"52","bgm_M125","73520730","81000104","730"
"53","bgm_M125","73530740","81000104","740"
"54","bgm_M125","73540750","81000104","750"
