cdbf15cdccc961cafe3cdcfac48b603667158f4ebb79233d466ea7500257e98d,b51ba1f0c4aaa316d69a1a32d59abbaff8099b8dfcac919c6cfe517859600dff,539e24921885ee88de5cc106bf352776c9be6e6691121df6d9e01b06aa2bb02c,90ebdea680c2d7ff4b823d44a4f3453f023bbcc7ca4f6f7f5b7f6eac57d0a0d6,19f90c192a6bf77d3e891684b1b1bd7bbbcda8e61a18a0ed5fa217200f97afde
"3030100","0","0","1","1"
"3050100","0","0","2","1"
"3040100","0","0","3","1"
"3020100","0","0","4","1"
"2040100","0","0","5","1"
"2040100","0","0","5","2"
"2020100","0","0","6","1"
"2020100","0","0","6","2"
"1030100","314","0","7","1"
"4030100","0","0","8","1"
"1050100","502","0","9","1"
"4020100","0","0","10","1"
"2030100","0","0","11","1"
"2030100","0","0","11","2"
"3040100","0","10301010","12","1"
"1020100","202","0","13","1"
"1040102","406","20201010","14","1"
"1010200","105","0","15","1"
"2010200","0","0","15","2"
"2010200","0","0","15","3"
"3050200","0","0","16","1"
"3040200","0","0","17","1"
"3020200","0","0","18","1"
"2040200","0","0","19","1"
"2040200","0","0","19","2"
"2020200","0","0","20","1"
"2020200","0","0","20","2"
"1030200","315","0","21","1"
"1020200","205","0","22","1"
"1050200","509","0","23","1"
"4020200","0","0","24","1"
"2030200","0","0","25","1"
"2030200","0","0","25","2"
"4030200","0","0","26","1"
"3020200","0","10101020","27","1"
"1040200","408","20201020","28","1"
"3040200","0","10101020","29","1"
"3010200","0","10101020","30","1"
"1010300","102","0","31","1"
"2010300","0","0","31","2"
"2010300","0","0","31","3"
"3050300","0","0","32","1"
"3040300","0","0","33","1"
"3020300","0","0","34","1"
"2040300","0","0","35","1"
"2040300","0","0","35","2"
"2020300","0","0","36","1"
"2020300","0","0","36","2"
"1030300","306","0","37","1"
"1020300","206","0","38","1"
"1050300","502","0","39","1"
"4020300","0","0","40","1"
"2030300","0","0","41","1"
"2030300","0","0","41","2"
"4030300","0","0","42","1"
"3020300","0","10101030","43","1"
"1040300","406","20201030","44","1"
"3010300","0","10101050","45","1"
"3040300","0","10101050","46","1"
"3030300","0","10101050","47","1"
"3010300","0","10101050","48","1"
"3020300","0","10101050","49","1"
"1010300","112","30102050","50","1"
