9fbf4ed1fb54228eee718601072b3b4d2f9ab9980701a6e698e15d8bf17e7511,111e683e337cc6202239e25651d43b759227180c428c2f9b8d6e06c41a324077,a9158afe605bc303e05f7c5895f8fcfefb6085eea6ac05d22a4deca62a660bd5,867d9693580107487e2c2d17e0d02d943911a762986649629f55b2d08a697e26,e06d285568dabd9ab52f3b6d9bb30b1314ff3500d0ef35df6e1dc398d4b7a277,fe715d25915f319b0778e3d75f8c03b1ac180525d4bbd83dcd3624526a00dd65,71fd726dcd7ba11dfc744941b6308d3ae35e6a7d789d340a8bc5121ee0cbc9ab,6266eeb0c842d9a3a1813e2dc00eac92937d467a5cde7a7e609539f60103a96e,1744557694b5d94a7497680527807d55cd4ea684dd5ce39d8fec8c3076fdb444,d4f60900f5fcf0cbfe855436045045abb272696765b829a45bd58dbb29d5b757,7baf0e34921a5fffdd01b9a4aac1d4b7a840a39f94d020c8c4eba2dfe6225a1b,bea5c246011d17bf37d4ba066859026147ee0f13c56f181ca6d52d55d88840f2
"4","0","1","0.8","0","515406201","0","0","0","0","5154062","1"
"2","vo_abd","0","0","0","515406202","vo_abd_0101","0","0","0","5154062","2"
"1","0","0","0","1","515406203","0","2","300","0","5154062","3"
"4","0","1","2.1","0","515406204","0","0","0","0","5154062","4"
"2","vo_abd","0","0","0","515406205","vo_abd_0102","0","0","0","5154062","5"
"1","0","0","0","2","515406206","0","2.05","400","0","5154062","6"
"4","0","1","3.2","0","515406207","0","0","0","0","5154062","7"
"2","vo_abd","0","0","0","515406208","vo_abd_0103","0","0","0","5154062","8"
"1","0","0","0","3","515406209","0","1","60","0","5154062","9"
"4","0","1","1.4","0","515406210","0","0","0","0","5154062","10"
"1","0","0","0","3","515406211","0","2.5","430","60","5154062","11"
"4","0","1","3.3","0","515406212","0","0","0","0","5154062","12"
"2","vo_abd","0","0","0","515406213","vo_abd_0104","0","0","0","5154062","13"
"1","0","0","0","4","515406214","0","0.2","27","0","5154062","14"
"4","0","1","0.5","0","515406215","0","0","0","0","5154062","15"
"1","0","0","0","4","515406216","0","0.2","60","27","5154062","16"
"4","0","1","0.6","0","515406217","0","0","0","0","5154062","17"
"1","0","0","0","4","515406218","0","0.8","145","60","5154062","18"
"4","0","1","1.2","0","515406219","0","0","0","0","5154062","19"
"1","0","0","0","4","515406220","0","1.8","400","145","5154062","20"
"4","0","1","2.2","0","515406221","0","0","0","0","5154062","21"
"2","vo_abd","0","0","0","515406222","vo_abd_0105","0","0","0","5154062","22"
"1","0","0","0","5","515406223","0","0.6","95","0","5154062","23"
"4","0","1","1","0","515406224","0","0","0","0","5154062","24"
"1","0","0","0","5","515406225","0","0.7","195","95","5154062","25"
"4","0","1","1.5","0","515406226","0","0","0","0","5154062","26"
"1","0","0","0","5","515406227","0","0.8","315","195","5154062","27"
"4","0","1","1","0","515406228","0","0","0","0","5154062","28"
"1","0","0","0","5","515406229","0","0.7","415","315","5154062","29"
"4","0","1","2","0","515406230","0","0","0","0","5154062","30"
"2","vo_abd","0","0","0","515406231","vo_abd_0106","0","0","0","5154062","31"
"1","0","0","0","6","515406232","0","1","160","0","5154062","32"
"4","0","1","1.3","0","515406233","0","0","0","0","5154062","33"
"1","0","0","0","6","515406234","0","1","415","160","5154062","34"
"4","0","1","2.3","0","515406235","0","0","0","0","5154062","35"
"2","vo_abd","0","0","0","515406236","vo_abd_0107","0","0","0","5154062","36"
"1","0","0","0","7","515406237","0","0.7","85","0","5154062","37"
"4","0","1","0.8","0","515406238","0","0","0","0","5154062","38"
"1","0","0","0","7","515406239","0","0.8","360","85","5154062","39"
"4","0","1","2","0","515406240","0","0","0","0","5154062","40"
"2","vo_abd","0","0","0","515406241","vo_abd_0108","0","0","0","5154062","41"
"1","0","0","0","8","515406242","0","2.63","415","0","5154062","42"
"4","0","1","2.63","0","515406243","0","0","0","0","5154062","43"
"2","vo_abd","0","0","0","515406244","vo_abd_0109","0","0","0","5154062","44"
"1","0","0","0","9","515406245","0","1","200","0","5154062","45"
"4","0","1","2","0","515406246","0","0","0","0","5154062","46"
"1","0","0","0","9","515406247","0","0.5","245","200","5154062","47"
"4","0","1","1.2","0","515406248","0","0","0","0","5154062","48"
"1","0","0","0","9","515406249","0","1.5","415","245","5154062","49"
"4","0","1","2.5","0","515406250","0","0","0","0","5154062","50"
"2","vo_abd","0","0","0","515406251","vo_abd_0110","0","0","0","5154062","51"
"1","0","0","0","10","515406252","0","0.2","35","0","5154062","52"
"4","0","1","0.6","0","515406253","0","0","0","0","5154062","53"
"1","0","0","0","10","515406254","0","1.3","400","35","5154062","54"
"4","0","1","2.3","0","515406255","0","0","0","0","5154062","55"
"2","vo_abd","0","0","0","515406256","vo_abd_0111","0","0","0","5154062","56"
"1","0","0","0","11","515406257","0","0.3","60","0","5154062","57"
"4","0","1","1.2","0","515406258","0","0","0","0","5154062","58"
