7bf6cd41f35b5e27458bb9a171b7fc2410cb56bce7cf27bbe3da6052f26d220e,f68d372f51630e2fff66d0687269b0c7f05d0ccf1a9787c5c678a8a5a347ccb5,f26c7949b215f9124d0b650a2d3653ec4531789743aa9f3a8d1a90e23af7acae,cde0cfe7e4404cba4d93af70437fa1c3842731cdc7d52ff5a3e9a8dc43b33117,0fbab6c9b0ae18627e68c28229a4e6033924edd8b05ce3fef8795de8168e006f,d6350f2ee663f66c8bede0c65359ced22122a982a502381308ede3cf6a5fc458,6fd92a972079683864c8d1d995bff9d77e4ac36bea6b91e0279a117af2af902f,25b631b7b8946f81e568403d14a5b90e1bb9119bdedc934606f252b03cc38a51,1e91f71fd14f5330842e2e1777d734ae73f22d7793e10ac8fdf95db9374f7356,64c46b29558d75bc9b91517d7ca8545cf360668f491bbc33453423be0aeb605f,de9d7b4c3f53d1fc4d82e218c87fa3cfb2a1b660b4ae98cddc886a71359e5e6d,3514b7bc8c7c1de2bf194d3692a81429b75e3a32391963c7553f0c26c0e743d6,3ac3c2f6ad633f89d242355093a935256ad2ab40c28a46f50705151751c83d82,30ec1eb4c15e89f2b136aa73c350e253d6501496c6eaf5f6c5528191523299b2,5de702dba60009f64dc9f035ca820965eb03a70914065ba8c51c73bdb373348d,d06072b1fe7b8b90fbc6e335972ad09dd3986099f766a4b7eca95c8e4ecf611a,72df0f93ff9a1b294c61f0118542ecf8f3b15ce74d6d0fbe4d48c646e50f1b64,7b9ed9bc68ff8d1ddadb49fa53446129a73e91ae1cc170139a0b6c72812e8c3e,4e87c514add3aa59abd6cb23ecfc84599e4f4a43fdad7cc698e460abe4a7dee8,0426226afec33ef26dbc07a6b8aaacc7e20d57cab69245fe790053852c66d5b4,dfb0e420fd5e2a495c75b9b50b411c9adc5f54c8903186acf81413c7232f16e6,ac432745cbee10c6b016221d9b119ac9703cf0a4564b32acaac957dc7919c930
"10010101","1","0","1","101001","-30","-120","210","0.7","1","1001","0","-30","250","-480","10","1","bgm_M64","1","0.8","0.6","101001"
"10010102","1","0","1","101001","-30","-120","200","1","2","1001","0","0","0","-260","10","2","bgm_M64","1","1.2","0.75","101001"
"10010103","1","0","1","101001","-30","0","200","1","3","1001","-50","-10","100","-40","0","3","bgm_M64","1","1.1","0.75","101001"
"10010104","1","0","1","101001","-30","-50","200","1","4","1001","0","0","0","240","0","4","bgm_M64","1","1","0.7","101001"
"10010105","1","0","1","101011","-30","-40","250","1","5","1001","0","0","200","480","0","5","bgm_M55","1","1.3","1.2","101011"
"10020101","1","0","1","101021","-30","-155","210","0.7","1","1002","0","-30","250","-480","10","1","bgm_M64","1","0.8","0.6","101001"
"10020102","1","0","1","101021","-30","-120","200","1","2","1002","0","0","250","-265","10","2","bgm_M64","1","1.2","0.75","101001"
"10020103","1","-15","1","101021","-30","30","200","1","3","1002","-30","-10","100","-30","0","3","bgm_M64","1","1.4","0.9","101001"
"10020104","1","0","1","101021","-30","-90","200","1.25","4","1002","-30","0","100","220","0","4","bgm_M64","1","1.5","1","101001"
"10020105","1","0","1","101031","-30","0","250","1.6","5","1002","0","0","200","440","0","5","bgm_M55","1","1.8","1.4","101011"
"10030101","1","0","1","101041","-30","-155","210","0.7","1","1003","0","-30","250","-470","10","1","bgm_M64","1","0.8","0.6","101041"
"10030102","1","0","1","101041","-30","-95","200","1","2","1003","0","0","250","-210","10","2","bgm_M64","1","1.2","0.75","101041"
"10030103","1","0","1","101041","-30","-120","200","1","3","1003","-50","-10","100","50","0","3","bgm_M64","1","1.1","0.75","101041"
"10030104","1","0","1","101041","-30","35","200","1.2","4","1003","-30","0","100","195","0","4","bgm_M64","1","1.5","0.8","101041"
"10030105","1","0","1","101042","-30","-55","210","1.35","5","1003","-50","0","150","450","0","5","bgm_M55","1","1.8","1.1","101042"
