a156e7624e28b62c53781b1ace75347e790a3b89b500256ec8585bdcffe29a3f,827a424534f62ecb694a7f3f00eb4d1570c2dd87d2f6babedd6a5bd541101b7c,775d3bf56f2074879fb0ce7bafd438425dab176a53593fb329eaf32cae9d624c,f754c243bf91d49193065bff6e91d685d49bff75537ce0045c3eded47f3fb1d6,8e3c53d0922679510e69d8e4a6d7a8edc1080608733928075d39035f606ca3e4,b1df920b478ba86a5e7f941818cfc8ead827f4ae77536c2aaef45753e57ae8e7,25bf33e9d339743b3c703a2beb47c814bea6dfffb669120f4ea454423b0ae190,1efc5b29472e64db782023eff00f994b0faf20c42ed2c8c9cfb5fd28413ed1bf
"0","短時間、障害物バリアを展開する　（ＴＰ上昇率：大）","0","3","短時間、障害物バリアを展開！","2001","101","0"
"5","中時間、スピードとジャンプを　　小アップ（ＴＰ上昇率：小）","5","5","中時間、スピードとジャンプ小アップ！","3","102","0"
"0","短時間、スピードを中アップ　　　（ＴＰ上昇率：中）","6","4","短時間、スピード中アップ！","1","103","0"
"0","中時間、障害物バリアを展開する　（ＴＰ上昇率：小）","0","5","中時間、障害物バリアを展開！","2001","104","0"
"0","中時間、スピードを小アップ　　　（ＴＰ上昇率：小）","3","6","中時間、スピード小アップ！","1","105","0"
"0","中時間、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：大）","4","6","中時間、対戦相手のスピード小ダウン！","1001","106","0"
"16","中時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：小）","17","5","中時間、スピードとジャンプ特大アップ！","3","107","0"
"0","ラウンド中、スピードを中アップ　（ＴＰ上昇率：小）","8","40","ラウンド中、スピード中アップ！","1","108","0"
"0","短時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","30","4","短時間、スピード特大アップ！","1","109","0"
"0","ラウンド中、対戦相手のスピードを中ダウン（ＴＰ上昇率：小）","10","40","ラウンド中、対戦相手が大きく減速！","1001","110","0"
"0","ごく短時間、障害物バリアを　　　展開する（ＴＰ上昇率：大）","0","1","ごく短時間、障害物バリアを展開！","2001","111","0"
"0","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：小）","15","4","短時間、先頭の対戦相手が大きく減速！","1004","112","0"
"0","中時間、スピードを小アップ　　　（ＴＰ上昇率：大）","5","6","中時間、スピード小アップ！","1","113","0"
"0","中時間、ジャンプを小アップ　　　（ＴＰ上昇率：大）","5","5","中時間、ジャンプ小アップ！","2","114","0"
"0","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：特大）","0","7","長時間、バリアで能力ダウンを防ぐ！","2002","115","0"
"0","累積で、スピードを小アップ　　　（ＴＰ上昇率：特大）","3","25","累積で、スピード小アップ！","1","116","0"
"0","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","3","25","累積で、対戦相手が小さく減速！","1001","117","0"
"20","長時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：中）","30","7","長時間、スピードとジャンプ特大アップ！","3","118","0"
"0","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","15","4","短時間、先頭の対戦相手が大きく減速！","1004","119","0"
"0","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：大）","0","7","長時間、バリアで能力ダウンを防ぐ！","2002","120","0"
"0","長時間、ジャンプを特大アップ　　（ＴＰ上昇率：中）","30","12","長時間、ジャンプ特大アップ！","2","121","0"
"0","累積で、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","15","30","累積で、先頭の対戦相手が大きく減速！","1004","122","0"
"2","短時間スピード大アップ後、　　　スピードダウン（ＴＰ上昇率：大）","11","4","短時間大きく加速した後、ごく短時間減速！","4","123","8"
"0","長時間、スピードを中アップ　　　（ＴＰ上昇率：大）","9","8","長時間、スピード中アップ！","1","124","0"
"0","短時間、障害物バリアを展開する　（ＴＰ上昇率：中）","0","4","短時間、障害物バリアを展開！","2001","125","0"
"0","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","3","30","累積で、対戦相手が小さく減速！","1001","126","0"
"0","長時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","22","10","長時間、スピード特大アップ！","1","127","0"
"0","短時間、ジャンプを特大アップ　　（ＴＰ上昇率：大）","30","4","短時間、ジャンプ特大アップ！","2","128","0"
"0","短時間、対戦相手のスピードを　　特大ダウン（ＴＰ上昇率：大）","20","3","短時間、対戦相手のスピード特大ダウン！","1001","129","0"
"0","短時間、スピードを特大アップ　　（ＴＰ上昇率：大）","30","4","短時間、スピード特大アップ！","1","130","0"
