850972f8c64be4fafc7d67c4d294054721131124e1debaffdbf205755b926c1c,441f8805bad512504b1efa70b4cddd7453f4c24ea87cfdfa863009c68de1c2cd,ca9084395e51c30cfc6e86a38abed6154efb90f7d3476e62ad8abd772b766f14,3be5a057cf6026369f683c7858a3cfd6da88d18e70155cc09b71fa7895b6e44b
"1004601","1004601","1","5046601"
"1004801","1004801","1","5048007"
"1004802","1004802","2","1004801"
"1005601","1005601","1","5056601"
"1006101","1006101","1","5061601"
"1006102","1006102","3","5061602"
"1006103","1006103","1","5061601"
"1006601","1006601","4","5027704"
"1007001","1007001","5","0"
"1007301","1007301","1","5046601"
"1007501","1007501","1","5048007"
"1007502","1007502","2","1004801"
"1008201","1008201","6","0"
"1008301","1008301","1","5056601"
"1008901","1008901","1","5061601"
"1008902","1008902","3","5061602"
"1008903","1008903","1","5061601"
"1009201","1009201","3","5092601"
"1010001","1010001","3","5100601"
"1010201","1010201","3","5100601"
"1010901","1010901","6","0"
"1011901","1011901","3","5092601"
"1012701","1012701","3","5100601"
"2003201","2003201","1","5056601"
