8760059617c7db10eb2712e9521b759c0f26652cf34535031cabdfcdd9314d6d,969aef750832aa2322d9d06b6f1e900e1f7f23cea3d0e8a5c9637ff19fe25790,d397791ad1a2ac68c2dd8abb1942c5290247c5fd75a729c5164385733bb8ff58,d451a45b36c09243b12c9311c379315dea59ca9c47599231539a55d72d355545,f29c0bbe58f4e87a61126010a2a6b00252a675ba6a1e6a116d052e9c20aa2894,0569131beac2c64a1f41b9d04610239724274944e30fc816ae3c4741fb6830b4,54a12330411567ce9f079167a6183b09d3aa6f871e0f2ce889b199af7be42524,ccc11e5e2a4882e48aa2115815de536f9261b85359d98199920d8b4c92a92417,dd7d4ccecc9e47598d4d61b1dfc7626b37f46b01d2aa46755423246edd5bc2d1,4cc7532c535f8dabe746409115e1fb01fbdaf6e100c34be42b9dce79abbaef79,0b9fcfef558aabdbcd43e7c44f0dff41e516f54fb6a4550c15ef2b2ce2077c91,cd24908f0f41082ba517e0fef27c1cb4dca4419698981a1cac718cb018eef6f4,c3ba9ae8d94ed9b3aec3d1dfa26743af49a6c3756d791487a87d43fa28e9bae3,a014977e0251eb67791ec3ae2cbce4fced79822bb2af2d86cf49eea93e54d76b,fa3652dbc0f2b0187d52b5461377ba8e1c09874d344dfd0612a4ce6ed9317d93,3c509b7b066806e6c187aa3ce860d41d644a669d5555fc42b012c0b8f86a90e5
"101","102","1","0","0","105","0","103","5","104","1","0","1","10016","0","1"
"201","202","2","0","1","205","0","203","2","204","2","0","2","10021","0","1"
"301","302","3","0","1","305","0","303","5","304","5","0","2","10053","0","1"
"401","402","4","0","1","405","0","403","8","404","4","0","2","10044","0","1"
"501","502","5","0","2","505","0","503","2","504","4","0","3","10042","0","1"
"601","602","6","0","3","605","0","603","5","604","2","0","3","10024","0","1"
"701","702","7","0","4","705","0","703","8","704","1","0","3","10015","0","1"
"801","0","8","0","5","0","0","0","2","0","101","0","4","11012","0","1"
"901","902","9","0","6","905","0","903","5","904","2","0","4","10023","0","1"
"1001","0","10","0","7","0","0","0","8","0","101","0","4","11011","0","1"
"1101","1102","11","0","8","1105","0","1103","2","1104","5","0","5","10052","0","1"
"1201","1202","12","0","9","1205","0","1203","5","1204","4","0","5","10045","0","1"
"1301","1302","13","0","10","1305","0","1303","8","1304","2","0","5","10021","0","1"
"1401","1402","14","0","11","1405","0","1403","2","1404","1","0","6","10013","0","1"
"1501","1502","15","0","12","1505","0","1503","5","1504","5","0","6","10054","0","1"
"1601","0","16","0","13","0","0","0","8","0","101","0","6","11015","0","1"
"1701","0","17","0","14","0","0","0","2","0","100","0","7","11002","0","1"
"1801","1802","18","0","15","1805","0","1803","5","1804","4","0","7","10043","0","1"
"1901","1902","19","0","16","1905","16","1903","8","1904","3","0","7","10034","0","1"
"2001","2002","20","0","17","2005","0","2003","2","2004","4","0","8","10041","0","1"
"2101","0","21","0","18","0","0","0","5","0","100","0","8","11003","0","1"
"2201","2202","22","0","19","2205","0","2203","8","2204","2","0","8","10025","0","1"
"2301","2302","23","0","20","2305","0","2303","2","2304","1","0","9","10011","0","1"
"2401","2402","24","0","21","2405","0","2403","5","2404","2","0","9","10022","0","1"
"2501","2502","25","0","22","2505","0","2503","8","2504","4","0","9","10045","0","1"
"2601","2602","26","0","23","0","24","2603","5","0","100","0","10","11006","25","1"
"2701","2702","27","0","26","2705","0","2703","2","2704","3","0","11","10031","0","1"
"2801","2802","28","0","26","2805","0","2803","5","2804","4","0","11","10044","0","1"
"2901","2902","29","0","26","2905","0","2903","8","2904","7","0","11","10075","0","1"
"3001","3002","30","0","27","3005","0","3003","2","3004","3","0","12","10032","0","1"
"3101","3102","31","0","28","3105","0","3103","5","3104","1","0","12","10013","0","1"
"3201","3202","32","0","29","3205","0","3203","8","3204","4","0","12","10044","0","1"
"3301","3302","33","0","30","3305","0","3303","2","3304","4","0","13","10041","0","1"
"3401","3402","34","0","31","3405","0","3403","5","3404","2","0","13","10022","0","1"
"3501","3502","35","0","32","3505","0","3503","8","3504","5","0","13","10053","0","1"
"3601","3602","36","0","33","3605","0","3603","2","3604","2","0","14","10024","0","1"
"3701","3702","37","0","34","3705","0","3703","5","3704","4","0","14","10045","0","1"
"3801","3802","38","0","35","3805","0","3803","8","3804","1","0","14","10012","0","1"
"3901","3902","39","0","36","3905","0","3903","2","3904","4","0","15","10043","0","1"
"4001","4002","40","0","37","4005","0","4003","5","4004","3","0","15","10035","0","1"
"4101","4102","41","0","38","4105","0","4103","8","4104","7","0","15","10072","0","1"
"4201","4202","42","0","39","4205","0","4203","2","4204","2","0","16","10021","0","1"
"4301","4302","43","0","40","4305","0","4303","5","4304","3","0","16","10034","0","1"
"4401","4402","44","0","41","4405","0","4403","8","4404","1","0","16","10015","0","1"
"4501","4502","45","0","42","4505","0","4503","2","4504","2","0","17","10022","0","1"
"4601","4602","46","0","43","4605","0","4603","5","4604","2","0","17","10023","0","1"
"4701","4702","47","0","44","4705","0","4703","8","4704","7","0","17","10074","0","1"
"4801","4802","48","0","45","4805","0","4803","2","4804","3","0","18","10031","0","1"
"4901","4902","49","0","46","4905","0","4903","5","4904","5","0","18","10052","0","1"
"5001","5002","50","0","47","5005","0","5003","8","5004","2","0","18","10025","0","1"
"5101","5102","51","0","48","5105","0","5103","2","5104","4","0","19","10041","0","1"
"5201","5202","52","0","49","5205","0","5203","5","5204","3","0","19","10033","0","1"
"5301","5302","53","0","50","5305","0","5303","8","5304","7","0","19","10074","0","1"
"5401","5402","54","0","51","0","52","5403","5","0","101","0","20","11016","53","1"
"5501","5502","55","0","54","5505","0","5503","2","5504","4","0","21","10041","0","1"
