4276796f9f7647870cbc0b16ac126df4ecc2dffa4dca7ead5ed1d0d7e4bcbc45,60b42e6fa6601dac001457047d9f549c8f3553e4e781967b6edf9e6ec4544dc6,8486c3c0c9852beb5e54bbd3a147a2a03711dbb9fa81afa2e537d00733a1e338,877ce65a2eca643f99939dd2b93f2b9e0333e7a7fa76af55412ca1fbb9a27342,cb6b73d4e760ef16eff6f3ed8bd92a6b350f1468402a57319f254eb3832a88b4,2d344ac5ea89817a29d241336e0bcdbb9d00913dd5d15ac7662179c8fa729a1e,a35de1b78e61f1a80a83af86153c231ddf89d66614b3d8666111bb7cc0d13b55,ea93d5d9e7f0b4a48341eda9a0503ddadf960ffdbdf1f0e1ad45474e6eeb02c5,c5899ecc43402c565e38b7037c3c587b027321bb3428a6ee3dd46c1889aa372a,8284040b425dc7b8b8c8d1dac2d36b1ef961429d1f25f06c8d90f5c25cec2caa,d5b68d46590707fc3f35648dc99caf40bc7d7c6f77bd1866e0154927477ce1c0,b1a897ebc39a98d3a6dba2f9fca080afd5c3ec7ba7e305b901841e594ae317cc,4f323a78185fa85681131945c4de896ac83b57b6adaa39fa6bae21a1f07cb988,48877a3af7212c9dd54a2ad5714ace7bb55dbc4ce4a1e86b0865ecfb85a2c4cc,1c882d4dbf3a0ebcf3556b8b33b9646c4464200617258bf30efad878f4a4f8f0
"0","0","0","0","0","0","0","0","0","0","ミヤコ’s キッチン","0","0","0","1"
"0","48","0","0","102","0","0","0","0","0","プリンにしてやるの","0","0","0","2"
"0","96","0","0","152","0","0","0","0","0","幽霊よりも怖いもの？","0","0","0","3"
"0","144","0","0","142","0","0","0","0","0","宴はプリン作りとともに","0","0","0","4"
"0","168","0","0","127","0","0","0","0","0","愛はプリンのために","0","0","0","5"
"0","192","0","0","107","0","0","0","0","0","ちょびっと成長？","0","0","0","6"
"0","240","0","0","0","0","0","0","0","0","キュッキュ～！","0","0","0","7"
"20","0","155","0","153","0","0","0","0","0","３人のかわいい手下","0","154","0","8"
"40","0","0","0","150","0","0","0","0","0","変な趣味なの","0","157","0","9"
"50","0","0","0","125","0","0","0","0","0","入れるな危険なの","0","161","0","10"
"60","0","0","0","116","0","0","0","0","0","レシピなの？","0","135","0","11"
