52e93741f708ca6862ad109627a863c37c2dd12b2f29b989a49e6ed7942a41c0,e5db810de3887470a6637523e85a23e4be08411d8bc2406898e7ab059df36e01,50da88f899f386e4fa203a3b2f0dd20072573849588cc94fe5f7009380702c25,828774ec5d19ca66d2fabd718676c47a8075ccbde9052b18da7b47abac8ec953,83a449a52e0c66a58c033dcc703cecd744b9513ca6bbfca1ab5bca17e31288cf
"1048","1045","1037","1","1025"
"1004","1006","1062","2","1003"
"1007","1006","1029","3","1003"
"1045","1062","1025","4","1047"
"1013","1022","1003","5","1043"
"1004","1019","1048","6","1006"
"1033","1003","1037","7","1062"
"1053","1059","1050","8","1056"
"1011","1034","1030","9","1001"
"1023","1026","1046","10","1063"
"1038","1044","1014","11","1020"
"1049","1040","1008","12","1017"
"1044","1020","1017","13","1023"
"1038","1020","1001","14","1017"
"1048","1008","1036","15","1030"
"1038","1011","1004","16","1044"
"1011","1022","1005","17","1043"
"1016","1047","1042","18","1046"
"1028","1063","1041","19","1014"
"1055","1058","1061","20","1052"
"1001","1024","1031","21","1025"
"1063","1005","1064","22","1024"
"1000","1044","1066","23","1040"
"1038","1010","1076","24","1000"
"1019","1043","1077","25","1003"
"1069","1068","1071","26","1070"
"1091","1090","1089","27","1092"
"1100","1099","1097","28","1098"
"1104","1103","1101","29","1102"
"1108","1107","1105","30","1106"
"1006","1021","1083","31","1012"
"1085","1084","1086","32","1087"
"1095","1096","1093","33","1094"
