62f0335873899906fc9651c5707547fc362378382117ada3933a2d6537d3f82e,9f783691d3a4c7505abaac2ee7dee366572f97cd57de833f55c58c3405656914,5852db45264d5a660743fca09bb2a90ccdef87337d1e662429d3a8377518cb87,d0fbbd0ea3ad2264e4a129aac29850b84a22176411708edee7a869dd828c6354,83ad1447164975f5b42d2e1946eae5744a273b23a1934ea226ac3b3252712cf4,eb8f7f2ac91cd64ac7fe1caf4f689ce37606c0c1cc31a9930db3a8012ed5ede5,a556aeec912761bbd79fd7de3e5f60d1c201e02cc20dca0fc3372091cd49970d,f39ae623fb910601efcc55530f043ac824a0f5da25383f1ced6fb95bd2fd154e,c2a19c6a16043aeec5114332deb2cea0acb846a892cd92442c86768bd82433bc,e2735cc3f370c1d3ca592d8e09d56d4e811edfca23e9ac7f40b8bd5ca059c604,ecb66d2fe11b68e6da7b2f551672167b5f56e374fee3f3fb96f00d9748f43597,01b3c2142e5b1f1bc3761e6167e2d896bfc555296174d951674c7168b8ef3860,ea7132c67f29718274a7610b4b4bde253b12198eda442e0436248a504503fe0d,a71ef4ab34fbbeb991b87dbca63935f5b4b4f552b3dfc00df688714953a7cb9e,668cc8a762fdc54467deeacc91f5e4d3b86b47f9809e8a2497d3f91a73d17b78,25ecd73a44a35963a0ab1b0441cdcf3be81af451f153798836b67879226b2eea,1f178f2d6fe4be1615d583612ab7257a5f313bda44e7af27c43cede5105d6310,ca599b573a3b6d70c29a701d301234c24c90b2f433614e66690940b0c6687fb8,0ebdaf415273350c893ca76c56cf38fd0ee9772962d4185cec82851dc1d703bf,c00108d22a7e506b9fa693429faeb9177ef590e6c0763c93b113f29858917488,f60cff304e74ac536bdf1b5c82c0cf32c8f26e40ec1a2c58e8bf6426eea7c738
"500","1","1","91002","0","90006","0","0","31043","0","0","2","0","0","1001","5","1","8","500","2","1"
"1000","2","2","91002","0","90006","0","0","31043","0","0","2","0","0","1001","8","1","8","1000","2","2"
"1500","3","3","91002","0","90006","0","0","31043","0","0","2","0","0","1001","10","1","8","1500","2","3"
"2000","4","4","91002","0","90006","0","0","31043","0","0","2","0","0","1001","12","1","8","2000","2","4"
"2500","5","5","91002","0","90006","0","0","31043","0","0","2","0","0","1001","14","1","8","2500","2","5"
"3000","6","6","91002","0","90006","0","0","31043","0","0","2","0","0","1001","16","1","8","3000","2","6"
"3500","7","7","91002","0","90006","0","0","31043","0","0","2","0","0","1001","18","1","8","3500","2","7"
"4000","8","9","91002","0","90006","0","0","31043","0","0","2","0","0","1001","20","1","8","4000","2","8"
"4500","10","-1","91002","0","90006","0","0","31043","0","0","2","0","0","1001","25","1","8","4500","2","9"
"500","1","1","91002","0","90006","0","0","31022","0","0","2","0","0","1002","5","1","8","500","2","10"
"1000","2","2","91002","0","90006","0","0","31022","0","0","2","0","0","1002","8","1","8","1000","2","11"
"1500","3","3","91002","0","90006","0","0","31022","0","0","2","0","0","1002","10","1","8","1500","2","12"
"2000","4","4","91002","0","90006","0","0","31022","0","0","2","0","0","1002","12","1","8","2000","2","13"
"2500","5","5","91002","0","90006","0","0","31022","0","0","2","0","0","1002","14","1","8","2500","2","14"
"3000","6","6","91002","0","90006","0","0","31022","0","0","2","0","0","1002","16","1","8","3000","2","15"
"3500","7","7","91002","0","90006","0","0","31022","0","0","2","0","0","1002","18","1","8","3500","2","16"
"4000","8","8","91002","0","90006","0","0","31022","0","0","2","0","0","1002","20","1","8","4000","2","17"
"4500","9","9","91002","0","90006","0","0","31022","0","0","2","0","0","1002","25","1","8","4500","2","18"
"5000","10","-1","91002","0","90006","0","0","31022","0","0","2","0","0","1002","30","1","8","5000","2","19"
"500","1","1","91002","0","90006","0","0","31042","0","0","2","0","0","1003","5","1","8","500","2","20"
"1000","2","2","91002","0","90006","0","0","31042","0","0","2","0","0","1003","8","1","8","1000","2","21"
"1500","3","3","91002","0","90006","0","0","31042","0","0","2","0","0","1003","10","1","8","1500","2","22"
"2000","4","4","91002","0","90006","0","0","31042","0","0","2","0","0","1003","12","1","8","2000","2","23"
"2500","5","5","91002","0","90006","0","0","31042","0","0","2","0","0","1003","14","1","8","2500","2","24"
"3000","6","6","91002","0","90006","0","0","31042","0","0","2","0","0","1003","16","1","8","3000","2","25"
"3500","7","7","91002","0","90006","0","0","31042","0","0","2","0","0","1003","18","1","8","3500","2","26"
"4000","8","8","91002","0","90006","0","0","31042","0","0","2","0","0","1003","20","1","8","4000","2","27"
"4500","9","9","91002","0","90006","0","0","31042","0","0","2","0","0","1003","25","1","8","4500","2","28"
"5000","10","-1","91002","0","90006","0","0","31042","0","0","2","0","0","1003","30","1","8","5000","2","29"
"500","1","1","91002","0","90006","0","0","31018","0","0","2","0","0","1004","5","1","8","500","2","30"
"1000","2","2","91002","0","90006","0","0","31018","0","0","2","0","0","1004","8","1","8","1000","2","31"
"1500","3","3","91002","0","90006","0","0","31018","0","0","2","0","0","1004","10","1","8","1500","2","32"
"2000","4","4","91002","0","90006","0","0","31018","0","0","2","0","0","1004","12","1","8","2000","2","33"
"2500","5","5","91002","0","90006","0","0","31018","0","0","2","0","0","1004","14","1","8","2500","2","34"
"3000","6","6","91002","0","90006","0","0","31018","0","0","2","0","0","1004","16","1","8","3000","2","35"
"3500","7","7","91002","0","90006","0","0","31018","0","0","2","0","0","1004","18","1","8","3500","2","36"
"4000","8","8","91002","0","90006","0","0","31018","0","0","2","0","0","1004","20","1","8","4000","2","37"
"4500","9","9","91002","0","90006","0","0","31018","0","0","2","0","0","1004","25","1","8","4500","2","38"
"5000","10","-1","91002","0","90006","0","0","31018","0","0","2","0","0","1004","30","1","8","5000","2","39"
"500","1","1","91002","0","90006","0","0","31025","0","0","2","0","0","1005","5","1","8","500","2","40"
"1000","2","2","91002","0","90006","0","0","31025","0","0","2","0","0","1005","8","1","8","1000","2","41"
"1500","3","3","91002","0","90006","0","0","31025","0","0","2","0","0","1005","10","1","8","1500","2","42"
"2000","4","4","91002","0","90006","0","0","31025","0","0","2","0","0","1005","12","1","8","2000","2","43"
"2500","5","5","91002","0","90006","0","0","31025","0","0","2","0","0","1005","14","1","8","2500","2","44"
"3000","6","6","91002","0","90006","0","0","31025","0","0","2","0","0","1005","16","1","8","3000","2","45"
"3500","7","7","91002","0","90006","0","0","31025","0","0","2","0","0","1005","18","1","8","3500","2","46"
"4000","8","8","91002","0","90006","0","0","31025","0","0","2","0","0","1005","20","1","8","4000","2","47"
"4500","9","9","91002","0","90006","0","0","31025","0","0","2","0","0","1005","25","1","8","4500","2","48"
"5000","10","-1","91002","0","90006","0","0","31025","0","0","2","0","0","1005","30","1","8","5000","2","49"
"500","1","1","91002","0","90006","0","0","31043","0","0","2","0","0","1006","5","1","8","500","2","50"
"1000","2","2","91002","0","90006","0","0","31043","0","0","2","0","0","1006","8","1","8","1000","2","51"
"1500","3","3","91002","0","90006","0","0","31043","0","0","2","0","0","1006","10","1","8","1500","2","52"
"2000","4","4","91002","0","90006","0","0","31043","0","0","2","0","0","1006","12","1","8","2000","2","53"
