8ef9531f8553de2743af5c2cc507c3a6180c0dc4ee6085112626d87c7a058c72,d852163c0cb087a1329068d219623157aa6b2a0add77eed48fa4adf613449db2,159cc276e2b13526c2ec54ca54a5b1ddbac4848d35495cd59270c42d9ac23163,f4f5085c86a8cf44c2195a2885a57f4885fa1bf35bf6acbe4895ad5b192c0572,7b4746e9d07862a78d39c15d348533cb6118805711f9b8ef5c19fc3f89fe7a33,d30e1185f27cbc4056a1c20a38f410aeb1c0cf7eefad6dae6e909cd8996d0d7c
"10011","0","100112","0","0","100111"
"10012","100123","100122","100125","100124","100121"
"10013","100133","100132","100135","100134","100131"
"10021","0","0","0","0","100211"
"10022","0","0","0","0","100221"
"10023","0","100232","0","0","100231"
"10031","0","0","0","0","100311"
"10032","0","0","0","0","100321"
"10033","100333","100332","100335","100334","100331"
"10041","0","100412","0","0","100411"
"10042","0","100422","0","0","100421"
"10043","0","100432","0","0","100431"
"10051","0","0","0","0","100511"
"10052","100523","100522","100525","100524","100521"
"10053","100533","100532","100535","100534","100531"
"11001","0","0","0","0","110011"
"11002","0","0","0","0","110021"
"11003","0","0","0","0","110031"
"11004","0","0","0","0","110041"
"11005","0","0","0","0","110051"
"12001","0","0","0","0","120011"
"12002","0","0","0","0","120021"
"12003","0","0","0","0","120031"
"12004","0","0","0","0","120041"
"12005","0","0","0","0","120051"
"13001","0","0","0","0","130011"
"13002","0","130022","0","0","130021"
"13003","0","0","0","0","130031"
"13004","0","130042","0","0","130041"
"13005","0","0","0","0","130051"
"14001","0","0","0","0","140011"
"14002","0","0","0","0","140021"
"14003","0","0","0","0","140031"
"14004","0","140042","0","0","140041"
"14005","0","140052","0","0","140051"
"15001","0","0","0","0","150011"
"15002","0","0","0","0","150021"
"15003","150033","150032","150035","150034","150031"
"15004","150043","150042","150045","150044","150041"
"15005","0","0","0","0","150051"
"21001","0","0","0","0","210011"
"21002","0","0","0","0","210021"
"21003","0","0","0","0","210031"
"21004","0","0","0","0","210041"
"21005","0","0","0","0","210051"
"22001","0","0","0","0","220011"
"22002","0","0","0","0","220021"
"22003","0","0","0","0","220031"
"22004","0","0","0","0","220041"
"22005","0","0","0","0","220051"
"23001","0","0","0","0","230011"
"23002","0","230022","0","0","230021"
"23003","0","0","0","0","230031"
"23004","0","230042","0","0","230041"
"23005","0","0","0","0","230051"
"24001","0","0","0","0","240011"
"24002","0","0","0","0","240021"
"24003","0","0","0","0","240031"
"24004","0","240042","0","0","240041"
"24005","0","240052","0","0","240051"
"25001","0","0","0","0","250011"
"25002","0","0","0","0","250021"
"25003","250033","250032","250035","250034","250031"
"25004","250043","250042","250045","250044","250041"
"25005","0","0","0","0","250051"
"30001","0","0","0","0","300011"
"31001","0","0","0","0","310011"
"31002","0","0","0","0","310021"
"31003","0","0","0","0","310031"
"31004","0","0","0","0","310041"
"31005","0","0","0","0","310051"
"31006","0","0","0","0","310061"
"32001","0","0","0","0","320011"
"32002","0","0","0","0","320021"
"32003","0","0","0","0","320031"
"32004","0","0","0","0","320041"
"32005","0","0","0","0","320051"
"32006","0","0","0","0","320061"
"33001","0","0","0","0","330011"
"33002","0","330022","0","0","330021"
"33003","0","0","0","0","330031"
"33004","0","330042","0","0","330041"
"33005","0","0","0","0","330051"
"33006","0","330062","0","0","330061"
"34001","0","0","0","0","340011"
"34002","0","0","0","0","340021"
"34003","0","0","0","0","340031"
"34004","0","340042","0","0","340041"
"34005","0","340052","0","0","340051"
"34006","0","0","0","0","340061"
"35001","0","0","0","0","350011"
"35002","0","0","0","0","350021"
"35003","350033","350032","350035","350034","350031"
"35004","350043","350042","350045","350044","350041"
"35005","0","0","0","0","350051"
"35006","0","0","0","0","350061"
"40001","400013","400012","0","0","400011"
"40002","0","0","0","0","400021"
"40003","0","0","0","0","400031"
"40004","400043","400042","0","400044","400041"
"40005","0","0","0","0","400051"
"40006","400063","400062","0","0","400061"
"40007","0","0","0","0","400071"
"40008","0","0","0","0","400081"
"40009","0","400092","0","0","400091"
"40010","0","0","0","0","400101"
"50001","0","500012","0","0","500011"
"50002","0","0","0","0","500021"
"50003","0","0","0","0","500031"
"50004","0","0","0","0","500041"
"50005","0","0","0","0","500051"
"50006","0","500062","0","0","500061"
"50007","500073","500072","500075","500074","500071"
"50008","0","0","0","0","500081"
"50009","0","500092","0","0","500091"
"50010","0","0","0","0","500101"
