e7e0af9f0a9c17cfb61c5837b3f0ca2d8b6e74f33a449a325298415390ce1edd,02a7def473bd67c4c875200b381f99cf44ef85a41b60cb98eb44811c15615f49,a6b13e10aedaf66364bee26022bff66702a11a1bb1cd2a849b51d034b3e4cdcb,f3430f4fe1d3a9f698aaf6526a13fb4c9ec7307fb25cf2d97f3568949f5ecb8d,924460479590bd289fcd116ccefd82542e8ee9c8e097b98a5311e69f5d6e3c57,058393f3e06cb018d161fc55f6e0ccb0b1d243380ac8a18bf000b209e6ad9e60,b486c8fa185b44bc310423a487e1b92c3de9b8fc026560e3a43ced12fd0571fd,f5bcb98dd65a042d0aa74225d8b7937eb2deffeb4212285115871525a38b8507,d921be8f07186053e5f26ff180e396fd0e867e678d85b3b3b12fee4de04083d5,494049a9b4ea43a45a9116aaa28e80ac9b0ce7d0df09358327aeab4846d4304a,3f4918204d67e08cf13385b1e2cb7a21511e695424f30334d5c7fd4734021dfd
"1","0","1.35","nyx_idle_normal","101","1","110","-209.3","110931","11010001","-421"
"1","0","1.35","nyx_idle_normal","101","1","110","-182.5","104831","11010002","121.8"
"1","0","1.35","nyx_idle_normal","101","1","110","-182.5","104631","11010003","227.7"
"1","1","1.35","nyx_talk_normal","101","1","110","-182.5","103231","11010004","340.3"
"1","1","1.35","nyx_idle_normal","101","1","110","-182.5","103431","11010005","449.6"
"5","0","1.35","NoItem","101","2","120","-209.3","2","11010006","-421"
"31","","1","","101","1","0","1","1","11010007","0"
"31","","0","","101","15","-300","1","3","11010008","0"
"31","","0","","101","15","-300","1.5","4","11010009","0"
"25","","","","101","bgm_M347","","","bgm_M347","11010010",""
"93","","","","101","2","","","","11010011",""
"3","","0.2","","101","2","0","1","nyx_101_chieru_01","11010012","nyx_101_chieru_loop"
"3","","0.2","","101","110931","0","1","nyx_101_chieru_01","11010013","nyx_101_chieru_loop"
"11","","","","101","110931","10","","ちぇる～ん♪\n最初はとにかく\nインパクト！","11010014",""
"93","","","","101","0.4","","","","11010015",""
"32","","","","101","3","","","0","11010016",""
"32","","","","101","3","","","1","11010017",""
"91","","","","101","11010014","","","","11010018",""
"11","","","","101","110931","10","","強めの初ちぇるで\n審査員のハートを\n鷲掴み子ちゃんです","11010019",""
"93","","","","101","1","","","","11010020",""
