c6964be5c99959ef7946d8f3a7c8a4dce1adf2555337a15614ed4381a7888620,a89f7acf9e95736058c46712aa033749febb066ea31de93440585da20713547e,f394a2272dd2552b20b507d108ed3328b228baf44f454fdc988248dfad903995,e8fa0790e7e3ead08bd42e8ca751a09f6b67894e20925047ba785e0c76e4717d,18e6025925213ffa452cf52fe9272a3b96c8a041b83198b84964f2cabe502beb,5fad943df1dca78c699f5b48de500e2c80efd8bf42e8ffe5e4b5f575eb5f620b,0a0f65684f46fb902f1d9de6cee2e94629e1de36b2f312c491df60ad46a713d8,e8884fd46b90525773d9621c876d37dcec4a4342007990b6b507d6ab6510b536
"4000","400","440","4","0","100","1","1"
"10000","1000","1100","10","0","120","2","2"
"14000","1400","1540","12","0","140","3","3"
"20000","2000","2200","14","0","170","4","4"
"27000","2700","2970","18","0","200","5","5"
"36600","3600","4000","20","0","220","6","6"
"39700","3900","4300","20","0","240","7","7"
"42800","4200","4700","20","0","260","8","8"
"45600","4500","5000","20","0","280","9","9"
"48900","4800","5300","20","0","300","10","10"
