37610ab1fa727469a386e0d74b5efca287f97263e89a530ec889185b2230a79b,38afdae224ef18484b6a64995e00bd6842ea0931f71e633d99bdce1898ec8325,4f922e3e3db9459a9c2ac11676a3be329e0732a8814e9a7ae5818cf2410ab669,d3d25308c3ecfc9f25772028f06f558e8127aec1697b982d41358d8fae2b16dc,68231c049b97fcffa2856536d91ad28468159387ae9f308ed65afbc04bbe6391,6c9d0de900397b3910aa4f476526ec99d31724527520376b1a69f3ca76f7598b
"1","2","50000","1","26202","50000"
"2","2","10","1","90013","10"
"3","2","0","1","26203","1"
"4","2","55000","2","26202","55000"
"5","2","10","2","90013","10"
"6","2","0","2","26203","1"
"7","2","60000","3","26202","60000"
"8","2","10","3","90013","10"
"9","2","0","3","26203","1"
"10","2","65000","4","26202","65000"
"11","2","10","4","90013","10"
"12","2","0","4","26203","1"
"13","2","70000","5","26202","70000"
"14","2","10","5","90013","10"
"15","2","0","5","26203","1"
"16","2","75000","6","26202","75000"
"17","2","10","6","90013","10"
"18","2","0","6","26203","1"
"19","2","80000","7","26202","80000"
"20","2","10","7","90013","10"
"21","2","0","7","26203","1"
"22","2","85000","8","26202","85000"
"23","2","10","8","90013","10"
"24","2","0","8","26203","1"
