0ca09e72f60d1d6a617ad4577ccd2a1ece94fd2993b99c4ad4d1b8e432eb24ab,f2514f886962cd5a6bc31fa4e73545bc3ae62ad112d58baf54eabb078bda1ba7,788d830dd21d0adba9edfd94463ac2021630264692d1ffdb7c0e838cbb1caf1f,f609f27f13f6c507f266faa0131e016656f82026f60a477fa00b6866cfa66e92
"170","1","1","1000"
"175","1","2","3000"
"180","1","3","5000"
"185","1","4","7000"
"190","1","5","9000"
"195","1","6","11000"
"200","1","7","13000"
"205","1","8","15000"
"210","1","9","17000"
"215","1","10","19000"
"220","1","11","21000"
"225","1","12","23000"
"230","1","13","25000"
"232","1","14","27000"
"234","1","15","29000"
"236","1","16","31000"
"238","1","17","33000"
"240","1","18","35000"
"242","1","19","37000"
"244","1","20","39000"
"246","1","21","41000"
"248","1","22","43000"
"250","1","23","9999999"
"170","2","24","1000"
"175","2","25","3000"
"180","2","26","5000"
"185","2","27","7000"
"190","2","28","9000"
"195","2","29","11000"
"200","2","30","13000"
"205","2","31","15000"
"210","2","32","17000"
"215","2","33","19000"
"220","2","34","21000"
"225","2","35","23000"
"230","2","36","25000"
"232","2","37","27000"
"234","2","38","29000"
"236","2","39","31000"
"238","2","40","33000"
"240","2","41","35000"
"242","2","42","37000"
"244","2","43","39000"
"246","2","44","41000"
"248","2","45","43000"
"250","2","46","9999999"
"170","3","47","1000"
"175","3","48","3000"
"180","3","49","5000"
"185","3","50","7000"
"190","3","51","9000"
"195","3","52","11000"
"200","3","53","13000"
"205","3","54","15000"
"210","3","55","17000"
"215","3","56","19000"
"220","3","57","21000"
"225","3","58","23000"
"230","3","59","25000"
"232","3","60","27000"
"234","3","61","29000"
"236","3","62","31000"
"238","3","63","33000"
"240","3","64","35000"
"242","3","65","37000"
"244","3","66","39000"
"246","3","67","41000"
"248","3","68","43000"
"250","3","69","9999999"
