ae4582a0c217ca6b95d67fce99831d891e19077a465e7a44b303b20f5fbbffc1,d0f574dc7e7a1e6c073cc35425ed2acf524eadcff6800c99ba0c0259cf1994d3,06304bbecf4ed0e24990354a1d524c39d32f9e194bc659e60d5e571e9b32df8d,3f70d380b51800a4f3852bcc8c449d4e532bc659461ac5182edd2068ef4fa6dd,a3f05bcc9ab620df37fa4ed0dd03c1b4243db8237eb5a59a72e8a23f14d2b717,576adc727a739207cf2915ce89310c376488a7d658b381bd246915f46383af79,909b451c18f9e330a66d31ad2049515e6837ff02461754d16f5bd9fa3ed83eb5,24758f00c44e4b4ab1a1d7cf28953405c5777e8ad08c46a5d88e6ba2b0f7bf49
"30050236","3000","30050237","10050640","0","0","0","10050650"
"30050413","3000","30050414","10050659","0","0","0","10050670"
"30050421","3000","30050422","10050723","0","0","30050423","10050735"
"30050424","3000","30050425","10050818","0","0","30050426","10050360"
"30060187","3000","30060188","10060402","0","30060190","30060189","10060413"
"30060191","3000","30060192","10060480","0","0","30060193","10060492"
"30060194","3000","30060195","10060542","0","30060197","30060196","10060545"
"30060208","3000","30060209","10060591","30060212","30060211","30060210","10060606"
"30070186","3000","30070187","10070608","0","30070189","30070188","10070626"
"30070198","3000","30070199","10070914","30070202","30070201","30070200","10070926"
"30070206","3000","30070207","10071038","30070210","30070209","30070208","10071052"
"30070193","3000","30070194","10071117","0","30070196","30070195","10071131"
"30080236","3000","30080237","10080640","0","0","0","10080650"
"30080413","3000","30080414","10080659","0","0","0","10080670"
"30080421","3000","30080422","10080723","0","0","30080423","10080735"
"30080424","3000","30080425","10080818","0","0","30080426","10080360"
"30090187","3000","30090188","10090402","0","30090190","30090189","10090413"
"30090191","3000","30090192","10090480","0","0","30090193","10090492"
"30090194","3000","30090195","10090542","0","30090197","30090196","10090545"
"30090208","3000","30090209","10090591","30090212","30090211","30090210","10090606"
