2ff1b1e53e73ec84da559f53fa71272214f65aa340223a303901819a2b9c1907,97438a1d851d9bd70194aeacea67782b2385661ef6a48df7148ed38a2dc2ebda,17da4fad2ea085d9e8369d27611d601e0b6a214f0ef83d79925102ade4dc8e70,a805ee4f03615c7bf49fb2952f7845e1edd116e1a1e5327cb6393f056860ad90,48160aa38340e62309acf7056a602d3d1afc82984256fc7965816db63c087dd4,c375a9531482db2aad49adbc054254b102f3f644ac427087a8d5b35f21c49697,e38169506b2291935ba3fd4bf6b80ea37543a9d4f7714466b176c3b0a119a80c,e5b72843e308be8905b52a8d6332c37e832363b168a5771fb5f7eb88996d8a88,6ce8a846cecac0c202a9884b2616fa8dc69865c78926ea27a349d631547c253e,b372030952512232b9df1a8b29583b5b685edb2b2aabc5465a3207c089229a04,80297c0c5b92781bc8223d8af039ca4657f9d029a2b2845491fe603c4075d5b5,7f124b95593d1759ae2e75d86a7b49f16cb1b9e5ad97230327482605c39a083b
"31000101","3","1000","10","1回バトルしよう","7003","0","0","1","31000101","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31000102","3","1000","10","5回バトルしよう","7003","0","0","5","31000102","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31000103","3","1000","10","10回バトルしよう","7003","0","0","10","31000103","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31000104","3","1000","10","15回バトルしよう","7003","0","0","15","31000104","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31000105","3","1000","10","20回バトルしよう","7003","0","0","20","31000105","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31000106","3","1000","10","25回バトルしよう","7003","0","0","25","31000106","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31000107","3","1000","10","30回バトルしよう","7003","0","0","30","31000107","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31000108","3","1000","10","35回バトルしよう","7003","0","0","35","31000108","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31000109","3","1000","10","40回バトルしよう","7003","0","0","40","31000109","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31001101","3","1001","10","黒の王ジャバウォックに累積500万ダメージ与えよう","7004","3001","0","5000000","31001101","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31001102","3","1001","10","黒の王ジャバウォックに累積750万ダメージ与えよう","7004","3001","0","7500000","31001102","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31001103","3","1001","10","黒の王ジャバウォックに累積1000万ダメージ与えよう","7004","3001","0","10000000","31001103","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31001111","3","1001","11","黒の王ジャバウォックに1度のバトルで250万ダメージ与えよう","7005","3001","2500000","1","31001111","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31001112","3","1001","11","黒の王ジャバウォックに1度のバトルで500万ダメージ与えよう","7005","3001","5000000","1","31001112","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31001201","3","1001","20","暴走のイノセントボウに累積500万ダメージ与えよう","7004","3002","0","5000000","31001201","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31001202","3","1001","20","暴走のイノセントボウに累積750万ダメージ与えよう","7004","3002","0","7500000","31001202","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31001203","3","1001","20","暴走のイノセントボウに累積1000万ダメージ与えよう","7004","3002","0","10000000","31001203","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31001211","3","1001","21","暴走のイノセントボウに1度のバトルで250万ダメージ与えよう","7005","3002","2500000","1","31001211","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31001212","3","1001","21","暴走のイノセントボウに1度のバトルで500万ダメージ与えよう","7005","3002","5000000","1","31001212","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31001301","3","1001","30","ファントムバロンに累積500万ダメージ与えよう","7004","3003","0","5000000","31001301","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31001302","3","1001","30","ファントムバロンに累積750万ダメージ与えよう","7004","3003","0","7500000","31001302","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31001303","3","1001","30","ファントムバロンに累積1000万ダメージ与えよう","7004","3003","0","10000000","31001303","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31001311","3","1001","31","ファントムバロンに1度のバトルで250万ダメージ与えよう","7005","3003","2500000","1","31001311","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31001312","3","1001","31","ファントムバロンに1度のバトルで500万ダメージ与えよう","7005","3003","5000000","1","31001312","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31001401","3","1001","40","テンタパスに累積500万ダメージ与えよう","7004","3004","0","5000000","31001401","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31001402","3","1001","40","テンタパスに累積750万ダメージ与えよう","7004","3004","0","7500000","31001402","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31001403","3","1001","40","テンタパスに累積1000万ダメージ与えよう","7004","3004","0","10000000","31001403","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31001411","3","1001","41","テンタパスに1度のバトルで250万ダメージ与えよう","7005","3004","2500000","1","31001411","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31001412","3","1001","41","テンタパスに1度のバトルで500万ダメージ与えよう","7005","3004","5000000","1","31001412","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31002101","3","1002","10","ゴウシンに累積500万ダメージ与えよう","7004","3005","0","5000000","31002101","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31002102","3","1002","10","ゴウシンに累積750万ダメージ与えよう","7004","3005","0","7500000","31002102","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31002103","3","1002","10","ゴウシンに累積1000万ダメージ与えよう","7004","3005","0","10000000","31002103","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31002104","3","1002","10","ゴウシンに累積1億1000万ダメージ与えよう","7004","3005","0","110000000","31002104","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31002111","3","1002","11","ゴウシンに1度のバトルで250万ダメージ与えよう","7005","3005","2500000","1","31002111","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31002112","3","1002","11","ゴウシンに1度のバトルで500万ダメージ与えよう","7005","3005","5000000","1","31002112","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31002113","3","1002","11","ゴウシンに1度のバトルで2200万ダメージ与えよう","7005","3005","22000000","1","31002113","2022/12/16 12:00:00","2022/12/23 11:59:59"
"31003101","3","1003","10","アルマ＆オラムに累積500万ダメージ与えよう","7004","3006","0","5000000","31003101","2022/12/16 12:00:00","2022/12/23 11:59:59"
